CHNL_CD	CUST_CD	PD_CD	PD_NM	DT	SALES	AMT	DC	UNIT_PRICE	STORE_PRICE
SELL-IN	A	100 	가	20170101	0 	0 			
SELL-IN	A	100 	가	20170102	0 	0 			
SELL-IN	A	100 	가	20170103	1,982,640 	2,640 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20170104	1,198,596 	1,596 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20170105	1,784,376 	2,376 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20170106	1,991,652 	2,652 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20170107	6,272,352 	8,352 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20170108	0 	0 			
SELL-IN	A	100 	가	20170109	3,306,780 	4,404 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20170110	2,072,760 	2,760 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20170111	269,112 	360 	34.4%	748 	1,140 
SELL-IN	A	100 	가	20170112	3,127,164 	4,164 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20170113	1,297,728 	1,728 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20170114	5,839,776 	7,776 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20170115	0 	0 			
SELL-IN	A	100 	가	20170116	3,172,224 	4,224 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20170117	3,064,080 	4,080 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20170118	471,212 	628 	34.2%	750 	1,140 
SELL-IN	A	100 	가	20170119	3,091,116 	4,116 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20170120	3,127,164 	4,164 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20170121	5,569,416 	7,416 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20170122	0 	0 			
SELL-IN	A	100 	가	20170123	1,865,484 	2,484 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20170124	2,712,612 	3,612 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20170125	5,263,008 	7,008 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20170126	6,341,086 	8,496 	34.5%	746 	1,140 
SELL-IN	A	100 	가	20170127	4,136,508 	5,508 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20170128	0 	0 			
SELL-IN	A	100 	가	20170129	0 	0 			
SELL-IN	A	100 	가	20170130	5,181,900 	6,900 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20170131	359,436 	516 	38.9%	697 	1,140 
SELL-IN	A	100 	가	20170201	3,218,112 	4,320 	34.7%	745 	1,140 
SELL-IN	A	100 	가	20170202	1,699,800 	2,280 	34.6%	746 	1,140 
SELL-IN	A	100 	가	20170203	2,171,892 	2,892 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20170204	4,947,588 	6,588 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20170205	0 	0 			
SELL-IN	A	100 	가	20170206	3,018,396 	4,020 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20170207	2,345,892 	3,132 	34.3%	749 	1,140 
SELL-IN	A	100 	가	20170208	1,964,616 	2,616 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20170209	576,768 	768 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20170210	333,444 	444 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20170211	5,875,824 	7,824 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20170212	0 	0 			
SELL-IN	A	100 	가	20170213	2,587,824 	3,504 	35.2%	739 	1,140 
SELL-IN	A	100 	가	20170214	3,694,920 	4,920 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20170215	405,540 	540 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20170216	1,631,172 	2,172 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20170217	558,744 	744 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20170218	6,047,052 	8,052 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20170219	0 	0 			
SELL-IN	A	100 	가	20170220	207,276 	276 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20170221	2,856,804 	3,804 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20170222	1,838,448 	2,448 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20170223	7,218,612 	9,612 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20170224	2,657,436 	3,492 	33.2%	761 	1,140 
SELL-IN	A	100 	가	20170225	7,831,428 	10,428 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20170226	0 	0 			
SELL-IN	A	100 	가	20170227	107,520 	144 	34.5%	747 	1,140 
SELL-IN	A	100 	가	20170228	11,859,792 	15,792 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20170301	784,044 	1,044 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20170302	0 	0 			
SELL-IN	A	100 	가	20170303	1,108,476 	1,476 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20170304	3,496,656 	4,656 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20170305	0 	0 			
SELL-IN	A	100 	가	20170306	99,132 	132 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20170307	2,343,120 	3,120 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20170308	2,253,000 	3,000 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20170309	1,937,580 	2,580 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20170310	1,225,632 	1,632 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20170311	6,823,785 	9,120 	34.4%	748 	1,140 
SELL-IN	A	100 	가	20170312	0 	0 			
SELL-IN	A	100 	가	20170313	225,300 	300 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20170314	2,703,600 	3,600 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20170315	3,353,292 	4,500 	34.6%	745 	1,140 
SELL-IN	A	100 	가	20170316	2,352,132 	3,132 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20170317	2,540,760 	3,384 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20170318	8,381,160 	11,160 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20170319	0 	0 			
SELL-IN	A	100 	가	20170320	0 	0 			
SELL-IN	A	100 	가	20170321	306,408 	408 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20170322	567,756 	756 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20170323	3,253,332 	4,332 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20170324	1,726,560 	2,304 	34.3%	749 	1,140 
SELL-IN	A	100 	가	20170325	10,174,548 	13,548 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20170326	0 	0 			
SELL-IN	A	100 	가	20170327	441,588 	588 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20170328	7,993,644 	10,644 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20170329	3,370,488 	4,488 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20170330	2,469,288 	3,288 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20170331	10,282,692 	13,692 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20170401	189,252 	252 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20170402	0 	0 			
SELL-IN	A	100 	가	20170403	306,408 	408 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20170404	1,396,860 	1,860 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20170405	2,982,972 	3,972 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20170406	2,847,792 	3,792 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20170407	2,469,288 	3,288 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20170408	5,983,968 	7,968 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20170409	0 	0 			
SELL-IN	A	100 	가	20170410	5,179,901 	6,899 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20170411	2,829,768 	3,768 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20170412	556,596 	732 	33.3%	760 	1,140 
SELL-IN	A	100 	가	20170413	1,946,592 	2,592 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20170414	2,324,196 	3,084 	33.9%	754 	1,140 
SELL-IN	A	100 	가	20170415	5,569,416 	7,416 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20170416	0 	0 			
SELL-IN	A	100 	가	20170417	4,866,480 	6,480 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20170418	1,928,568 	2,568 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20170419	1,133,640 	1,512 	34.2%	750 	1,140 
SELL-IN	A	100 	가	20170420	1,757,340 	2,340 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20170421	847,128 	1,128 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20170422	9,164,090 	12,240 	34.3%	749 	1,140 
SELL-IN	A	100 	가	20170423	0 	0 			
SELL-IN	A	100 	가	20170424	378,504 	504 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20170425	4,451,928 	5,928 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20170426	3,343,452 	4,452 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20170427	5,127,828 	6,828 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20170428	883,176 	1,176 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20170429	9,129,156 	12,156 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20170430	0 	0 			
SELL-IN	A	100 	가	20170501	0 	0 			
SELL-IN	A	100 	가	20170502	0 	0 			
SELL-IN	A	100 	가	20170503	7,885,500 	10,500 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20170504	252,336 	336 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20170505	8,146,848 	10,848 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20170506	1,414,884 	1,884 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20170507	0 	0 			
SELL-IN	A	100 	가	20170508	0 	0 			
SELL-IN	A	100 	가	20170509	6,479,628 	8,628 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20170510	126,168 	168 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20170511	1,036,380 	1,380 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20170512	3,703,932 	4,932 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20170513	3,839,112 	5,112 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20170514	0 	0 			
SELL-IN	A	100 	가	20170515	3,984,828 	5,316 	34.2%	750 	1,140 
SELL-IN	A	100 	가	20170516	2,523,360 	3,360 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20170517	1,243,656 	1,656 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20170518	3,258,264 	4,404 	35.1%	740 	1,140 
SELL-IN	A	100 	가	20170519	1,099,464 	1,464 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20170520	9,237,300 	12,300 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20170521	0 	0 			
SELL-IN	A	100 	가	20170522	225,300 	300 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20170523	639,852 	852 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20170524	369,492 	492 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20170525	7,390,692 	9,972 	35.0%	741 	1,140 
SELL-IN	A	100 	가	20170526	2,379,168 	3,168 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20170527	6,332,759 	8,592 	35.3%	737 	1,140 
SELL-IN	A	100 	가	20170528	0 	0 			
SELL-IN	A	100 	가	20170529	0 	0 			
SELL-IN	A	100 	가	20170530	11,769,672 	15,672 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20170531	1,550,064 	2,064 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20170601	1,180,572 	1,572 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20170602	1,910,544 	2,544 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20170603	3,965,280 	5,280 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20170604	0 	0 			
SELL-IN	A	100 	가	20170605	1,144,524 	1,524 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20170606	2,622,492 	3,492 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20170607	153,204 	204 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20170608	4,001,328 	5,328 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20170609	2,883,840 	3,840 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20170610	5,226,960 	6,960 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20170611	0 	0 			
SELL-IN	A	100 	가	20170612	3,586,776 	4,776 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20170613	2,901,864 	3,864 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20170614	2,262,012 	3,012 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20170615	3,586,776 	4,776 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20170616	1,207,608 	1,608 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20170617	6,281,364 	8,364 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20170618	0 	0 			
SELL-IN	A	100 	가	20170619	3,676,896 	4,896 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20170620	1,108,476 	1,476 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20170621	1,153,536 	1,536 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20170622	2,568,420 	3,420 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20170623	639,852 	852 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20170624	10,514,637 	14,364 	35.8%	732 	1,140 
SELL-IN	A	100 	가	20170625	0 	0 			
SELL-IN	A	100 	가	20170626	81,108 	108 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20170627	11,237,964 	14,964 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20170628	21,901,779 	29,808 	35.5%	735 	1,140 
SELL-IN	A	100 	가	20170629	-288,384 	-384 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20170630	2,451,264 	3,264 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20170701	414,348 	516 	29.6%	803 	1,140 
SELL-IN	A	100 	가	20170702	0 	0 			
SELL-IN	A	100 	가	20170703	0 	0 			
SELL-IN	A	100 	가	20170704	799,788 	996 	29.6%	803 	1,140 
SELL-IN	A	100 	가	20170705	645,612 	804 	29.6%	803 	1,140 
SELL-IN	A	100 	가	20170706	1,377,948 	1,716 	29.6%	803 	1,140 
SELL-IN	A	100 	가	20170707	1,185,228 	1,476 	29.6%	803 	1,140 
SELL-IN	A	100 	가	20170708	3,555,684 	4,428 	29.6%	803 	1,140 
SELL-IN	A	100 	가	20170709	0 	0 			
SELL-IN	A	100 	가	20170710	0 	0 			
SELL-IN	A	100 	가	20170711	2,264,460 	2,820 	29.6%	803 	1,140 
SELL-IN	A	100 	가	20170712	1,561,032 	1,944 	29.6%	803 	1,140 
SELL-IN	A	100 	가	20170713	1,300,860 	1,620 	29.6%	803 	1,140 
SELL-IN	A	100 	가	20170714	183,084 	228 	29.6%	803 	1,140 
SELL-IN	A	100 	가	20170715	4,451,832 	5,544 	29.6%	803 	1,140 
SELL-IN	A	100 	가	20170716	0 	0 			
SELL-IN	A	100 	가	20170717	0 	0 			
SELL-IN	A	100 	가	20170718	5,550,336 	6,912 	29.6%	803 	1,140 
SELL-IN	A	100 	가	20170719	1,483,944 	1,848 	29.6%	803 	1,140 
SELL-IN	A	100 	가	20170720	2,341,548 	2,916 	29.6%	803 	1,140 
SELL-IN	A	100 	가	20170721	2,148,828 	2,676 	29.6%	803 	1,140 
SELL-IN	A	100 	가	20170722	5,222,712 	6,504 	29.6%	803 	1,140 
SELL-IN	A	100 	가	20170723	0 	0 			
SELL-IN	A	100 	가	20170724	1,830,840 	2,280 	29.6%	803 	1,140 
SELL-IN	A	100 	가	20170725	3,372,600 	4,200 	29.6%	803 	1,140 
SELL-IN	A	100 	가	20170726	1,968,372 	2,484 	30.5%	792 	1,140 
SELL-IN	A	100 	가	20170727	4,365,108 	5,436 	29.6%	803 	1,140 
SELL-IN	A	100 	가	20170728	5,077,296 	6,432 	30.8%	789 	1,140 
SELL-IN	A	100 	가	20170729	1,532,124 	1,908 	29.6%	803 	1,140 
SELL-IN	A	100 	가	20170730	0 	0 			
SELL-IN	A	100 	가	20170731	577,908 	492 	-3.0%	1,175 	1,140 
SELL-IN	A	100 	가	20170801	8,128,824 	10,824 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20170802	937,248 	1,248 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20170803	1,306,740 	1,740 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20170804	2,171,892 	2,892 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20170805	7,137,504 	9,504 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20170806	0 	0 			
SELL-IN	A	100 	가	20170807	-28,908 	-36 	29.6%	803 	1,140 
SELL-IN	A	100 	가	20170808	1,856,472 	2,472 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20170809	2,955,936 	3,936 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20170810	1,324,764 	1,764 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20170811	3,433,572 	4,572 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20170812	5,479,296 	7,296 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20170813	0 	0 			
SELL-IN	A	100 	가	20170814	117,156 	156 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20170815	5,163,876 	6,876 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20170816	171,228 	228 	34.1%	751 	1,140 
