CHNL_CD	CUST_CD	PD_CD	PD_NM	DT	SALES	AMT	DC	STORE_PRICE
SELL-OUT	A	300	바	20170101	3,501,930	1,760	0	1990
SELL-OUT	A	300	바	20170102	2,719,940	1,365	0	1993
SELL-OUT	A	300	바	20170103	2,885,360	1,449	0	1991
SELL-OUT	A	300	바	20170104	2,962,900	1,489	0	1990
SELL-OUT	A	300	바	20170105	2,957,150	1,486	0	1990
SELL-OUT	A	300	바	20170106	3,163,860	1,588	0	1992
SELL-OUT	A	300	바	20170107	3,104,438	1,558	0	1993
SELL-OUT	A	300	바	20170108	3,094,572	1,555	0	1990
SELL-OUT	A	300	바	20170109	3,039,322	1,527	0	1990
SELL-OUT	A	300	바	20170110	2,861,022	1,437	0	1991
SELL-OUT	A	300	바	20170111	2,971,270	1,491	0	1993
SELL-OUT	A	300	바	20170112	3,223,968	1,621	0	1989
SELL-OUT	A	300	바	20170113	3,644,220	1,833	0	1988
SELL-OUT	A	300	바	20170114	3,357,034	1,691	0	1985
SELL-OUT	A	300	바	20170115	3,262,366	1,637	0	1993
SELL-OUT	A	300	바	20170116	3,149,010	1,581	0	1992
SELL-OUT	A	300	바	20170117	3,167,372	1,588	0	1995
SELL-OUT	A	300	바	20170118	3,164,412	1,588	0	1993
SELL-OUT	A	300	바	20170119	3,339,108	1,680	0	1988
SELL-OUT	A	300	바	20170120	3,444,792	1,729	0	1992
SELL-OUT	A	300	바	20170121	3,683,608	1,848	0	1993
SELL-OUT	A	300	바	20170122	3,741,340	1,880	0	1990
SELL-OUT	A	300	바	20170123	3,274,038	1,643	0	1993
SELL-OUT	A	300	바	20170124	3,326,332	1,671	0	1991
SELL-OUT	A	300	바	20170125	3,313,748	1,664	0	1991
SELL-OUT	A	300	바	20170126	3,440,400	1,729	0	1990
SELL-OUT	A	300	바	20170127	3,604,086	1,812	0	1989
SELL-OUT	A	300	바	20170128	3,965,452	1,995	0	1988
SELL-OUT	A	300	바	20170129	3,608,620	1,812	0	1992
SELL-OUT	A	300	바	20170130	3,220,356	1,619	0	1989
SELL-OUT	A	300	바	20170131	3,310,228	1,661	0	1993
SELL-OUT	A	300	바	20170201	4,216,330	2,123	33.3	2647
SELL-OUT	A	300	바	20170202	4,242,902	2,131	33.3	2654
SELL-OUT	A	300	바	20170203	4,533,914	2,278	33.3	2653
SELL-OUT	A	300	바	20170204	4,574,864	2,299	33.3	2653
SELL-OUT	A	300	바	20170205	4,114,742	2,074	33.3	2645
SELL-OUT	A	300	바	20170206	4,562,160	2,312	33.3	2630
SELL-OUT	A	300	바	20170207	4,572,538	2,297	33.3	2654
SELL-OUT	A	300	바	20170208	5,635,316	2,853	33.3	2633
SELL-OUT	A	300	바	20170209	5,843,768	2,981	33.3	2613
SELL-OUT	A	300	바	20170210	5,868,978	2,952	33.3	2650
SELL-OUT	A	300	바	20170211	6,793,230	3,416	33.3	2651
SELL-OUT	A	300	바	20170212	7,911,178	3,983	33.3	2647
SELL-OUT	A	300	바	20170213	14,242,312	7,172	33.3	2647
SELL-OUT	A	300	바	20170214	35,101,398	17,704	33.3	2643
SELL-OUT	A	300	바	20170215	8,203,896	4,130	33.3	2647
SELL-OUT	A	300	바	20170216	4,863,652	2,444	33.3	2653
SELL-OUT	A	300	바	20170217	4,607,186	2,314	33.3	2654
SELL-OUT	A	300	바	20170218	4,820,104	2,421	33.3	2654
SELL-OUT	A	300	바	20170219	4,356,824	2,190	33.3	2651
SELL-OUT	A	300	바	20170220	4,035,178	2,027	33.3	2654
SELL-OUT	A	300	바	20170221	3,986,738	2,006	33.3	2649
SELL-OUT	A	300	바	20170222	4,134,760	2,078	33.3	2653
SELL-OUT	A	300	바	20170223	4,159,568	2,088	33.3	2655
SELL-OUT	A	300	바	20170224	4,475,604	2,255	33.3	2646
SELL-OUT	A	300	바	20170225	4,564,994	2,292	33.3	2655
SELL-OUT	A	300	바	20170226	4,584,586	2,304	33.3	2653
SELL-OUT	A	300	바	20170227	3,685,414	1,854	33.3	2650
SELL-OUT	A	300	바	20170228	3,880,700	1,954	33.3	2647
SELL-OUT	A	300	바	20170301	3,898,164	1,959	33.3	2653
SELL-OUT	A	300	바	20170302	3,768,408	1,893	33.3	2654
SELL-OUT	A	300	바	20170303	4,052,912	2,039	33.3	2650
SELL-OUT	A	300	바	20170304	4,677,984	2,375	33.3	2626
SELL-OUT	A	300	바	20170305	3,872,092	1,946	33.3	2653
SELL-OUT	A	300	바	20170306	3,740,690	1,879	33.3	2654
SELL-OUT	A	300	바	20170307	4,221,436	2,124	33.3	2649
SELL-OUT	A	300	바	20170308	4,532,466	2,282	33.3	2647
SELL-OUT	A	300	바	20170309	4,889,282	2,490	33.3	2618
SELL-OUT	A	300	바	20170310	4,895,584	2,482	33.3	2629
SELL-OUT	A	300	바	20170311	5,024,628	2,524	33.3	2654
SELL-OUT	A	300	바	20170312	5,085,710	2,553	33.3	2655
SELL-OUT	A	300	바	20170313	6,946,454	3,500	33.3	2646
SELL-OUT	A	300	바	20170314	16,395,616	8,248	33.3	2650
SELL-OUT	A	300	바	20170315	5,534,302	2,781	33.3	2653
SELL-OUT	A	300	바	20170316	4,410,080	2,218	33.3	2650
SELL-OUT	A	300	바	20170317	4,359,274	2,192	33.3	2651
SELL-OUT	A	300	바	20170318	4,515,656	2,269	33.3	2653
SELL-OUT	A	300	바	20170319	3,960,196	1,990	33.3	2653
SELL-OUT	A	300	바	20170320	3,776,246	1,903	33.3	2645
SELL-OUT	A	300	바	20170321	4,243,398	2,135	33.3	2650
SELL-OUT	A	300	바	20170322	4,229,572	2,128	33.3	2650
SELL-OUT	A	300	바	20170323	4,247,636	2,137	33.3	2650
SELL-OUT	A	300	바	20170324	4,208,076	2,118	33.3	2649
SELL-OUT	A	300	바	20170325	4,695,090	2,363	33.3	2649
SELL-OUT	A	300	바	20170326	4,596,116	2,313	33.3	2649
SELL-OUT	A	300	바	20170327	4,052,700	2,040	33.3	2649
SELL-OUT	A	300	바	20170328	4,366,586	2,200	33.3	2646
SELL-OUT	A	300	바	20170329	4,320,578	2,175	33.3	2647
SELL-OUT	A	300	바	20170330	4,078,692	2,050	33.3	2653
SELL-OUT	A	300	바	20170331	4,776,546	2,404	33.3	2649
SELL-OUT	A	300	바	20170401	3,993,898	2,005	0	1992
SELL-OUT	A	300	바	20170402	3,704,990	1,860	0	1992
SELL-OUT	A	300	바	20170403	3,162,146	1,589	0	1990
SELL-OUT	A	300	바	20170404	3,129,796	1,574	0	1988
SELL-OUT	A	300	바	20170405	3,210,840	1,617	0	1986
SELL-OUT	A	300	바	20170406	3,431,294	1,729	0	1985
SELL-OUT	A	300	바	20170407	3,556,866	1,787	0	1990
SELL-OUT	A	300	바	20170408	3,684,852	1,853	0	1989
SELL-OUT	A	300	바	20170409	3,668,716	1,842	0	1992
SELL-OUT	A	300	바	20170410	3,075,880	1,551	0	1983
SELL-OUT	A	300	바	20170411	3,232,830	1,633	0	1980
SELL-OUT	A	300	바	20170412	3,476,582	1,746	0	1991
SELL-OUT	A	300	바	20170413	3,216,656	1,618	0	1988
SELL-OUT	A	300	바	20170414	3,576,388	1,798	0	1989
SELL-OUT	A	300	바	20170415	3,322,138	1,671	0	1988
SELL-OUT	A	300	바	20170416	3,570,440	1,794	0	1990
SELL-OUT	A	300	바	20170417	3,359,190	1,690	0	1988
SELL-OUT	A	300	바	20170418	3,482,764	1,755	0	1984
SELL-OUT	A	300	바	20170419	3,277,724	1,651	0	1985
SELL-OUT	A	300	바	20170420	3,618,512	1,823	0	1985
