sell_type,cust_type,prod_group_type,prod_type,time_type,model,dt,prediction,scenario,smoothing
sell_in,A,g1,가,W,ar,2021-01-10,19038.0,s1,False
sell_in,A,g1,가,W,ar,2021-01-17,23987.0,s1,False
sell_in,A,g1,가,W,ar,2021-01-24,21445.0,s1,False
sell_in,A,g1,가,W,ar,2021-01-31,23777.0,s1,False
sell_in,A,g1,가,W,ar,2021-02-07,21436.0,s1,False
sell_in,A,g1,가,W,ar,2021-02-14,23753.0,s1,False
sell_in,A,g1,가,W,ar,2021-02-21,21413.0,s1,False
sell_in,A,g1,가,W,ar,2021-02-28,23729.0,s1,False
sell_in,A,g1,가,W,ar,2021-03-07,21390.0,s1,False
sell_in,A,g1,가,W,ar,2021-03-14,23706.0,s1,False
sell_in,A,g1,가,W,ar,2021-03-21,21366.0,s1,False
sell_in,A,g1,가,W,ar,2021-03-28,23682.0,s1,False
sell_in,A,g1,가,W,arma,2021-01-10,21296.0,s1,False
sell_in,A,g1,가,W,arma,2021-01-17,23998.0,s1,False
sell_in,A,g1,가,W,arma,2021-01-24,23786.0,s1,False
sell_in,A,g1,가,W,arma,2021-01-31,23802.0,s1,False
sell_in,A,g1,가,W,arma,2021-02-07,23801.0,s1,False
sell_in,A,g1,가,W,arma,2021-02-14,23801.0,s1,False
sell_in,A,g1,가,W,arma,2021-02-21,23801.0,s1,False
sell_in,A,g1,가,W,arma,2021-02-28,23801.0,s1,False
sell_in,A,g1,가,W,arma,2021-03-07,23801.0,s1,False
sell_in,A,g1,가,W,arma,2021-03-14,23801.0,s1,False
sell_in,A,g1,가,W,arma,2021-03-21,23801.0,s1,False
sell_in,A,g1,가,W,arma,2021-03-28,23801.0,s1,False
sell_in,A,g1,가,W,arima,2021-01-10,15988.0,s1,False
sell_in,A,g1,가,W,arima,2021-01-17,20744.0,s1,False
sell_in,A,g1,가,W,arima,2021-01-24,22600.0,s1,False
sell_in,A,g1,가,W,arima,2021-01-31,23323.0,s1,False
sell_in,A,g1,가,W,arima,2021-02-07,23606.0,s1,False
sell_in,A,g1,가,W,arima,2021-02-14,23716.0,s1,False
sell_in,A,g1,가,W,arima,2021-02-21,23759.0,s1,False
sell_in,A,g1,가,W,arima,2021-02-28,23776.0,s1,False
sell_in,A,g1,가,W,arima,2021-03-07,23782.0,s1,False
sell_in,A,g1,가,W,arima,2021-03-14,23785.0,s1,False
sell_in,A,g1,가,W,arima,2021-03-21,23786.0,s1,False
sell_in,A,g1,가,W,arima,2021-03-28,23786.0,s1,False
