sell_type,cust_type,prod_group_type,prod_type,time_type,model,dt,prediction,scenario,smoothing
sell_in,A,g1,가,W,lstm_vn,2021-01-10,16311.0,s1,False
sell_in,A,g1,가,W,lstm_vn,2021-01-17,22564.0,s1,False
sell_in,A,g1,가,W,lstm_vn,2021-01-24,23680.0,s1,False
sell_in,A,g1,가,W,lstm_vn,2021-01-31,24790.0,s1,False
sell_in,A,g1,가,W,lstm_vn,2021-02-07,24854.0,s1,False
sell_in,A,g1,가,W,lstm_vn,2021-02-14,24488.0,s1,False
sell_in,A,g1,가,W,lstm_vn,2021-02-21,24920.0,s1,False
sell_in,A,g1,가,W,lstm_vn,2021-02-28,25043.0,s1,False
sell_in,A,g1,가,W,lstm_vn,2021-03-07,24179.0,s1,False
sell_in,A,g1,가,W,lstm_vn,2021-03-14,24579.0,s1,False
sell_in,A,g1,가,W,lstm_vn,2021-03-21,25318.0,s1,False
sell_in,A,g1,가,W,lstm_vn,2021-03-28,24103.0,s1,False
sell_in,A,g2,다,W,lstm_vn,2021-01-10,38569.0,s1,False
sell_in,A,g2,다,W,lstm_vn,2021-01-17,58195.0,s1,False
sell_in,A,g2,다,W,lstm_vn,2021-01-24,62751.0,s1,False
sell_in,A,g2,다,W,lstm_vn,2021-01-31,69223.0,s1,False
sell_in,A,g2,다,W,lstm_vn,2021-02-07,77638.0,s1,False
sell_in,A,g2,다,W,lstm_vn,2021-02-14,76818.0,s1,False
sell_in,A,g2,다,W,lstm_vn,2021-02-21,74537.0,s1,False
sell_in,A,g2,다,W,lstm_vn,2021-02-28,65635.0,s1,False
sell_in,A,g2,다,W,lstm_vn,2021-03-07,57998.0,s1,False
sell_in,A,g2,다,W,lstm_vn,2021-03-14,52554.0,s1,False
sell_in,A,g2,다,W,lstm_vn,2021-03-21,48035.0,s1,False
sell_in,A,g2,다,W,lstm_vn,2021-03-28,40482.0,s1,False
sell_in,A,all,가,W,lstm_vn,2021-01-10,17407.0,s1,False
sell_in,A,all,가,W,lstm_vn,2021-01-17,25289.0,s1,False
sell_in,A,all,가,W,lstm_vn,2021-01-24,25318.0,s1,False
sell_in,A,all,가,W,lstm_vn,2021-01-31,25286.0,s1,False
sell_in,A,all,가,W,lstm_vn,2021-02-07,24809.0,s1,False
sell_in,A,all,가,W,lstm_vn,2021-02-14,23995.0,s1,False
sell_in,A,all,가,W,lstm_vn,2021-02-21,24607.0,s1,False
sell_in,A,all,가,W,lstm_vn,2021-02-28,24953.0,s1,False
sell_in,A,all,가,W,lstm_vn,2021-03-07,24033.0,s1,False
sell_in,A,all,가,W,lstm_vn,2021-03-14,24765.0,s1,False
sell_in,A,all,가,W,lstm_vn,2021-03-21,25924.0,s1,False
sell_in,A,all,가,W,lstm_vn,2021-03-28,24337.0,s1,False
sell_in,A,all,다,W,lstm_vn,2021-01-10,40702.0,s1,False
sell_in,A,all,다,W,lstm_vn,2021-01-17,61058.0,s1,False
sell_in,A,all,다,W,lstm_vn,2021-01-24,62889.0,s1,False
sell_in,A,all,다,W,lstm_vn,2021-01-31,67843.0,s1,False
sell_in,A,all,다,W,lstm_vn,2021-02-07,73297.0,s1,False
sell_in,A,all,다,W,lstm_vn,2021-02-14,70420.0,s1,False
sell_in,A,all,다,W,lstm_vn,2021-02-21,66689.0,s1,False
sell_in,A,all,다,W,lstm_vn,2021-02-28,59516.0,s1,False
sell_in,A,all,다,W,lstm_vn,2021-03-07,55329.0,s1,False
sell_in,A,all,다,W,lstm_vn,2021-03-14,53017.0,s1,False
sell_in,A,all,다,W,lstm_vn,2021-03-21,51437.0,s1,False
sell_in,A,all,다,W,lstm_vn,2021-03-28,47363.0,s1,False
sell_in,A,all,all,W,lstm_vn,2021-01-10,57871.0,s1,False
sell_in,A,all,all,W,lstm_vn,2021-01-17,95145.0,s1,False
sell_in,A,all,all,W,lstm_vn,2021-01-24,94005.0,s1,False
sell_in,A,all,all,W,lstm_vn,2021-01-31,101242.0,s1,False
sell_in,A,all,all,W,lstm_vn,2021-02-07,107276.0,s1,False
