sell_type,cust_type,prod_group_type,prod_type,time_type,model,dt,prediction,scenario,smoothing
sell_in,A,g1,가,W,arma,2021-01-10,22581.0,s1,True
sell_in,A,g1,가,W,arma,2021-01-17,22784.0,s1,True
sell_in,A,g1,가,W,arma,2021-01-24,22783.0,s1,True
sell_in,A,g1,가,W,arma,2021-01-31,22783.0,s1,True
sell_in,A,g1,가,W,arma,2021-02-07,22783.0,s1,True
sell_in,A,g1,가,W,arma,2021-02-14,22783.0,s1,True
sell_in,A,g1,가,W,arma,2021-02-21,22783.0,s1,True
sell_in,A,g1,가,W,arma,2021-02-28,22783.0,s1,True
sell_in,A,g1,가,W,arma,2021-03-07,22783.0,s1,True
sell_in,A,g1,가,W,arma,2021-03-14,22783.0,s1,True
sell_in,A,g1,가,W,arma,2021-03-21,22783.0,s1,True
sell_in,A,g1,가,W,arma,2021-03-28,22783.0,s1,True
sell_in,A,g2,다,W,arima,2021-01-10,34252.0,s1,True
sell_in,A,g2,다,W,arima,2021-01-17,36056.0,s1,True
sell_in,A,g2,다,W,arima,2021-01-24,37766.0,s1,True
sell_in,A,g2,다,W,arima,2021-01-31,39387.0,s1,True
sell_in,A,g2,다,W,arima,2021-02-07,40923.0,s1,True
sell_in,A,g2,다,W,arima,2021-02-14,42380.0,s1,True
sell_in,A,g2,다,W,arima,2021-02-21,43761.0,s1,True
sell_in,A,g2,다,W,arima,2021-02-28,45070.0,s1,True
sell_in,A,g2,다,W,arima,2021-03-07,46311.0,s1,True
sell_in,A,g2,다,W,arima,2021-03-14,47487.0,s1,True
sell_in,A,g2,다,W,arima,2021-03-21,48603.0,s1,True
sell_in,A,g2,다,W,arima,2021-03-28,49660.0,s1,True
sell_in,A,all,가,W,arma,2021-01-10,22581.0,s1,True
sell_in,A,all,가,W,arma,2021-01-17,22784.0,s1,True
sell_in,A,all,가,W,arma,2021-01-24,22783.0,s1,True
sell_in,A,all,가,W,arma,2021-01-31,22783.0,s1,True
