sell_type,cust_type,prod_group_type,prod_type,time_type,model,dt,prediction,scenario,smoothing
sell_in,A,g1,가,W,var,2021-01-10,14008.0,s2,False
sell_in,A,g1,가,W,var,2021-01-17,15718.0,s2,False
sell_in,A,g1,가,W,var,2021-01-24,15639.0,s2,False
sell_in,A,g1,가,W,var,2021-01-31,15645.0,s2,False
sell_in,A,g1,가,W,var,2021-02-07,15645.0,s2,False
sell_in,A,g1,가,W,var,2021-02-14,15645.0,s2,False
sell_in,A,g1,가,W,var,2021-02-21,15645.0,s2,False
sell_in,A,g1,가,W,var,2021-02-28,15645.0,s2,False
sell_in,A,g1,가,W,var,2021-03-07,15645.0,s2,False
sell_in,A,g1,가,W,var,2021-03-14,15645.0,s2,False
sell_in,A,g1,가,W,var,2021-03-21,15645.0,s2,False
sell_in,A,g1,가,W,var,2021-03-28,15645.0,s2,False
sell_in,A,g2,다,W,var,2021-01-10,23938.0,s2,False
sell_in,A,g2,다,W,var,2021-01-17,27303.0,s2,False
sell_in,A,g2,다,W,var,2021-01-24,29848.0,s2,False
sell_in,A,g2,다,W,var,2021-01-31,31783.0,s2,False
sell_in,A,g2,다,W,var,2021-02-07,33255.0,s2,False
sell_in,A,g2,다,W,var,2021-02-14,34373.0,s2,False
sell_in,A,g2,다,W,var,2021-02-21,35224.0,s2,False
sell_in,A,g2,다,W,var,2021-02-28,35870.0,s2,False
sell_in,A,g2,다,W,var,2021-03-07,36362.0,s2,False
sell_in,A,g2,다,W,var,2021-03-14,36735.0,s2,False
sell_in,A,g2,다,W,var,2021-03-21,37019.0,s2,False
sell_in,A,g2,다,W,var,2021-03-28,37235.0,s2,False
sell_in,A,all,가,W,var,2021-01-10,14008.0,s2,False
sell_in,A,all,가,W,var,2021-01-17,15718.0,s2,False
sell_in,A,all,가,W,var,2021-01-24,15639.0,s2,False
sell_in,A,all,가,W,var,2021-01-31,15645.0,s2,False
sell_in,A,all,가,W,var,2021-02-07,15645.0,s2,False
sell_in,A,all,가,W,var,2021-02-14,15645.0,s2,False
sell_in,A,all,가,W,var,2021-02-21,15645.0,s2,False
sell_in,A,all,가,W,var,2021-02-28,15645.0,s2,False
sell_in,A,all,가,W,var,2021-03-07,15645.0,s2,False
sell_in,A,all,가,W,var,2021-03-14,15645.0,s2,False
sell_in,A,all,가,W,var,2021-03-21,15645.0,s2,False
sell_in,A,all,가,W,var,2021-03-28,15645.0,s2,False
sell_in,A,all,다,W,var,2021-01-10,23938.0,s2,False
sell_in,A,all,다,W,var,2021-01-17,27303.0,s2,False
sell_in,A,all,다,W,var,2021-01-24,29848.0,s2,False
sell_in,A,all,다,W,var,2021-01-31,31783.0,s2,False
sell_in,A,all,다,W,var,2021-02-07,33255.0,s2,False
sell_in,A,all,다,W,var,2021-02-14,34373.0,s2,False
sell_in,A,all,다,W,var,2021-02-21,35224.0,s2,False
sell_in,A,all,다,W,var,2021-02-28,35870.0,s2,False
sell_in,A,all,다,W,var,2021-03-07,36362.0,s2,False
sell_in,A,all,다,W,var,2021-03-14,36735.0,s2,False
sell_in,A,all,다,W,var,2021-03-21,37019.0,s2,False
sell_in,A,all,다,W,var,2021-03-28,37235.0,s2,False
sell_in,A,all,all,W,var,2021-01-10,33785.0,s2,False
sell_in,A,all,all,W,var,2021-01-17,39630.0,s2,False
sell_in,A,all,all,W,var,2021-01-24,42490.0,s2,False
sell_in,A,all,all,W,var,2021-01-31,44868.0,s2,False
sell_in,A,all,all,W,var,2021-02-07,46719.0,s2,False
sell_in,A,all,all,W,var,2021-02-14,48171.0,s2,False
sell_in,A,all,all,W,var,2021-02-21,49307.0,s2,False
sell_in,A,all,all,W,var,2021-02-28,50198.0,s2,False
sell_in,A,all,all,W,var,2021-03-07,50895.0,s2,False
sell_in,A,all,all,W,var,2021-03-14,51442.0,s2,False
sell_in,A,all,all,W,var,2021-03-21,51870.0,s2,False
sell_in,A,all,all,W,var,2021-03-28,52205.0,s2,False
sell_in,B,g1,나,W,var,2021-01-10,2620.0,s2,False
sell_in,B,g1,나,W,var,2021-01-17,3067.0,s2,False
sell_in,B,g1,나,W,var,2021-01-24,3237.0,s2,False
sell_in,B,g1,나,W,var,2021-01-31,3301.0,s2,False
sell_in,B,g1,나,W,var,2021-02-07,3325.0,s2,False
sell_in,B,g1,나,W,var,2021-02-14,3335.0,s2,False
sell_in,B,g1,나,W,var,2021-02-21,3338.0,s2,False
sell_in,B,g1,나,W,var,2021-02-28,3340.0,s2,False
sell_in,B,g1,나,W,var,2021-03-07,3340.0,s2,False
sell_in,B,g1,나,W,var,2021-03-14,3340.0,s2,False
sell_in,B,g1,나,W,var,2021-03-21,3340.0,s2,False
sell_in,B,g1,나,W,var,2021-03-28,3340.0,s2,False
sell_in,B,g2,라,W,var,2021-01-10,1378.0,s2,False
sell_in,B,g2,라,W,var,2021-01-17,1437.0,s2,False
sell_in,B,g2,라,W,var,2021-01-24,1455.0,s2,False
sell_in,B,g2,라,W,var,2021-01-31,1462.0,s2,False
sell_in,B,g2,라,W,var,2021-02-07,1465.0,s2,False
sell_in,B,g2,라,W,var,2021-02-14,1466.0,s2,False
sell_in,B,g2,라,W,var,2021-02-21,1466.0,s2,False
sell_in,B,g2,라,W,var,2021-02-28,1466.0,s2,False
sell_in,B,g2,라,W,var,2021-03-07,1467.0,s2,False
sell_in,B,g2,라,W,var,2021-03-14,1467.0,s2,False
sell_in,B,g2,라,W,var,2021-03-21,1467.0,s2,False
sell_in,B,g2,라,W,var,2021-03-28,1467.0,s2,False
sell_in,B,all,나,W,var,2021-01-10,2620.0,s2,False
sell_in,B,all,나,W,var,2021-01-17,3067.0,s2,False
sell_in,B,all,나,W,var,2021-01-24,3237.0,s2,False
sell_in,B,all,나,W,var,2021-01-31,3301.0,s2,False
sell_in,B,all,나,W,var,2021-02-07,3325.0,s2,False
sell_in,B,all,나,W,var,2021-02-14,3335.0,s2,False
sell_in,B,all,나,W,var,2021-02-21,3338.0,s2,False
sell_in,B,all,나,W,var,2021-02-28,3340.0,s2,False
sell_in,B,all,나,W,var,2021-03-07,3340.0,s2,False
sell_in,B,all,나,W,var,2021-03-14,3340.0,s2,False
sell_in,B,all,나,W,var,2021-03-21,3340.0,s2,False
sell_in,B,all,나,W,var,2021-03-28,3340.0,s2,False
sell_in,B,all,라,W,var,2021-01-10,1378.0,s2,False
sell_in,B,all,라,W,var,2021-01-17,1437.0,s2,False
sell_in,B,all,라,W,var,2021-01-24,1455.0,s2,False
sell_in,B,all,라,W,var,2021-01-31,1462.0,s2,False
sell_in,B,all,라,W,var,2021-02-07,1465.0,s2,False
sell_in,B,all,라,W,var,2021-02-14,1466.0,s2,False
sell_in,B,all,라,W,var,2021-02-21,1466.0,s2,False
sell_in,B,all,라,W,var,2021-02-28,1466.0,s2,False
sell_in,B,all,라,W,var,2021-03-07,1467.0,s2,False
sell_in,B,all,라,W,var,2021-03-14,1467.0,s2,False
sell_in,B,all,라,W,var,2021-03-21,1467.0,s2,False
sell_in,B,all,라,W,var,2021-03-28,1467.0,s2,False
sell_in,B,all,all,W,var,2021-01-10,4146.0,s2,False
sell_in,B,all,all,W,var,2021-01-17,4581.0,s2,False
sell_in,B,all,all,W,var,2021-01-24,4731.0,s2,False
sell_in,B,all,all,W,var,2021-01-31,4782.0,s2,False
sell_in,B,all,all,W,var,2021-02-07,4798.0,s2,False
sell_in,B,all,all,W,var,2021-02-14,4803.0,s2,False
sell_in,B,all,all,W,var,2021-02-21,4804.0,s2,False
sell_in,B,all,all,W,var,2021-02-28,4804.0,s2,False
sell_in,B,all,all,W,var,2021-03-07,4804.0,s2,False
sell_in,B,all,all,W,var,2021-03-14,4803.0,s2,False
sell_in,B,all,all,W,var,2021-03-21,4803.0,s2,False
sell_in,B,all,all,W,var,2021-03-28,4803.0,s2,False
sell_in,C,g1,나,W,var,2021-01-10,1591.0,s2,False
sell_in,C,g1,나,W,var,2021-01-17,2065.0,s2,False
sell_in,C,g1,나,W,var,2021-01-24,2212.0,s2,False
sell_in,C,g1,나,W,var,2021-01-31,2258.0,s2,False
sell_in,C,g1,나,W,var,2021-02-07,2273.0,s2,False
sell_in,C,g1,나,W,var,2021-02-14,2277.0,s2,False
sell_in,C,g1,나,W,var,2021-02-21,2279.0,s2,False
sell_in,C,g1,나,W,var,2021-02-28,2279.0,s2,False
sell_in,C,g1,나,W,var,2021-03-07,2280.0,s2,False
sell_in,C,g1,나,W,var,2021-03-14,2280.0,s2,False
sell_in,C,g1,나,W,var,2021-03-21,2280.0,s2,False
sell_in,C,g1,나,W,var,2021-03-28,2280.0,s2,False
sell_in,C,g3,마,W,var,2021-01-10,10823.0,s2,False
sell_in,C,g3,마,W,var,2021-01-17,15550.0,s2,False
sell_in,C,g3,마,W,var,2021-01-24,18298.0,s2,False
sell_in,C,g3,마,W,var,2021-01-31,19985.0,s2,False
sell_in,C,g3,마,W,var,2021-02-07,21014.0,s2,False
sell_in,C,g3,마,W,var,2021-02-14,21641.0,s2,False
sell_in,C,g3,마,W,var,2021-02-21,22024.0,s2,False
sell_in,C,g3,마,W,var,2021-02-28,22258.0,s2,False
sell_in,C,g3,마,W,var,2021-03-07,22400.0,s2,False
sell_in,C,g3,마,W,var,2021-03-14,22487.0,s2,False
sell_in,C,g3,마,W,var,2021-03-21,22541.0,s2,False
sell_in,C,g3,마,W,var,2021-03-28,22573.0,s2,False
sell_in,C,all,나,W,var,2021-01-10,1591.0,s2,False
sell_in,C,all,나,W,var,2021-01-17,2065.0,s2,False
sell_in,C,all,나,W,var,2021-01-24,2212.0,s2,False
sell_in,C,all,나,W,var,2021-01-31,2258.0,s2,False
sell_in,C,all,나,W,var,2021-02-07,2273.0,s2,False
sell_in,C,all,나,W,var,2021-02-14,2277.0,s2,False
sell_in,C,all,나,W,var,2021-02-21,2279.0,s2,False
sell_in,C,all,나,W,var,2021-02-28,2279.0,s2,False
sell_in,C,all,나,W,var,2021-03-07,2280.0,s2,False
sell_in,C,all,나,W,var,2021-03-14,2280.0,s2,False
sell_in,C,all,나,W,var,2021-03-21,2280.0,s2,False
sell_in,C,all,나,W,var,2021-03-28,2280.0,s2,False
sell_in,C,all,마,W,var,2021-01-10,10823.0,s2,False
sell_in,C,all,마,W,var,2021-01-17,15550.0,s2,False
sell_in,C,all,마,W,var,2021-01-24,18298.0,s2,False
sell_in,C,all,마,W,var,2021-01-31,19985.0,s2,False
sell_in,C,all,마,W,var,2021-02-07,21014.0,s2,False
sell_in,C,all,마,W,var,2021-02-14,21641.0,s2,False
sell_in,C,all,마,W,var,2021-02-21,22024.0,s2,False
sell_in,C,all,마,W,var,2021-02-28,22258.0,s2,False
sell_in,C,all,마,W,var,2021-03-07,22400.0,s2,False
sell_in,C,all,마,W,var,2021-03-14,22487.0,s2,False
sell_in,C,all,마,W,var,2021-03-21,22541.0,s2,False
sell_in,C,all,마,W,var,2021-03-28,22573.0,s2,False
sell_in,C,all,all,W,var,2021-01-10,14061.0,s2,False
sell_in,C,all,all,W,var,2021-01-17,18518.0,s2,False
sell_in,C,all,all,W,var,2021-01-24,21129.0,s2,False
sell_in,C,all,all,W,var,2021-01-31,22669.0,s2,False
sell_in,C,all,all,W,var,2021-02-07,23581.0,s2,False
sell_in,C,all,all,W,var,2021-02-14,24122.0,s2,False
sell_in,C,all,all,W,var,2021-02-21,24444.0,s2,False
sell_in,C,all,all,W,var,2021-02-28,24635.0,s2,False
sell_in,C,all,all,W,var,2021-03-07,24749.0,s2,False
sell_in,C,all,all,W,var,2021-03-14,24816.0,s2,False
sell_in,C,all,all,W,var,2021-03-21,24857.0,s2,False
sell_in,C,all,all,W,var,2021-03-28,24881.0,s2,False
sell_in,all,g1,가,W,var,2021-01-10,14008.0,s2,False
sell_in,all,g1,가,W,var,2021-01-17,15718.0,s2,False
sell_in,all,g1,가,W,var,2021-01-24,15639.0,s2,False
