sell_type,cust_type,prod_group_type,prod_type,time_type,model,dt,prediction,scenario,smoothing
sell_in,A,g1,가,W,ar,2021-01-10,13098.0,s2,True
sell_in,A,g1,가,W,ar,2021-01-17,14434.0,s2,True
sell_in,A,g1,가,W,ar,2021-01-24,13256.0,s2,True
sell_in,A,g1,가,W,ar,2021-01-31,14410.0,s2,True
sell_in,A,g1,가,W,ar,2021-02-07,13233.0,s2,True
sell_in,A,g1,가,W,ar,2021-02-14,14387.0,s2,True
sell_in,A,g1,가,W,ar,2021-02-21,13211.0,s2,True
sell_in,A,g1,가,W,ar,2021-02-28,14365.0,s2,True
sell_in,A,g1,가,W,ar,2021-03-07,13188.0,s2,True
sell_in,A,g1,가,W,ar,2021-03-14,14342.0,s2,True
sell_in,A,g1,가,W,ar,2021-03-21,13166.0,s2,True
sell_in,A,g1,가,W,ar,2021-03-28,14320.0,s2,True
sell_in,A,g1,가,W,arma,2021-01-10,14827.0,s2,True
sell_in,A,g1,가,W,arma,2021-01-17,14972.0,s2,True
sell_in,A,g1,가,W,arma,2021-01-24,14971.0,s2,True
sell_in,A,g1,가,W,arma,2021-01-31,14971.0,s2,True
sell_in,A,g1,가,W,arma,2021-02-07,14971.0,s2,True
sell_in,A,g1,가,W,arma,2021-02-14,14971.0,s2,True
sell_in,A,g1,가,W,arma,2021-02-21,14971.0,s2,True
sell_in,A,g1,가,W,arma,2021-02-28,14971.0,s2,True
sell_in,A,g1,가,W,arma,2021-03-07,14971.0,s2,True
sell_in,A,g1,가,W,arma,2021-03-14,14971.0,s2,True
sell_in,A,g1,가,W,arma,2021-03-21,14971.0,s2,True
sell_in,A,g1,가,W,arma,2021-03-28,14971.0,s2,True
sell_in,A,g1,가,W,arima,2021-01-10,12479.0,s2,True
sell_in,A,g1,가,W,arima,2021-01-17,13898.0,s2,True
sell_in,A,g1,가,W,arima,2021-01-24,14511.0,s2,True
sell_in,A,g1,가,W,arima,2021-01-31,14776.0,s2,True
sell_in,A,g1,가,W,arima,2021-02-07,14890.0,s2,True
sell_in,A,g1,가,W,arima,2021-02-14,14940.0,s2,True
sell_in,A,g1,가,W,arima,2021-02-21,14961.0,s2,True
sell_in,A,g1,가,W,arima,2021-02-28,14970.0,s2,True
sell_in,A,g1,가,W,arima,2021-03-07,14974.0,s2,True
sell_in,A,g1,가,W,arima,2021-03-14,14976.0,s2,True
sell_in,A,g1,가,W,arima,2021-03-21,14977.0,s2,True
sell_in,A,g1,가,W,arima,2021-03-28,14977.0,s2,True
sell_in,A,g1,가,W,ses,2021-01-10,18554.0,s2,True
sell_in,A,g1,가,W,ses,2021-01-17,18554.0,s2,True
sell_in,A,g1,가,W,ses,2021-01-24,18554.0,s2,True
sell_in,A,g1,가,W,ses,2021-01-31,18554.0,s2,True
sell_in,A,g1,가,W,ses,2021-02-07,18554.0,s2,True
sell_in,A,g1,가,W,ses,2021-02-14,18554.0,s2,True
sell_in,A,g1,가,W,ses,2021-02-21,18554.0,s2,True
sell_in,A,g1,가,W,ses,2021-02-28,18554.0,s2,True
sell_in,A,g1,가,W,ses,2021-03-07,18554.0,s2,True
sell_in,A,g1,가,W,ses,2021-03-14,18554.0,s2,True
sell_in,A,g1,가,W,ses,2021-03-21,18554.0,s2,True
sell_in,A,g1,가,W,ses,2021-03-28,18554.0,s2,True
sell_in,A,g1,가,W,hw,2021-01-10,18810.0,s2,True
sell_in,A,g1,가,W,hw,2021-01-17,16052.0,s2,True
sell_in,A,g1,가,W,hw,2021-01-24,19530.0,s2,True
sell_in,A,g1,가,W,hw,2021-01-31,16765.0,s2,True
sell_in,A,g1,가,W,hw,2021-02-07,20235.0,s2,True
sell_in,A,g1,가,W,hw,2021-02-14,17463.0,s2,True
sell_in,A,g1,가,W,hw,2021-02-21,20927.0,s2,True
sell_in,A,g1,가,W,hw,2021-02-28,18147.0,s2,True
sell_in,A,g1,가,W,hw,2021-03-07,21604.0,s2,True
sell_in,A,g1,가,W,hw,2021-03-14,18818.0,s2,True
sell_in,A,g1,가,W,hw,2021-03-21,22268.0,s2,True
sell_in,A,g1,가,W,hw,2021-03-28,19476.0,s2,True
sell_in,A,g2,다,W,ar,2021-01-10,21501.0,s2,True
sell_in,A,g2,다,W,ar,2021-01-17,24065.0,s2,True
sell_in,A,g2,다,W,ar,2021-01-24,24915.0,s2,True
