sell_type,cust_type,prod_group_type,prod_type,time_type,model,dt,prediction,scenario,smoothing
sell_in,A,g1,가,W,var,2021-01-10,14867.0,s2,True
sell_in,A,g1,가,W,var,2021-01-17,14957.0,s2,True
sell_in,A,g1,가,W,var,2021-01-24,15043.0,s2,True
sell_in,A,g1,가,W,var,2021-01-31,15045.0,s2,True
sell_in,A,g1,가,W,var,2021-02-07,15045.0,s2,True
sell_in,A,g1,가,W,var,2021-02-14,15045.0,s2,True
sell_in,A,g1,가,W,var,2021-02-21,15045.0,s2,True
sell_in,A,g1,가,W,var,2021-02-28,15045.0,s2,True
sell_in,A,g1,가,W,var,2021-03-07,15045.0,s2,True
sell_in,A,g1,가,W,var,2021-03-14,15045.0,s2,True
sell_in,A,g1,가,W,var,2021-03-21,15045.0,s2,True
sell_in,A,g1,가,W,var,2021-03-28,15045.0,s2,True
sell_in,A,g2,다,W,var,2021-01-10,23131.0,s2,True
sell_in,A,g2,다,W,var,2021-01-17,25993.0,s2,True
sell_in,A,g2,다,W,var,2021-01-24,28260.0,s2,True
sell_in,A,g2,다,W,var,2021-01-31,30072.0,s2,True
sell_in,A,g2,다,W,var,2021-02-07,31517.0,s2,True
sell_in,A,g2,다,W,var,2021-02-14,32670.0,s2,True
sell_in,A,g2,다,W,var,2021-02-21,33591.0,s2,True
sell_in,A,g2,다,W,var,2021-02-28,34325.0,s2,True
sell_in,A,g2,다,W,var,2021-03-07,34912.0,s2,True
sell_in,A,g2,다,W,var,2021-03-14,35379.0,s2,True
sell_in,A,g2,다,W,var,2021-03-21,35753.0,s2,True
sell_in,A,g2,다,W,var,2021-03-28,36051.0,s2,True
sell_in,A,all,가,W,var,2021-01-10,14867.0,s2,True
sell_in,A,all,가,W,var,2021-01-17,14957.0,s2,True
sell_in,A,all,가,W,var,2021-01-24,15043.0,s2,True
sell_in,A,all,가,W,var,2021-01-31,15045.0,s2,True
sell_in,A,all,가,W,var,2021-02-07,15045.0,s2,True
sell_in,A,all,가,W,var,2021-02-14,15045.0,s2,True
sell_in,A,all,가,W,var,2021-02-21,15045.0,s2,True
sell_in,A,all,가,W,var,2021-02-28,15045.0,s2,True
sell_in,A,all,가,W,var,2021-03-07,15045.0,s2,True
sell_in,A,all,가,W,var,2021-03-14,15045.0,s2,True
sell_in,A,all,가,W,var,2021-03-21,15045.0,s2,True
sell_in,A,all,가,W,var,2021-03-28,15045.0,s2,True
sell_in,A,all,다,W,var,2021-01-10,23131.0,s2,True
sell_in,A,all,다,W,var,2021-01-17,25993.0,s2,True
sell_in,A,all,다,W,var,2021-01-24,28260.0,s2,True
sell_in,A,all,다,W,var,2021-01-31,30072.0,s2,True
sell_in,A,all,다,W,var,2021-02-07,31517.0,s2,True
sell_in,A,all,다,W,var,2021-02-14,32670.0,s2,True
sell_in,A,all,다,W,var,2021-02-21,33591.0,s2,True
sell_in,A,all,다,W,var,2021-02-28,34325.0,s2,True
sell_in,A,all,다,W,var,2021-03-07,34912.0,s2,True
sell_in,A,all,다,W,var,2021-03-14,35379.0,s2,True
sell_in,A,all,다,W,var,2021-03-21,35753.0,s2,True
sell_in,A,all,다,W,var,2021-03-28,36051.0,s2,True
sell_in,A,all,all,W,var,2021-01-10,35178.0,s2,True
sell_in,A,all,all,W,var,2021-01-17,40390.0,s2,True
sell_in,A,all,all,W,var,2021-01-24,43054.0,s2,True
sell_in,A,all,all,W,var,2021-01-31,45222.0,s2,True
sell_in,A,all,all,W,var,2021-02-07,46899.0,s2,True
sell_in,A,all,all,W,var,2021-02-14,48202.0,s2,True
sell_in,A,all,all,W,var,2021-02-21,49215.0,s2,True
sell_in,A,all,all,W,var,2021-02-28,50002.0,s2,True
sell_in,A,all,all,W,var,2021-03-07,50613.0,s2,True
sell_in,A,all,all,W,var,2021-03-14,51088.0,s2,True
sell_in,A,all,all,W,var,2021-03-21,51457.0,s2,True
sell_in,A,all,all,W,var,2021-03-28,51744.0,s2,True
sell_in,B,g1,나,W,var,2021-01-10,2527.0,s2,True
sell_in,B,g1,나,W,var,2021-01-17,2955.0,s2,True
sell_in,B,g1,나,W,var,2021-01-24,3113.0,s2,True
sell_in,B,g1,나,W,var,2021-01-31,3167.0,s2,True
sell_in,B,g1,나,W,var,2021-02-07,3186.0,s2,True
sell_in,B,g1,나,W,var,2021-02-14,3193.0,s2,True
sell_in,B,g1,나,W,var,2021-02-21,3195.0,s2,True
sell_in,B,g1,나,W,var,2021-02-28,3196.0,s2,True
sell_in,B,g1,나,W,var,2021-03-07,3196.0,s2,True
sell_in,B,g1,나,W,var,2021-03-14,3196.0,s2,True
sell_in,B,g1,나,W,var,2021-03-21,3196.0,s2,True
sell_in,B,g1,나,W,var,2021-03-28,3196.0,s2,True
sell_in,B,g2,라,W,var,2021-01-10,1332.0,s2,True
sell_in,B,g2,라,W,var,2021-01-17,1389.0,s2,True
sell_in,B,g2,라,W,var,2021-01-24,1409.0,s2,True
sell_in,B,g2,라,W,var,2021-01-31,1417.0,s2,True
sell_in,B,g2,라,W,var,2021-02-07,1421.0,s2,True
sell_in,B,g2,라,W,var,2021-02-14,1422.0,s2,True
sell_in,B,g2,라,W,var,2021-02-21,1423.0,s2,True
sell_in,B,g2,라,W,var,2021-02-28,1423.0,s2,True
sell_in,B,g2,라,W,var,2021-03-07,1423.0,s2,True
sell_in,B,g2,라,W,var,2021-03-14,1423.0,s2,True
sell_in,B,g2,라,W,var,2021-03-21,1423.0,s2,True
sell_in,B,g2,라,W,var,2021-03-28,1423.0,s2,True
sell_in,B,all,나,W,var,2021-01-10,2527.0,s2,True
sell_in,B,all,나,W,var,2021-01-17,2955.0,s2,True
sell_in,B,all,나,W,var,2021-01-24,3113.0,s2,True
sell_in,B,all,나,W,var,2021-01-31,3167.0,s2,True
sell_in,B,all,나,W,var,2021-02-07,3186.0,s2,True
sell_in,B,all,나,W,var,2021-02-14,3193.0,s2,True
sell_in,B,all,나,W,var,2021-02-21,3195.0,s2,True
sell_in,B,all,나,W,var,2021-02-28,3196.0,s2,True
sell_in,B,all,나,W,var,2021-03-07,3196.0,s2,True
sell_in,B,all,나,W,var,2021-03-14,3196.0,s2,True
sell_in,B,all,나,W,var,2021-03-21,3196.0,s2,True
sell_in,B,all,나,W,var,2021-03-28,3196.0,s2,True
sell_in,B,all,라,W,var,2021-01-10,1332.0,s2,True
sell_in,B,all,라,W,var,2021-01-17,1389.0,s2,True
sell_in,B,all,라,W,var,2021-01-24,1409.0,s2,True
sell_in,B,all,라,W,var,2021-01-31,1417.0,s2,True
sell_in,B,all,라,W,var,2021-02-07,1421.0,s2,True
sell_in,B,all,라,W,var,2021-02-14,1422.0,s2,True
sell_in,B,all,라,W,var,2021-02-21,1423.0,s2,True
sell_in,B,all,라,W,var,2021-02-28,1423.0,s2,True
sell_in,B,all,라,W,var,2021-03-07,1423.0,s2,True
sell_in,B,all,라,W,var,2021-03-14,1423.0,s2,True
sell_in,B,all,라,W,var,2021-03-21,1423.0,s2,True
sell_in,B,all,라,W,var,2021-03-28,1423.0,s2,True
sell_in,B,all,all,W,var,2021-01-10,4069.0,s2,True
sell_in,B,all,all,W,var,2021-01-17,4478.0,s2,True
sell_in,B,all,all,W,var,2021-01-24,4618.0,s2,True
sell_in,B,all,all,W,var,2021-01-31,4665.0,s2,True
sell_in,B,all,all,W,var,2021-02-07,4679.0,s2,True
sell_in,B,all,all,W,var,2021-02-14,4683.0,s2,True
sell_in,B,all,all,W,var,2021-02-21,4684.0,s2,True
sell_in,B,all,all,W,var,2021-02-28,4684.0,s2,True
sell_in,B,all,all,W,var,2021-03-07,4684.0,s2,True
sell_in,B,all,all,W,var,2021-03-14,4683.0,s2,True
sell_in,B,all,all,W,var,2021-03-21,4683.0,s2,True
sell_in,B,all,all,W,var,2021-03-28,4683.0,s2,True
sell_in,C,g1,나,W,var,2021-01-10,1374.0,s2,True
sell_in,C,g1,나,W,var,2021-01-17,1825.0,s2,True
sell_in,C,g1,나,W,var,2021-01-24,1990.0,s2,True
sell_in,C,g1,나,W,var,2021-01-31,2051.0,s2,True
sell_in,C,g1,나,W,var,2021-02-07,2073.0,s2,True
sell_in,C,g1,나,W,var,2021-02-14,2081.0,s2,True
sell_in,C,g1,나,W,var,2021-02-21,2084.0,s2,True
sell_in,C,g1,나,W,var,2021-02-28,2085.0,s2,True
sell_in,C,g1,나,W,var,2021-03-07,2086.0,s2,True
sell_in,C,g1,나,W,var,2021-03-14,2086.0,s2,True
sell_in,C,g1,나,W,var,2021-03-21,2086.0,s2,True
sell_in,C,g1,나,W,var,2021-03-28,2086.0,s2,True
sell_in,C,g3,마,W,var,2021-01-10,9652.0,s2,True
sell_in,C,g3,마,W,var,2021-01-17,13062.0,s2,True
sell_in,C,g3,마,W,var,2021-01-24,15381.0,s2,True
sell_in,C,g3,마,W,var,2021-01-31,17007.0,s2,True
sell_in,C,g3,마,W,var,2021-02-07,18143.0,s2,True
sell_in,C,g3,마,W,var,2021-02-14,18937.0,s2,True
sell_in,C,g3,마,W,var,2021-02-21,19492.0,s2,True
sell_in,C,g3,마,W,var,2021-02-28,19880.0,s2,True
sell_in,C,g3,마,W,var,2021-03-07,20151.0,s2,True
sell_in,C,g3,마,W,var,2021-03-14,20340.0,s2,True
sell_in,C,g3,마,W,var,2021-03-21,20473.0,s2,True
sell_in,C,g3,마,W,var,2021-03-28,20566.0,s2,True
sell_in,C,all,나,W,var,2021-01-10,1374.0,s2,True
sell_in,C,all,나,W,var,2021-01-17,1825.0,s2,True
sell_in,C,all,나,W,var,2021-01-24,1990.0,s2,True
sell_in,C,all,나,W,var,2021-01-31,2051.0,s2,True
sell_in,C,all,나,W,var,2021-02-07,2073.0,s2,True
sell_in,C,all,나,W,var,2021-02-14,2081.0,s2,True
sell_in,C,all,나,W,var,2021-02-21,2084.0,s2,True
sell_in,C,all,나,W,var,2021-02-28,2085.0,s2,True
sell_in,C,all,나,W,var,2021-03-07,2086.0,s2,True
sell_in,C,all,나,W,var,2021-03-14,2086.0,s2,True
sell_in,C,all,나,W,var,2021-03-21,2086.0,s2,True
sell_in,C,all,나,W,var,2021-03-28,2086.0,s2,True
sell_in,C,all,마,W,var,2021-01-10,9652.0,s2,True
sell_in,C,all,마,W,var,2021-01-17,13062.0,s2,True
sell_in,C,all,마,W,var,2021-01-24,15381.0,s2,True
sell_in,C,all,마,W,var,2021-01-31,17007.0,s2,True
sell_in,C,all,마,W,var,2021-02-07,18143.0,s2,True
sell_in,C,all,마,W,var,2021-02-14,18937.0,s2,True
sell_in,C,all,마,W,var,2021-02-21,19492.0,s2,True
sell_in,C,all,마,W,var,2021-02-28,19880.0,s2,True
sell_in,C,all,마,W,var,2021-03-07,20151.0,s2,True
sell_in,C,all,마,W,var,2021-03-14,20340.0,s2,True
sell_in,C,all,마,W,var,2021-03-21,20473.0,s2,True
sell_in,C,all,마,W,var,2021-03-28,20566.0,s2,True
sell_in,C,all,all,W,var,2021-01-10,12300.0,s2,True
sell_in,C,all,all,W,var,2021-01-17,15879.0,s2,True
sell_in,C,all,all,W,var,2021-01-24,18185.0,s2,True
sell_in,C,all,all,W,var,2021-01-31,19725.0,s2,True
sell_in,C,all,all,W,var,2021-02-07,20773.0,s2,True
sell_in,C,all,all,W,var,2021-02-14,21493.0,s2,True
sell_in,C,all,all,W,var,2021-02-21,21990.0,s2,True
sell_in,C,all,all,W,var,2021-02-28,22333.0,s2,True
sell_in,C,all,all,W,var,2021-03-07,22570.0,s2,True
sell_in,C,all,all,W,var,2021-03-14,22734.0,s2,True
sell_in,C,all,all,W,var,2021-03-21,22848.0,s2,True
sell_in,C,all,all,W,var,2021-03-28,22927.0,s2,True
sell_in,all,g1,가,W,var,2021-01-10,14867.0,s2,True
sell_in,all,g1,가,W,var,2021-01-17,14957.0,s2,True
sell_in,all,g1,가,W,var,2021-01-24,15043.0,s2,True
