sell_type,cust_type,prod_group_type,prod_type,time_type,model,dt,prediction,scenario,smoothing
sell_in,A,g1,가,W,lstm,2021-01-10,233.0,s3,False
sell_in,A,g1,가,W,lstm,2021-01-17,582.0,s3,False
sell_in,A,g1,가,W,lstm,2021-01-24,457.0,s3,False
sell_in,A,g1,가,W,lstm,2021-01-31,558.0,s3,False
sell_in,A,g1,가,W,lstm,2021-02-07,521.0,s3,False
sell_in,A,g1,가,W,lstm,2021-02-14,507.0,s3,False
sell_in,A,g1,가,W,lstm,2021-02-21,602.0,s3,False
sell_in,A,g1,가,W,lstm,2021-02-28,610.0,s3,False
sell_in,A,g1,가,W,lstm,2021-03-07,549.0,s3,False
sell_in,A,g1,가,W,lstm,2021-03-14,660.0,s3,False
sell_in,A,g1,가,W,lstm,2021-03-21,708.0,s3,False
sell_in,A,g1,가,W,lstm,2021-03-28,602.0,s3,False
sell_in,A,g2,다,W,lstm,2021-01-10,-5125.0,s3,False
sell_in,A,g2,다,W,lstm,2021-01-17,-13651.0,s3,False
sell_in,A,g2,다,W,lstm,2021-01-24,-13084.0,s3,False
sell_in,A,g2,다,W,lstm,2021-01-31,-14706.0,s3,False
sell_in,A,g2,다,W,lstm,2021-02-07,-18257.0,s3,False
sell_in,A,g2,다,W,lstm,2021-02-14,-18634.0,s3,False
sell_in,A,g2,다,W,lstm,2021-02-21,-20712.0,s3,False
sell_in,A,g2,다,W,lstm,2021-02-28,-18592.0,s3,False
sell_in,A,g2,다,W,lstm,2021-03-07,-17552.0,s3,False
sell_in,A,g2,다,W,lstm,2021-03-14,-17421.0,s3,False
sell_in,A,g2,다,W,lstm,2021-03-21,-17387.0,s3,False
sell_in,A,g2,다,W,lstm,2021-03-28,-15287.0,s3,False
sell_in,A,all,가,W,lstm,2021-01-10,-1219.0,s3,False
sell_in,A,all,가,W,lstm,2021-01-17,-3277.0,s3,False
sell_in,A,all,가,W,lstm,2021-01-24,-2725.0,s3,False
sell_in,A,all,가,W,lstm,2021-01-31,-3530.0,s3,False
sell_in,A,all,가,W,lstm,2021-02-07,-3640.0,s3,False
sell_in,A,all,가,W,lstm,2021-02-14,-3811.0,s3,False
sell_in,A,all,가,W,lstm,2021-02-21,-4585.0,s3,False
sell_in,A,all,가,W,lstm,2021-02-28,-4935.0,s3,False
sell_in,A,all,가,W,lstm,2021-03-07,-4618.0,s3,False
sell_in,A,all,가,W,lstm,2021-03-14,-5462.0,s3,False
sell_in,A,all,가,W,lstm,2021-03-21,-6065.0,s3,False
sell_in,A,all,가,W,lstm,2021-03-28,-5157.0,s3,False
sell_in,A,all,다,W,lstm,2021-01-10,-3375.0,s3,False
sell_in,A,all,다,W,lstm,2021-01-17,-9342.0,s3,False
sell_in,A,all,다,W,lstm,2021-01-24,-9771.0,s3,False
