sell_type,cust_type,prod_group_type,prod_type,time_type,model,dt,prediction,scenario,smoothing
sell_in,A,g1,가,W,var,2021-01-10,21240.0,s4,False
sell_in,A,g1,가,W,var,2021-01-17,24079.0,s4,False
sell_in,A,g1,가,W,var,2021-01-24,23864.0,s4,False
sell_in,A,g1,가,W,var,2021-01-31,23882.0,s4,False
sell_in,A,g1,가,W,var,2021-02-07,23880.0,s4,False
sell_in,A,g1,가,W,var,2021-02-14,23880.0,s4,False
sell_in,A,g1,가,W,var,2021-02-21,23880.0,s4,False
sell_in,A,g1,가,W,var,2021-02-28,23880.0,s4,False
sell_in,A,g1,가,W,var,2021-03-07,23880.0,s4,False
sell_in,A,g1,가,W,var,2021-03-14,23880.0,s4,False
sell_in,A,g1,가,W,var,2021-03-21,23880.0,s4,False
sell_in,A,g1,가,W,var,2021-03-28,23880.0,s4,False
sell_in,A,g2,다,W,var,2021-01-10,40258.0,s4,False
sell_in,A,g2,다,W,var,2021-01-17,46602.0,s4,False
sell_in,A,g2,다,W,var,2021-01-24,51623.0,s4,False
sell_in,A,g2,다,W,var,2021-01-31,55593.0,s4,False
sell_in,A,g2,다,W,var,2021-02-07,58729.0,s4,False
sell_in,A,g2,다,W,var,2021-02-14,61206.0,s4,False
sell_in,A,g2,다,W,var,2021-02-21,63161.0,s4,False
sell_in,A,g2,다,W,var,2021-02-28,64705.0,s4,False
sell_in,A,g2,다,W,var,2021-03-07,65923.0,s4,False
sell_in,A,g2,다,W,var,2021-03-14,66884.0,s4,False
sell_in,A,g2,다,W,var,2021-03-21,67643.0,s4,False
sell_in,A,g2,다,W,var,2021-03-28,68241.0,s4,False
sell_in,A,all,가,W,var,2021-01-10,21240.0,s4,False
sell_in,A,all,가,W,var,2021-01-17,24079.0,s4,False
sell_in,A,all,가,W,var,2021-01-24,23864.0,s4,False
sell_in,A,all,가,W,var,2021-01-31,23882.0,s4,False
sell_in,A,all,가,W,var,2021-02-07,23880.0,s4,False
sell_in,A,all,가,W,var,2021-02-14,23880.0,s4,False
sell_in,A,all,가,W,var,2021-02-21,23880.0,s4,False
sell_in,A,all,가,W,var,2021-02-28,23880.0,s4,False
sell_in,A,all,가,W,var,2021-03-07,23880.0,s4,False
sell_in,A,all,가,W,var,2021-03-14,23880.0,s4,False
sell_in,A,all,가,W,var,2021-03-21,23880.0,s4,False
sell_in,A,all,가,W,var,2021-03-28,23880.0,s4,False
sell_in,A,all,다,W,var,2021-01-10,40258.0,s4,False
sell_in,A,all,다,W,var,2021-01-17,46602.0,s4,False
sell_in,A,all,다,W,var,2021-01-24,51623.0,s4,False
sell_in,A,all,다,W,var,2021-01-31,55593.0,s4,False
sell_in,A,all,다,W,var,2021-02-07,58729.0,s4,False
sell_in,A,all,다,W,var,2021-02-14,61206.0,s4,False
sell_in,A,all,다,W,var,2021-02-21,63161.0,s4,False
sell_in,A,all,다,W,var,2021-02-28,64705.0,s4,False
sell_in,A,all,다,W,var,2021-03-07,65923.0,s4,False
sell_in,A,all,다,W,var,2021-03-14,66884.0,s4,False
sell_in,A,all,다,W,var,2021-03-21,67643.0,s4,False
sell_in,A,all,다,W,var,2021-03-28,68241.0,s4,False
sell_in,A,all,all,W,var,2021-01-10,82310.0,s4,False
sell_in,A,all,all,W,var,2021-01-17,83936.0,s4,False
sell_in,A,all,all,W,var,2021-01-24,86419.0,s4,False
sell_in,A,all,all,W,var,2021-01-31,88505.0,s4,False
sell_in,A,all,all,W,var,2021-02-07,90074.0,s4,False
sell_in,A,all,all,W,var,2021-02-14,91218.0,s4,False
sell_in,A,all,all,W,var,2021-02-21,92043.0,s4,False
sell_in,A,all,all,W,var,2021-02-28,92637.0,s4,False
sell_in,A,all,all,W,var,2021-03-07,93064.0,s4,False
sell_in,A,all,all,W,var,2021-03-14,93371.0,s4,False
sell_in,A,all,all,W,var,2021-03-21,93592.0,s4,False
sell_in,A,all,all,W,var,2021-03-28,93750.0,s4,False
sell_in,B,g1,나,W,var,2021-01-10,5716.0,s4,False
sell_in,B,g1,나,W,var,2021-01-17,6696.0,s4,False
sell_in,B,g1,나,W,var,2021-01-24,7128.0,s4,False
sell_in,B,g1,나,W,var,2021-01-31,7323.0,s4,False
sell_in,B,g1,나,W,var,2021-02-07,7413.0,s4,False
sell_in,B,g1,나,W,var,2021-02-14,7456.0,s4,False
sell_in,B,g1,나,W,var,2021-02-21,7476.0,s4,False
sell_in,B,g1,나,W,var,2021-02-28,7486.0,s4,False
sell_in,B,g1,나,W,var,2021-03-07,7491.0,s4,False
sell_in,B,g1,나,W,var,2021-03-14,7493.0,s4,False
sell_in,B,g1,나,W,var,2021-03-21,7494.0,s4,False
sell_in,B,g1,나,W,var,2021-03-28,7495.0,s4,False
sell_in,B,g2,라,W,var,2021-01-10,4459.0,s4,False
sell_in,B,g2,라,W,var,2021-01-17,4835.0,s4,False
sell_in,B,g2,라,W,var,2021-01-24,4947.0,s4,False
sell_in,B,g2,라,W,var,2021-01-31,4960.0,s4,False
sell_in,B,g2,라,W,var,2021-02-07,4941.0,s4,False
