sell_type,cust_type,prod_group_type,prod_type,time_type,model,dt,prediction,scenario,smoothing
sell_in,A,g1,가,W,lstm,2021-01-10,2084.0,s4,True
sell_in,A,g1,가,W,lstm,2021-01-17,4257.0,s4,True
sell_in,A,g1,가,W,lstm,2021-01-24,3936.0,s4,True
sell_in,A,g1,가,W,lstm,2021-01-31,4835.0,s4,True
sell_in,A,g1,가,W,lstm,2021-02-07,5123.0,s4,True
sell_in,A,g1,가,W,lstm,2021-02-14,5400.0,s4,True
sell_in,A,g1,가,W,lstm,2021-02-21,6250.0,s4,True
sell_in,A,g1,가,W,lstm,2021-02-28,6753.0,s4,True
sell_in,A,g1,가,W,lstm,2021-03-07,6556.0,s4,True
sell_in,A,g1,가,W,lstm,2021-03-14,7378.0,s4,True
sell_in,A,g1,가,W,lstm,2021-03-21,8104.0,s4,True
sell_in,A,g1,가,W,lstm,2021-03-28,7233.0,s4,True
sell_in,A,g2,다,W,lstm,2021-01-10,27418.0,s4,True
sell_in,A,g2,다,W,lstm,2021-01-17,27488.0,s4,True
sell_in,A,g2,다,W,lstm,2021-01-24,28363.0,s4,True
sell_in,A,g2,다,W,lstm,2021-01-31,28569.0,s4,True
sell_in,A,g2,다,W,lstm,2021-02-07,28476.0,s4,True
sell_in,A,g2,다,W,lstm,2021-02-14,29152.0,s4,True
sell_in,A,g2,다,W,lstm,2021-02-21,30015.0,s4,True
sell_in,A,g2,다,W,lstm,2021-02-28,30857.0,s4,True
sell_in,A,g2,다,W,lstm,2021-03-07,31069.0,s4,True
sell_in,A,g2,다,W,lstm,2021-03-14,31083.0,s4,True
sell_in,A,g2,다,W,lstm,2021-03-21,31063.0,s4,True
sell_in,A,g2,다,W,lstm,2021-03-28,31162.0,s4,True
sell_in,A,all,가,W,lstm,2021-01-10,188.0,s4,True
sell_in,A,all,가,W,lstm,2021-01-17,-1071.0,s4,True
sell_in,A,all,가,W,lstm,2021-01-24,-608.0,s4,True
sell_in,A,all,가,W,lstm,2021-01-31,-1021.0,s4,True
sell_in,A,all,가,W,lstm,2021-02-07,-1012.0,s4,True
sell_in,A,all,가,W,lstm,2021-02-14,-1053.0,s4,True
sell_in,A,all,가,W,lstm,2021-02-21,-1474.0,s4,True
sell_in,A,all,가,W,lstm,2021-02-28,-1621.0,s4,True
sell_in,A,all,가,W,lstm,2021-03-07,-1361.0,s4,True
sell_in,A,all,가,W,lstm,2021-03-14,-1879.0,s4,True
sell_in,A,all,가,W,lstm,2021-03-21,-2218.0,s4,True
sell_in,A,all,가,W,lstm,2021-03-28,-1516.0,s4,True
sell_in,A,all,다,W,lstm,2021-01-10,29690.0,s4,True
sell_in,A,all,다,W,lstm,2021-01-17,33533.0,s4,True
sell_in,A,all,다,W,lstm,2021-01-24,34092.0,s4,True
sell_in,A,all,다,W,lstm,2021-01-31,35439.0,s4,True
sell_in,A,all,다,W,lstm,2021-02-07,38142.0,s4,True
sell_in,A,all,다,W,lstm,2021-02-14,39342.0,s4,True
sell_in,A,all,다,W,lstm,2021-02-21,40737.0,s4,True
sell_in,A,all,다,W,lstm,2021-02-28,40963.0,s4,True
sell_in,A,all,다,W,lstm,2021-03-07,40704.0,s4,True
sell_in,A,all,다,W,lstm,2021-03-14,40732.0,s4,True
sell_in,A,all,다,W,lstm,2021-03-21,40820.0,s4,True
sell_in,A,all,다,W,lstm,2021-03-28,39601.0,s4,True
sell_in,A,all,all,W,lstm,2021-01-10,37855.0,s4,True
sell_in,A,all,all,W,lstm,2021-01-17,42079.0,s4,True
sell_in,A,all,all,W,lstm,2021-01-24,41426.0,s4,True
sell_in,A,all,all,W,lstm,2021-01-31,43013.0,s4,True
sell_in,A,all,all,W,lstm,2021-02-07,44984.0,s4,True
sell_in,A,all,all,W,lstm,2021-02-14,45468.0,s4,True
