sell_type,cust_type,prod_group_type,prod_type,time_type,model,dt,prediction,scenario,smoothing
sell_in,A,g1,가,W,lstm_vn,2021-01-10,6165.0,s4,True
sell_in,A,g1,가,W,lstm_vn,2021-01-17,9484.0,s4,True
sell_in,A,g1,가,W,lstm_vn,2021-01-24,11870.0,s4,True
sell_in,A,g1,가,W,lstm_vn,2021-01-31,14643.0,s4,True
sell_in,A,g1,가,W,lstm_vn,2021-02-07,17244.0,s4,True
sell_in,A,g1,가,W,lstm_vn,2021-02-14,19784.0,s4,True
sell_in,A,g1,가,W,lstm_vn,2021-02-21,22700.0,s4,True
sell_in,A,g1,가,W,lstm_vn,2021-02-28,25599.0,s4,True
sell_in,A,g1,가,W,lstm_vn,2021-03-07,28002.0,s4,True
sell_in,A,g1,가,W,lstm_vn,2021-03-14,31136.0,s4,True
sell_in,A,g1,가,W,lstm_vn,2021-03-21,34553.0,s4,True
sell_in,A,g1,가,W,lstm_vn,2021-03-28,36639.0,s4,True
sell_in,A,g2,다,W,lstm_vn,2021-01-10,38806.0,s4,True
sell_in,A,g2,다,W,lstm_vn,2021-01-17,47328.0,s4,True
sell_in,A,g2,다,W,lstm_vn,2021-01-24,49381.0,s4,True
sell_in,A,g2,다,W,lstm_vn,2021-01-31,53398.0,s4,True
sell_in,A,g2,다,W,lstm_vn,2021-02-07,58979.0,s4,True
sell_in,A,g2,다,W,lstm_vn,2021-02-14,61406.0,s4,True
sell_in,A,g2,다,W,lstm_vn,2021-02-21,65324.0,s4,True
sell_in,A,g2,다,W,lstm_vn,2021-02-28,64653.0,s4,True
sell_in,A,g2,다,W,lstm_vn,2021-03-07,64453.0,s4,True
sell_in,A,g2,다,W,lstm_vn,2021-03-14,65114.0,s4,True
sell_in,A,g2,다,W,lstm_vn,2021-03-21,65749.0,s4,True
sell_in,A,g2,다,W,lstm_vn,2021-03-28,63845.0,s4,True
sell_in,A,all,가,W,lstm_vn,2021-01-10,6677.0,s4,True
sell_in,A,all,가,W,lstm_vn,2021-01-17,11538.0,s4,True
sell_in,A,all,가,W,lstm_vn,2021-01-24,12670.0,s4,True
