sell_type,cust_type,prod_type,time_type,model,dt,prediction
sell_in,A,가,W,lstm_vn,2021-01-10,15666.0
sell_in,A,가,W,lstm_vn,2021-01-17,22722.0
sell_in,A,가,W,lstm_vn,2021-01-24,22953.0
sell_in,A,가,W,lstm_vn,2021-01-31,24574.0
sell_in,A,가,W,lstm_vn,2021-02-07,24441.0
sell_in,A,가,W,lstm_vn,2021-02-14,24050.0
sell_in,A,가,W,lstm_vn,2021-02-21,24642.0
sell_in,A,가,W,lstm_vn,2021-02-28,24516.0
sell_in,A,가,W,lstm_vn,2021-03-07,23187.0
sell_in,A,가,W,lstm_vn,2021-03-14,23933.0
sell_in,A,가,W,lstm_vn,2021-03-21,24409.0
sell_in,A,가,W,lstm_vn,2021-03-28,22107.0
sell_in,A,다,W,lstm_vn,2021-01-10,55121.0
sell_in,A,다,W,lstm_vn,2021-01-17,71291.0
sell_in,A,다,W,lstm_vn,2021-01-24,63698.0
sell_in,A,다,W,lstm_vn,2021-01-31,61843.0
sell_in,A,다,W,lstm_vn,2021-02-07,62370.0
sell_in,A,다,W,lstm_vn,2021-02-14,56120.0
sell_in,A,다,W,lstm_vn,2021-02-21,52930.0
sell_in,A,다,W,lstm_vn,2021-02-28,46176.0
sell_in,A,다,W,lstm_vn,2021-03-07,43576.0
sell_in,A,다,W,lstm_vn,2021-03-14,43071.0
sell_in,A,다,W,lstm_vn,2021-03-21,42941.0
sell_in,A,다,W,lstm_vn,2021-03-28,40471.0
sell_in,A,all,W,lstm_vn,2021-01-10,64152.0
sell_in,A,all,W,lstm_vn,2021-01-17,85064.0
sell_in,A,all,W,lstm_vn,2021-01-24,85692.0
sell_in,A,all,W,lstm_vn,2021-01-31,89587.0
sell_in,A,all,W,lstm_vn,2021-02-07,91586.0
sell_in,A,all,W,lstm_vn,2021-02-14,87217.0
sell_in,A,all,W,lstm_vn,2021-02-21,84318.0
sell_in,A,all,W,lstm_vn,2021-02-28,76938.0
sell_in,A,all,W,lstm_vn,2021-03-07,71210.0
sell_in,A,all,W,lstm_vn,2021-03-14,69392.0
sell_in,A,all,W,lstm_vn,2021-03-21,67312.0
sell_in,A,all,W,lstm_vn,2021-03-28,62273.0
sell_in,B,나,W,lstm_vn,2021-01-10,3914.0
sell_in,B,나,W,lstm_vn,2021-01-17,5486.0
sell_in,B,나,W,lstm_vn,2021-01-24,6253.0
sell_in,B,나,W,lstm_vn,2021-01-31,6257.0
sell_in,B,나,W,lstm_vn,2021-02-07,6007.0
sell_in,B,나,W,lstm_vn,2021-02-14,5903.0
sell_in,B,나,W,lstm_vn,2021-02-21,5746.0
sell_in,B,나,W,lstm_vn,2021-02-28,5404.0
sell_in,B,나,W,lstm_vn,2021-03-07,6360.0
sell_in,B,나,W,lstm_vn,2021-03-14,5999.0
sell_in,B,나,W,lstm_vn,2021-03-21,5740.0
sell_in,B,나,W,lstm_vn,2021-03-28,6007.0
sell_in,B,라,W,lstm_vn,2021-01-10,1752.0
sell_in,B,라,W,lstm_vn,2021-01-17,2150.0
sell_in,B,라,W,lstm_vn,2021-01-24,2328.0
sell_in,B,라,W,lstm_vn,2021-01-31,2366.0
sell_in,B,라,W,lstm_vn,2021-02-07,2280.0
sell_in,B,라,W,lstm_vn,2021-02-14,2099.0
sell_in,B,라,W,lstm_vn,2021-02-21,1855.0
sell_in,B,라,W,lstm_vn,2021-02-28,1676.0
sell_in,B,라,W,lstm_vn,2021-03-07,1454.0
sell_in,B,라,W,lstm_vn,2021-03-14,1292.0
sell_in,B,라,W,lstm_vn,2021-03-21,1221.0
sell_in,B,라,W,lstm_vn,2021-03-28,1216.0
sell_in,B,all,W,lstm_vn,2021-01-10,6718.0
sell_in,B,all,W,lstm_vn,2021-01-17,8684.0
sell_in,B,all,W,lstm_vn,2021-01-24,9324.0
sell_in,B,all,W,lstm_vn,2021-01-31,9079.0
sell_in,B,all,W,lstm_vn,2021-02-07,8511.0
sell_in,B,all,W,lstm_vn,2021-02-14,8288.0
sell_in,B,all,W,lstm_vn,2021-02-21,7588.0
sell_in,B,all,W,lstm_vn,2021-02-28,7306.0
sell_in,B,all,W,lstm_vn,2021-03-07,7988.0
sell_in,B,all,W,lstm_vn,2021-03-14,7396.0
sell_in,B,all,W,lstm_vn,2021-03-21,6882.0
sell_in,B,all,W,lstm_vn,2021-03-28,6954.0
sell_in,C,나,W,lstm_vn,2021-01-10,1856.0
sell_in,C,나,W,lstm_vn,2021-01-17,1922.0
sell_in,C,나,W,lstm_vn,2021-01-24,2153.0
sell_in,C,나,W,lstm_vn,2021-01-31,2309.0
sell_in,C,나,W,lstm_vn,2021-02-07,2357.0
sell_in,C,나,W,lstm_vn,2021-02-14,2223.0
sell_in,C,나,W,lstm_vn,2021-02-21,2164.0
sell_in,C,나,W,lstm_vn,2021-02-28,2216.0
sell_in,C,나,W,lstm_vn,2021-03-07,2358.0
