sell_type,cust_type,prod_type,time_type,model,dt,prediction
sell_in,A,가,W,arma,2021-01-10,19477.0
sell_in,A,가,W,arma,2021-01-17,23085.0
sell_in,A,가,W,arma,2021-01-24,22726.0
sell_in,A,가,W,arma,2021-01-31,22762.0
sell_in,A,가,W,arma,2021-02-07,22758.0
sell_in,A,가,W,arma,2021-02-14,22758.0
sell_in,A,가,W,arma,2021-02-21,22758.0
sell_in,A,가,W,arma,2021-02-28,22758.0
sell_in,A,가,W,arma,2021-03-07,22758.0
sell_in,A,가,W,arma,2021-03-14,22758.0
sell_in,A,가,W,arma,2021-03-21,22758.0
sell_in,A,가,W,arma,2021-03-28,22758.0
sell_in,A,다,W,arma,2021-01-10,39456.0
sell_in,A,다,W,arma,2021-01-17,44769.0
sell_in,A,다,W,arma,2021-01-24,48692.0
sell_in,A,다,W,arma,2021-01-31,51587.0
sell_in,A,다,W,arma,2021-02-07,53723.0
sell_in,A,다,W,arma,2021-02-14,55300.0
sell_in,A,다,W,arma,2021-02-21,56465.0
sell_in,A,다,W,arma,2021-02-28,57324.0
sell_in,A,다,W,arma,2021-03-07,57958.0
sell_in,A,다,W,arma,2021-03-14,58426.0
sell_in,A,다,W,arma,2021-03-21,58771.0
sell_in,A,다,W,arma,2021-03-28,59027.0
sell_in,A,all,W,arma,2021-01-10,84303.0
sell_in,A,all,W,arma,2021-01-17,83096.0
sell_in,A,all,W,arma,2021-01-24,82698.0
sell_in,A,all,W,arma,2021-01-31,82568.0
sell_in,A,all,W,arma,2021-02-07,82525.0
sell_in,A,all,W,arma,2021-02-14,82510.0
sell_in,A,all,W,arma,2021-02-21,82506.0
sell_in,A,all,W,arma,2021-02-28,82504.0
sell_in,A,all,W,arma,2021-03-07,82504.0
sell_in,A,all,W,arma,2021-03-14,82504.0
sell_in,A,all,W,arma,2021-03-21,82503.0
sell_in,A,all,W,arma,2021-03-28,82503.0
sell_in,B,나,W,ar,2021-01-10,1739.0
sell_in,B,나,W,ar,2021-01-17,2828.0
sell_in,B,나,W,ar,2021-01-24,1414.0
sell_in,B,나,W,ar,2021-01-31,2594.0
sell_in,B,나,W,ar,2021-02-07,1211.0
sell_in,B,나,W,ar,2021-02-14,2402.0
sell_in,B,나,W,ar,2021-02-21,1022.0
sell_in,B,나,W,ar,2021-02-28,2214.0
sell_in,B,나,W,ar,2021-03-07,835.0
sell_in,B,나,W,ar,2021-03-14,2027.0
sell_in,B,나,W,ar,2021-03-21,648.0
sell_in,B,나,W,ar,2021-03-28,1841.0
sell_in,B,라,W,arma,2021-01-10,1623.0
sell_in,B,라,W,arma,2021-01-17,1865.0
sell_in,B,라,W,arma,2021-01-24,2022.0
sell_in,B,라,W,arma,2021-01-31,2124.0
sell_in,B,라,W,arma,2021-02-07,2190.0
sell_in,B,라,W,arma,2021-02-14,2232.0
sell_in,B,라,W,arma,2021-02-21,2260.0
sell_in,B,라,W,arma,2021-02-28,2278.0
sell_in,B,라,W,arma,2021-03-07,2290.0
sell_in,B,라,W,arma,2021-03-14,2297.0
sell_in,B,라,W,arma,2021-03-21,2302.0
sell_in,B,라,W,arma,2021-03-28,2305.0
sell_in,B,all,W,ar,2021-01-10,3659.0
sell_in,B,all,W,ar,2021-01-17,5073.0
sell_in,B,all,W,ar,2021-01-24,3691.0
sell_in,B,all,W,ar,2021-01-31,4967.0
sell_in,B,all,W,ar,2021-02-07,3534.0
sell_in,B,all,W,ar,2021-02-14,4791.0
sell_in,B,all,W,ar,2021-02-21,3351.0
sell_in,B,all,W,ar,2021-02-28,4605.0
sell_in,B,all,W,ar,2021-03-07,3163.0
sell_in,B,all,W,ar,2021-03-14,4417.0
sell_in,B,all,W,ar,2021-03-21,2976.0
sell_in,B,all,W,ar,2021-03-28,4230.0
sell_in,C,나,W,ses,2021-01-10,3177.0
sell_in,C,나,W,ses,2021-01-17,3177.0
sell_in,C,나,W,ses,2021-01-24,3177.0
sell_in,C,나,W,ses,2021-01-31,3177.0
sell_in,C,나,W,ses,2021-02-07,3177.0
sell_in,C,나,W,ses,2021-02-14,3177.0
sell_in,C,나,W,ses,2021-02-21,3177.0
sell_in,C,나,W,ses,2021-02-28,3177.0
sell_in,C,나,W,ses,2021-03-07,3177.0
sell_in,C,나,W,ses,2021-03-14,3177.0
sell_in,C,나,W,ses,2021-03-21,3177.0
sell_in,C,나,W,ses,2021-03-28,3177.0
sell_in,C,마,W,arma,2021-01-10,53938.0
sell_in,C,마,W,arma,2021-01-17,56919.0
sell_in,C,마,W,arma,2021-01-24,57183.0
sell_in,C,마,W,arma,2021-01-31,57207.0
sell_in,C,마,W,arma,2021-02-07,57209.0
sell_in,C,마,W,arma,2021-02-14,57209.0
sell_in,C,마,W,arma,2021-02-21,57209.0
sell_in,C,마,W,arma,2021-02-28,57209.0
sell_in,C,마,W,arma,2021-03-07,57209.0
sell_in,C,마,W,arma,2021-03-14,57209.0
sell_in,C,마,W,arma,2021-03-21,57209.0
sell_in,C,마,W,arma,2021-03-28,57209.0
