sell_type,cust_type,prod_group_type,prod_type,time_type,model,rmse,scenario,smoothing
sell_in,A,g1,가,W,lstm_vn,0.1614619642496109,s1,False
sell_in,A,g2,다,W,lstm_vn,0.17983868718147278,s1,False
sell_in,A,all,가,W,lstm_vn,0.178558811545372,s1,False
sell_in,A,all,다,W,lstm_vn,0.16880810260772705,s1,False
sell_in,A,all,all,W,lstm_vn,0.16931207478046417,s1,False
sell_in,B,g1,나,W,lstm_vn,0.12542101740837097,s1,False
sell_in,B,g2,라,W,lstm_vn,0.18250121176242828,s1,False
sell_in,B,all,나,W,lstm_vn,0.1251044124364853,s1,False
sell_in,B,all,라,W,lstm_vn,0.1839125156402588,s1,False
sell_in,B,all,all,W,lstm_vn,0.18934831023216248,s1,False
sell_in,C,g1,나,W,lstm_vn,0.04790523648262024,s1,False
sell_in,C,g3,마,W,lstm_vn,0.14426353573799133,s1,False
sell_in,C,all,나,W,lstm_vn,0.04623539000749588,s1,False
sell_in,C,all,마,W,lstm_vn,0.14422458410263062,s1,False
sell_in,C,all,all,W,lstm_vn,0.14449219405651093,s1,False
sell_in,all,g1,가,W,lstm_vn,0.16657258570194244,s1,False
sell_in,all,g1,나,W,lstm_vn,0.08159381151199341,s1,False
sell_in,all,g1,all,W,lstm_vn,0.16502681374549866,s1,False
sell_in,all,g2,다,W,lstm_vn,0.17772921919822693,s1,False
sell_in,all,g2,라,W,lstm_vn,0.1827290952205658,s1,False
sell_in,all,g2,all,W,lstm_vn,0.16798414289951324,s1,False
sell_in,all,g3,마,W,lstm_vn,0.14438971877098083,s1,False
sell_in,all,all,가,W,lstm_vn,0.17011655867099762,s1,False
sell_in,all,all,다,W,lstm_vn,0.17770884931087494,s1,False
sell_in,all,all,나,W,lstm_vn,0.081291563808918,s1,False
sell_in,all,all,라,W,lstm_vn,0.18309606611728668,s1,False
sell_in,all,all,마,W,lstm_vn,0.14419691264629364,s1,False
sell_in,all,all,all,W,lstm_vn,0.13422860205173492,s1,False
sell_out,A,g3,바,W,lstm_vn,0.11396286636590958,s1,False
sell_out,A,g1,가,W,lstm_vn,0.04760114103555679,s1,False
sell_out,A,g2,다,W,lstm_vn,0.15195530652999878,s1,False
sell_out,A,all,바,W,lstm_vn,0.11059736460447311,s1,False
sell_out,A,all,가,W,lstm_vn,0.04954663664102554,s1,False
sell_out,A,all,다,W,lstm_vn,0.14951537549495697,s1,False
sell_out,A,all,all,W,lstm_vn,0.12581011652946472,s1,False
sell_out,B,g3,바,W,lstm_vn,0.04773807153105736,s1,False
sell_out,B,g1,나,W,lstm_vn,0.13401424884796143,s1,False
sell_out,B,g2,라,W,lstm_vn,0.18319348990917206,s1,False
sell_out,B,all,바,W,lstm_vn,0.04824169725179672,s1,False
sell_out,B,all,나,W,lstm_vn,0.1317891776561737,s1,False
sell_out,B,all,라,W,lstm_vn,0.176174134016037,s1,False
sell_out,B,all,all,W,lstm_vn,0.14396798610687256,s1,False
sell_out,C,g3,바,W,lstm_vn,0.0485268197953701,s1,False
sell_out,C,g3,마,W,lstm_vn,0.10213079303503036,s1,False
sell_out,C,g3,all,W,lstm_vn,0.10210155695676804,s1,False
sell_out,C,g1,나,W,lstm_vn,0.06503665447235107,s1,False
sell_out,C,all,바,W,lstm_vn,0.04884053021669388,s1,False
sell_out,C,all,나,W,lstm_vn,0.06611945480108261,s1,False
sell_out,C,all,마,W,lstm_vn,0.10251985490322113,s1,False
sell_out,C,all,all,W,lstm_vn,0.10043586045503616,s1,False
sell_out,all,g3,바,W,lstm_vn,0.08908525109291077,s1,False
sell_out,all,g3,마,W,lstm_vn,0.10322389751672745,s1,False
sell_out,all,g3,all,W,lstm_vn,0.11073668301105499,s1,False
sell_out,all,g1,가,W,lstm_vn,0.04844600334763527,s1,False
sell_out,all,g1,나,W,lstm_vn,0.09942561388015747,s1,False
sell_out,all,g1,all,W,lstm_vn,0.10058200359344482,s1,False
sell_out,all,g2,다,W,lstm_vn,0.15252293646335602,s1,False
sell_out,all,g2,라,W,lstm_vn,0.1781219244003296,s1,False
sell_out,all,g2,all,W,lstm_vn,0.1512514054775238,s1,False
sell_out,all,all,바,W,lstm_vn,0.08855916559696198,s1,False
sell_out,all,all,가,W,lstm_vn,0.047861818224191666,s1,False
sell_out,all,all,다,W,lstm_vn,0.15404781699180603,s1,False
sell_out,all,all,나,W,lstm_vn,0.0980648398399353,s1,False
sell_out,all,all,라,W,lstm_vn,0.17413784563541412,s1,False
sell_out,all,all,마,W,lstm_vn,0.10246183723211288,s1,False
sell_out,all,all,all,W,lstm_vn,0.1056549996137619,s1,False
