sell_type,cust_type,prod_group_type,prod_type,time_type,model,rmse,scenario,smoothing
sell_in,A,g1,가,W,lstm_vn,0.23664601147174835,s1,True
sell_in,A,g2,다,W,lstm_vn,0.24129967391490936,s1,True
sell_in,A,all,가,W,lstm_vn,0.233963280916214,s1,True
sell_in,A,all,다,W,lstm_vn,0.2565265893936157,s1,True
sell_in,A,all,all,W,lstm_vn,0.2651687562465668,s1,True
sell_in,B,g1,나,W,lstm_vn,0.23735769093036652,s1,True
sell_in,B,g2,라,W,lstm_vn,0.2843398153781891,s1,True
sell_in,B,all,나,W,lstm_vn,0.2350488007068634,s1,True
sell_in,B,all,라,W,lstm_vn,0.2861977815628052,s1,True
sell_in,B,all,all,W,lstm_vn,0.2833594083786011,s1,True
sell_in,C,g1,나,W,lstm_vn,0.1490066945552826,s1,True
sell_in,C,g3,마,W,lstm_vn,0.181901216506958,s1,True
sell_in,C,all,나,W,lstm_vn,0.150077685713768,s1,True
sell_in,C,all,마,W,lstm_vn,0.1818511039018631,s1,True
sell_in,C,all,all,W,lstm_vn,0.18576525151729584,s1,True
sell_in,all,g1,가,W,lstm_vn,0.23542450368404388,s1,True
sell_in,all,g1,나,W,lstm_vn,0.2181147187948227,s1,True
sell_in,all,g1,all,W,lstm_vn,0.2583569288253784,s1,True
sell_in,all,g2,다,W,lstm_vn,0.2408936470746994,s1,True
sell_in,all,g2,라,W,lstm_vn,0.28377431631088257,s1,True
sell_in,all,g2,all,W,lstm_vn,0.24896320700645447,s1,True
sell_in,all,g3,마,W,lstm_vn,0.18122418224811554,s1,True
sell_in,all,all,가,W,lstm_vn,0.23607788980007172,s1,True
sell_in,all,all,다,W,lstm_vn,0.24321489036083221,s1,True
sell_in,all,all,나,W,lstm_vn,0.22026580572128296,s1,True
sell_in,all,all,라,W,lstm_vn,0.28470176458358765,s1,True
sell_in,all,all,마,W,lstm_vn,0.18261076509952545,s1,True
sell_in,all,all,all,W,lstm_vn,0.21228131651878357,s1,True
sell_out,A,g3,바,W,lstm_vn,0.2506659924983978,s1,True
sell_out,A,g1,가,W,lstm_vn,0.29749053716659546,s1,True
sell_out,A,g2,다,W,lstm_vn,0.21365761756896973,s1,True
sell_out,A,all,바,W,lstm_vn,0.25112947821617126,s1,True
sell_out,A,all,가,W,lstm_vn,0.29560786485671997,s1,True
sell_out,A,all,다,W,lstm_vn,0.218253031373024,s1,True
sell_out,A,all,all,W,lstm_vn,0.21900461614131927,s1,True
sell_out,B,g3,바,W,lstm_vn,0.1508469134569168,s1,True
sell_out,B,g1,나,W,lstm_vn,0.1954033225774765,s1,True
sell_out,B,g2,라,W,lstm_vn,0.26949232816696167,s1,True
sell_out,B,all,바,W,lstm_vn,0.15144391357898712,s1,True
sell_out,B,all,나,W,lstm_vn,0.19283294677734375,s1,True
sell_out,B,all,라,W,lstm_vn,0.2645570635795593,s1,True
sell_out,B,all,all,W,lstm_vn,0.19674116373062134,s1,True
sell_out,C,g3,바,W,lstm_vn,0.12887343764305115,s1,True
sell_out,C,g3,마,W,lstm_vn,0.17706191539764404,s1,True
sell_out,C,g3,all,W,lstm_vn,0.1783558428287506,s1,True
sell_out,C,g1,나,W,lstm_vn,0.13756151497364044,s1,True
sell_out,C,all,바,W,lstm_vn,0.12740767002105713,s1,True
sell_out,C,all,나,W,lstm_vn,0.1387234628200531,s1,True
sell_out,C,all,마,W,lstm_vn,0.17861486971378326,s1,True
sell_out,C,all,all,W,lstm_vn,0.17912010848522186,s1,True
sell_out,all,g3,바,W,lstm_vn,0.21762976050376892,s1,True
sell_out,all,g3,마,W,lstm_vn,0.17694276571273804,s1,True
sell_out,all,g3,all,W,lstm_vn,0.17778341472148895,s1,True
sell_out,all,g1,가,W,lstm_vn,0.2976683974266052,s1,True
sell_out,all,g1,나,W,lstm_vn,0.19063504040241241,s1,True
sell_out,all,g1,all,W,lstm_vn,0.2098078429698944,s1,True
sell_out,all,g2,다,W,lstm_vn,0.21379728615283966,s1,True
sell_out,all,g2,라,W,lstm_vn,0.2735508680343628,s1,True
sell_out,all,g2,all,W,lstm_vn,0.2160022258758545,s1,True
sell_out,all,all,바,W,lstm_vn,0.2206050157546997,s1,True
sell_out,all,all,가,W,lstm_vn,0.29777175188064575,s1,True
sell_out,all,all,다,W,lstm_vn,0.22247682511806488,s1,True
sell_out,all,all,나,W,lstm_vn,0.19492892920970917,s1,True
sell_out,all,all,라,W,lstm_vn,0.26693928241729736,s1,True
sell_out,all,all,마,W,lstm_vn,0.17779022455215454,s1,True
sell_out,all,all,all,W,lstm_vn,0.1943962424993515,s1,True
