sell_type,cust_type,prod_group_type,prod_type,time_type,model,rmse,scenario,smoothing
sell_in,A,g1,가,W,arma,14608,s1,True
sell_in,A,g1,가,W,arima,14641,s1,True
sell_in,A,g1,가,W,ar,14667,s1,True
sell_in,A,g1,가,W,ses,15161,s1,True
sell_in,A,g1,가,W,hw,17187,s1,True
sell_in,A,g2,다,W,arima,23973,s1,True
sell_in,A,g2,다,W,ar,23982,s1,True
sell_in,A,g2,다,W,arma,26047,s1,True
sell_in,A,g2,다,W,ses,27383,s1,True
sell_in,A,g2,다,W,hw,30527,s1,True
sell_in,A,all,가,W,arma,14608,s1,True
sell_in,A,all,가,W,arima,14641,s1,True
sell_in,A,all,가,W,ar,14667,s1,True
sell_in,A,all,가,W,ses,15161,s1,True
sell_in,A,all,가,W,hw,17187,s1,True
sell_in,A,all,다,W,arima,23973,s1,True
sell_in,A,all,다,W,ar,23982,s1,True
sell_in,A,all,다,W,arma,26047,s1,True
sell_in,A,all,다,W,ses,27383,s1,True
sell_in,A,all,다,W,hw,30527,s1,True
sell_in,A,all,all,W,arima,31547,s1,True
sell_in,A,all,all,W,ar,32404,s1,True
sell_in,A,all,all,W,ses,33150,s1,True
sell_in,A,all,all,W,arma,34076,s1,True
sell_in,A,all,all,W,hw,39065,s1,True
sell_in,B,g1,나,W,ses,5523,s1,True
sell_in,B,g1,나,W,arma,5910,s1,True
sell_in,B,g1,나,W,arima,5915,s1,True
sell_in,B,g1,나,W,ar,6213,s1,True
sell_in,B,g1,나,W,hw,6310,s1,True
sell_in,B,g2,라,W,arma,4916,s1,True
sell_in,B,g2,라,W,arima,5042,s1,True
sell_in,B,g2,라,W,ses,5398,s1,True
sell_in,B,g2,라,W,hw,5605,s1,True
sell_in,B,g2,라,W,ar,5948,s1,True
sell_in,B,all,나,W,ses,5523,s1,True
sell_in,B,all,나,W,arma,5910,s1,True
sell_in,B,all,나,W,arima,5915,s1,True
sell_in,B,all,나,W,ar,6213,s1,True
sell_in,B,all,나,W,hw,6310,s1,True
sell_in,B,all,라,W,arma,4916,s1,True
sell_in,B,all,라,W,arima,5042,s1,True
sell_in,B,all,라,W,ses,5398,s1,True
sell_in,B,all,라,W,hw,5605,s1,True
sell_in,B,all,라,W,ar,5948,s1,True
sell_in,B,all,all,W,arima,10506,s1,True
sell_in,B,all,all,W,arma,10534,s1,True
sell_in,B,all,all,W,ses,10881,s1,True
sell_in,B,all,all,W,ar,11872,s1,True
sell_in,B,all,all,W,hw,11882,s1,True
sell_in,C,g1,나,W,ses,2247,s1,True
sell_in,C,g1,나,W,hw,2554,s1,True
sell_in,C,g1,나,W,ar,3157,s1,True
sell_in,C,g1,나,W,arma,4020,s1,True
sell_in,C,g1,나,W,arima,4083,s1,True
sell_in,C,g3,마,W,ar,60470,s1,True
sell_in,C,g3,마,W,ses,62839,s1,True
sell_in,C,g3,마,W,arima,63375,s1,True
sell_in,C,g3,마,W,arma,64172,s1,True
