sell_type,cust_type,prod_group_type,prod_type,time_type,model,rmse,scenario,smoothing
sell_in,A,g1,가,W,var,11474,s2,False
sell_in,A,g2,다,W,var,16113,s2,False
sell_in,A,all,가,W,var,11474,s2,False
sell_in,A,all,다,W,var,16113,s2,False
sell_in,A,all,all,W,var,20103,s2,False
sell_in,B,g1,나,W,var,2816,s2,False
sell_in,B,g2,라,W,var,1367,s2,False
sell_in,B,all,나,W,var,2816,s2,False
sell_in,B,all,라,W,var,1367,s2,False
sell_in,B,all,all,W,var,4160,s2,False
sell_in,C,g1,나,W,var,1823,s2,False
sell_in,C,g3,마,W,var,27072,s2,False
sell_in,C,all,나,W,var,1823,s2,False
sell_in,C,all,마,W,var,27072,s2,False
sell_in,C,all,all,W,var,27631,s2,False
sell_in,all,g1,가,W,var,11474,s2,False
sell_in,all,g1,나,W,var,3932,s2,False
sell_in,all,g1,all,W,var,12739,s2,False
sell_in,all,g2,다,W,var,16113,s2,False
sell_in,all,g2,라,W,var,1367,s2,False
sell_in,all,g2,all,W,var,16105,s2,False
sell_in,all,g3,마,W,var,27072,s2,False
sell_in,all,all,가,W,var,11474,s2,False
sell_in,all,all,다,W,var,16113,s2,False
sell_in,all,all,나,W,var,3932,s2,False
sell_in,all,all,라,W,var,1367,s2,False
sell_in,all,all,마,W,var,27072,s2,False
sell_in,all,all,all,W,var,35754,s2,False
sell_out,A,g3,바,W,var,2927,s2,False
sell_out,A,g1,가,W,var,1553,s2,False
sell_out,A,g2,다,W,var,13565,s2,False
sell_out,A,all,바,W,var,2927,s2,False
sell_out,A,all,가,W,var,1553,s2,False
sell_out,A,all,다,W,var,13565,s2,False
sell_out,A,all,all,W,var,14067,s2,False
sell_out,B,g3,바,W,var,1557,s2,False
sell_out,B,g1,나,W,var,2804,s2,False
sell_out,B,g2,라,W,var,888,s2,False
sell_out,B,all,바,W,var,1557,s2,False
sell_out,B,all,나,W,var,2804,s2,False
sell_out,B,all,라,W,var,888,s2,False
sell_out,B,all,all,W,var,3485,s2,False
sell_out,C,g3,바,W,var,1298,s2,False
sell_out,C,g3,마,W,var,35494,s2,False
sell_out,C,g3,all,W,var,37982,s2,False
sell_out,C,g1,나,W,var,2299,s2,False
sell_out,C,all,바,W,var,1298,s2,False
sell_out,C,all,나,W,var,2299,s2,False
sell_out,C,all,마,W,var,35494,s2,False
sell_out,C,all,all,W,var,41389,s2,False
sell_out,all,g3,바,W,var,5416,s2,False
sell_out,all,g3,마,W,var,35494,s2,False
sell_out,all,g3,all,W,var,44906,s2,False
sell_out,all,g1,가,W,var,1553,s2,False
sell_out,all,g1,나,W,var,4263,s2,False
sell_out,all,g1,all,W,var,5309,s2,False
sell_out,all,g2,다,W,var,13565,s2,False
sell_out,all,g2,라,W,var,888,s2,False
sell_out,all,g2,all,W,var,14129,s2,False
sell_out,all,all,바,W,var,5416,s2,False
sell_out,all,all,가,W,var,1553,s2,False
sell_out,all,all,다,W,var,13565,s2,False
sell_out,all,all,나,W,var,4263,s2,False
sell_out,all,all,라,W,var,888,s2,False
sell_out,all,all,마,W,var,35494,s2,False
sell_out,all,all,all,W,var,54971,s2,False
