sell_type,cust_type,prod_type,time_type,model,rmse
sell_in,A,가,W,arma,15051
sell_in,A,가,W,arima,15558
sell_in,A,가,W,ar,16246
sell_in,A,가,W,ses,16552
sell_in,A,가,W,hw,21690
sell_in,A,다,W,arma,28785
sell_in,A,다,W,arima,30545
sell_in,A,다,W,ar,32019
sell_in,A,다,W,ses,36036
sell_in,A,다,W,hw,49040
sell_in,A,all,W,arma,33970
sell_in,A,all,W,arima,34063
sell_in,A,all,W,ar,37018
sell_in,A,all,W,ses,38196
sell_in,A,all,W,hw,44197
sell_in,B,나,W,ar,4388
sell_in,B,나,W,ses,4656
sell_in,B,나,W,arima,4884
sell_in,B,나,W,arma,5008
sell_in,B,나,W,hw,7382
sell_in,B,라,W,arma,1634
sell_in,B,라,W,arima,1660
sell_in,B,라,W,ar,1840
sell_in,B,라,W,ses,1965
sell_in,B,라,W,hw,2214
sell_in,B,all,W,ar,4942
sell_in,B,all,W,arima,4978
sell_in,B,all,W,arma,5024
sell_in,B,all,W,ses,5523
sell_in,B,all,W,hw,7286
sell_in,C,나,W,ses,2679
sell_in,C,나,W,arma,3125
sell_in,C,나,W,arima,3136
sell_in,C,나,W,ar,3307
sell_in,C,나,W,hw,3687
sell_in,C,마,W,arma,59022
sell_in,C,마,W,arima,59216
sell_in,C,마,W,ar,61548
sell_in,C,마,W,ses,64221
sell_in,C,마,W,hw,64718
sell_in,C,all,W,arma,59080
sell_in,C,all,W,arima,59299
sell_in,C,all,W,ar,60127
sell_in,C,all,W,hw,62884
sell_in,C,all,W,ses,63384
sell_in,all,가,W,arma,15051
sell_in,all,가,W,arima,15558
sell_in,all,가,W,ar,16246
sell_in,all,가,W,ses,16552
sell_in,all,가,W,hw,21690
sell_in,all,다,W,arma,28785
sell_in,all,다,W,arima,30545
sell_in,all,다,W,ar,32019
sell_in,all,다,W,ses,36036
sell_in,all,다,W,hw,49040
sell_in,all,나,W,ses,6169
sell_in,all,나,W,arima,6301
sell_in,all,나,W,ar,6826
sell_in,all,나,W,arma,7093
sell_in,all,나,W,hw,9691
sell_in,all,라,W,arma,1634
sell_in,all,라,W,arima,1660
sell_in,all,라,W,ar,1840
sell_in,all,라,W,ses,1965
sell_in,all,라,W,hw,2214
sell_in,all,마,W,arma,59022
sell_in,all,마,W,arima,59216
sell_in,all,마,W,ar,61548
sell_in,all,마,W,ses,64221
sell_in,all,마,W,hw,64718
sell_in,all,all,W,arma,72606
sell_in,all,all,W,arima,73499
sell_in,all,all,W,ar,78650
sell_in,all,all,W,ses,82528
sell_in,all,all,W,hw,91031
sell_out,A,바,W,ar,3837
sell_out,A,바,W,arima,4020
sell_out,A,바,W,ses,4248
sell_out,A,바,W,arma,4369
sell_out,A,바,W,hw,5252
sell_out,A,가,W,ar,1811
sell_out,A,가,W,arma,1882
sell_out,A,가,W,arima,1982
sell_out,A,가,W,ses,2022
sell_out,A,가,W,hw,2214
sell_out,A,다,W,arima,17021
sell_out,A,다,W,arma,17190
sell_out,A,다,W,ar,17307
sell_out,A,다,W,ses,21222
sell_out,A,다,W,hw,22004
sell_out,A,all,W,ar,16661
sell_out,A,all,W,arima,16897
sell_out,A,all,W,arma,17350
sell_out,A,all,W,ses,19292
sell_out,A,all,W,hw,22462
sell_out,B,바,W,ar,959
sell_out,B,바,W,ses,964
sell_out,B,바,W,hw,1100
sell_out,B,바,W,arima,1509
sell_out,B,바,W,arma,1569
sell_out,B,나,W,ses,3741
sell_out,B,나,W,arma,3811
sell_out,B,나,W,arima,3849
sell_out,B,나,W,ar,4317
sell_out,B,나,W,hw,4560
sell_out,B,라,W,arma,1257
sell_out,B,라,W,arima,1277
sell_out,B,라,W,ar,1334
sell_out,B,라,W,ses,1418
sell_out,B,라,W,hw,1668
sell_out,B,all,W,ar,4007
sell_out,B,all,W,ses,4167
sell_out,B,all,W,hw,4570
sell_out,B,all,W,arma,4601
sell_out,B,all,W,arima,4709
sell_out,C,바,W,ses,730
sell_out,C,바,W,ar,825
sell_out,C,바,W,hw,837
sell_out,C,바,W,arima,1001
sell_out,C,바,W,arma,1394
sell_out,C,나,W,ses,1358
sell_out,C,나,W,hw,1474
sell_out,C,나,W,ar,1931
sell_out,C,나,W,arma,3079
sell_out,C,나,W,arima,3127
sell_out,C,마,W,ses,54959
sell_out,C,마,W,arima,56789
sell_out,C,마,W,ar,57775
sell_out,C,마,W,hw,61796
sell_out,C,마,W,arma,62391
sell_out,C,all,W,ses,55328
sell_out,C,all,W,ar,57636
sell_out,C,all,W,arima,57722
sell_out,C,all,W,hw,61478
sell_out,C,all,W,arma,64820
sell_out,all,바,W,ar,5168
sell_out,all,바,W,ses,5603
sell_out,all,바,W,arima,6122
sell_out,all,바,W,hw,6537
sell_out,all,바,W,arma,6987
sell_out,all,가,W,ar,1811
sell_out,all,가,W,arma,1882
sell_out,all,가,W,arima,1982
sell_out,all,가,W,ses,2022
sell_out,all,가,W,hw,2214
sell_out,all,다,W,arima,17021
sell_out,all,다,W,arma,17190
sell_out,all,다,W,ar,17307
sell_out,all,다,W,ses,21222
sell_out,all,다,W,hw,22004
sell_out,all,나,W,ses,4430
sell_out,all,나,W,hw,4786
sell_out,all,나,W,ar,5655
sell_out,all,나,W,arma,5999
sell_out,all,나,W,arima,6140
sell_out,all,라,W,arma,1257
sell_out,all,라,W,arima,1277
sell_out,all,라,W,ar,1334
sell_out,all,라,W,ses,1418
sell_out,all,라,W,hw,1668
sell_out,all,마,W,ses,54959
sell_out,all,마,W,arima,56789
sell_out,all,마,W,ar,57775
sell_out,all,마,W,hw,61796
sell_out,all,마,W,arma,62391
sell_out,all,all,W,ar,65450
sell_out,all,all,W,ses,67858
sell_out,all,all,W,arima,68992
sell_out,all,all,W,arma,81077
sell_out,all,all,W,hw,91183
sell_in,A,가,W,var,15052
sell_in,A,다,W,var,30822
sell_in,A,all,W,var,46000
sell_in,B,나,W,var,5045
sell_in,B,라,W,var,1680
sell_in,B,all,W,var,5138
sell_in,C,나,W,var,3153
sell_in,C,마,W,var,58931
sell_in,C,all,W,var,59221
sell_in,all,가,W,var,15052
sell_in,all,다,W,var,30822
sell_in,all,나,W,var,7131
sell_in,all,라,W,var,1680
sell_in,all,마,W,var,58931
sell_in,all,all,W,var,73245
sell_out,A,바,W,var,4525
sell_out,A,가,W,var,2025
sell_out,A,다,W,var,16328
sell_out,A,all,W,var,16700
sell_out,B,바,W,var,1606
sell_out,B,나,W,var,3922
sell_out,B,라,W,var,1243
sell_out,B,all,W,var,4650
sell_out,C,바,W,var,1419
sell_out,C,나,W,var,3099
sell_out,C,마,W,var,55595
sell_out,C,all,W,var,62768
sell_out,all,바,W,var,7176
sell_out,all,가,W,var,2025
sell_out,all,다,W,var,16328
sell_out,all,나,W,var,6006
sell_out,all,라,W,var,1243
sell_out,all,마,W,var,55595
sell_out,all,all,W,var,82844
sell_in,A,가,W,lstm_vn,13899658
sell_in,A,다,W,lstm_vn,30248464
sell_in,A,all,W,lstm_vn,27312832
sell_in,B,나,W,lstm_vn,7529880
sell_in,B,라,W,lstm_vn,3452928
sell_in,B,all,W,lstm_vn,9277075
sell_in,C,나,W,lstm_vn,2928413
sell_in,C,마,W,lstm_vn,28594607
sell_in,C,all,W,lstm_vn,29798237
sell_in,all,가,W,lstm_vn,10671292
sell_in,all,다,W,lstm_vn,21476268
sell_in,all,나,W,lstm_vn,11409943
sell_in,all,라,W,lstm_vn,3633378
sell_in,all,마,W,lstm_vn,27478959
sell_in,all,all,W,lstm_vn,66797807
sell_out,A,바,W,lstm_vn,20133830
sell_out,A,가,W,lstm_vn,11270256
sell_out,A,다,W,lstm_vn,50426419
sell_out,A,all,W,lstm_vn,77496212
sell_out,B,바,W,lstm_vn,3223438
sell_out,B,나,W,lstm_vn,9144356
sell_out,B,라,W,lstm_vn,6037571
sell_out,B,all,W,lstm_vn,11307768
sell_out,C,바,W,lstm_vn,2829650
sell_out,C,나,W,lstm_vn,6576716
sell_out,C,마,W,lstm_vn,40421084
sell_out,C,all,W,lstm_vn,42649585
sell_out,all,바,W,lstm_vn,25623178
sell_out,all,가,W,lstm_vn,12562679
sell_out,all,다,W,lstm_vn,38986607
sell_out,all,나,W,lstm_vn,17161219
sell_out,all,라,W,lstm_vn,5478551
sell_out,all,마,W,lstm_vn,39651292
sell_out,all,all,W,lstm_vn,137739096
