sell_type,cust_type,prod_type,time_type,model,rmse
sell_in,A,가,W,lstm_vn,0.16292141377925873
sell_in,A,다,W,lstm_vn,0.2278856337070465
sell_in,A,all,W,lstm_vn,0.23469963669776917
sell_in,B,나,W,lstm_vn,0.155582994222641
sell_in,B,라,W,lstm_vn,0.2797660231590271
sell_in,B,all,W,lstm_vn,0.14155426621437073
sell_in,C,나,W,lstm_vn,0.09345095604658127
sell_in,C,마,W,lstm_vn,0.11608967185020447
sell_in,C,all,W,lstm_vn,0.11637754738330841
sell_in,all,가,W,lstm_vn,0.1608867198228836
sell_in,all,다,W,lstm_vn,0.22015398740768433
sell_in,all,나,W,lstm_vn,0.138853058218956
sell_in,all,라,W,lstm_vn,0.2773815393447876
sell_in,all,마,W,lstm_vn,0.11658693104982376
sell_in,all,all,W,lstm_vn,0.14004841446876526
sell_out,A,바,W,lstm_vn,0.11267375946044922
sell_out,A,가,W,lstm_vn,0.04807893931865692
sell_out,A,다,W,lstm_vn,0.1584143340587616
sell_out,A,all,W,lstm_vn,0.1347901076078415
sell_out,B,바,W,lstm_vn,0.0469818115234375
sell_out,B,나,W,lstm_vn,0.13135617971420288
sell_out,B,라,W,lstm_vn,0.18496693670749664
sell_out,B,all,W,lstm_vn,0.14053219556808472
sell_out,C,바,W,lstm_vn,0.04841088131070137
sell_out,C,나,W,lstm_vn,0.06486914306879044
sell_out,C,마,W,lstm_vn,0.10282400995492935
sell_out,C,all,W,lstm_vn,0.09872391819953918
sell_out,all,바,W,lstm_vn,0.08834096789360046
sell_out,all,가,W,lstm_vn,0.047545574605464935
sell_out,all,다,W,lstm_vn,0.15352195501327515
sell_out,all,나,W,lstm_vn,0.10036711394786835
sell_out,all,라,W,lstm_vn,0.17669178545475006
sell_out,all,마,W,lstm_vn,0.10278935730457306
sell_out,all,all,W,lstm_vn,0.10186851024627686
