sell_type,cust_type,prod_type,time_type,model,dt,prediction
sell_in,A,가,D,lstm_vn,2021-01-01,2.0
sell_in,A,가,D,lstm_vn,2021-01-02,170871.0
sell_in,A,가,D,lstm_vn,2021-01-03,561016.0
sell_in,A,가,D,lstm_vn,2021-01-04,739517.0
sell_in,A,가,D,lstm_vn,2021-01-05,1909964.0
sell_in,A,가,D,lstm_vn,2021-01-06,2611822.0
sell_in,A,가,W,lstm_vn,2021-01-10,1242962.0
sell_in,A,가,W,lstm_vn,2021-01-17,3044294.0
sell_in,A,가,W,lstm_vn,2021-01-24,9503317.0
sell_in,A,가,W,lstm_vn,2021-01-31,8361809.0
sell_in,A,가,W,lstm_vn,2021-02-07,12766162.0
sell_in,A,가,W,lstm_vn,2021-02-14,12149814.0
sell_in,A,가,M,lstm_vn,2021-01-31,12390298.0
sell_in,A,가,M,lstm_vn,2021-02-28,11611414.0
sell_in,A,가,M,lstm_vn,2021-03-31,6007212.0
sell_in,A,가,M,lstm_vn,2021-04-30,12726638.0
sell_in,A,가,M,lstm_vn,2021-05-31,4988365.0
sell_in,A,가,M,lstm_vn,2021-06-30,253640.0
sell_in,A,다,D,lstm_vn,2021-01-01,1.0
sell_in,A,다,D,lstm_vn,2021-01-02,410290.0
sell_in,A,다,D,lstm_vn,2021-01-03,2399359.0
sell_in,A,다,D,lstm_vn,2021-01-04,1858590.0
sell_in,A,다,D,lstm_vn,2021-01-05,1935466.0
sell_in,A,다,D,lstm_vn,2021-01-06,1908736.0
sell_in,A,다,W,lstm_vn,2021-01-10,5518434.0
sell_in,A,다,W,lstm_vn,2021-01-17,13374323.0
sell_in,A,다,W,lstm_vn,2021-01-24,17024870.0
sell_in,A,다,W,lstm_vn,2021-01-31,15422672.0
sell_in,A,다,W,lstm_vn,2021-02-07,18441958.0
sell_in,A,다,W,lstm_vn,2021-02-14,27250492.0
sell_in,A,다,M,lstm_vn,2021-01-31,6804304.0
sell_in,A,다,M,lstm_vn,2021-02-28,18234546.0
sell_in,A,다,M,lstm_vn,2021-03-31,32896980.0
sell_in,A,다,M,lstm_vn,2021-04-30,57445560.0
sell_in,A,다,M,lstm_vn,2021-05-31,98604110.0
sell_in,A,다,M,lstm_vn,2021-06-30,155162220.0
sell_in,A,all,D,lstm_vn,2021-01-01,2.0
sell_in,A,all,D,lstm_vn,2021-01-02,655335.0
sell_in,A,all,D,lstm_vn,2021-01-03,3225750.0
sell_in,A,all,D,lstm_vn,2021-01-04,3831551.0
sell_in,A,all,D,lstm_vn,2021-01-05,6666350.0
sell_in,A,all,D,lstm_vn,2021-01-06,6351570.0
sell_in,A,all,W,lstm_vn,2021-01-10,5740999.0
sell_in,A,all,W,lstm_vn,2021-01-17,13645282.0
sell_in,A,all,W,lstm_vn,2021-01-24,29393598.0
sell_in,A,all,W,lstm_vn,2021-01-31,24082360.0
sell_in,A,all,W,lstm_vn,2021-02-07,32568630.0
sell_in,A,all,W,lstm_vn,2021-02-14,44017984.0
sell_in,A,all,M,lstm_vn,2021-01-31,5039599.0
sell_in,A,all,M,lstm_vn,2021-02-28,2349962.0
sell_in,A,all,M,lstm_vn,2021-03-31,1073892.0
sell_in,A,all,M,lstm_vn,2021-04-30,1221418.0
