sell_type,cust_type,prod_type,time_type,model,dt,prediction
sell_in,A,가,D,var,2021-01-01,495571.0
sell_in,A,가,D,var,2021-01-02,175889.0
sell_in,A,가,D,var,2021-01-03,2859025.0
sell_in,A,가,D,var,2021-01-04,-166190.0
sell_in,A,가,D,var,2021-01-05,2200318.0
sell_in,A,가,D,var,2021-01-06,2120130.0
sell_in,A,가,W,var,2021-01-10,10064319.0
sell_in,A,가,W,var,2021-01-17,18406936.0
sell_in,A,가,W,var,2021-01-24,16904466.0
sell_in,A,가,W,var,2021-01-31,17139891.0
sell_in,A,가,W,var,2021-02-07,17105177.0
sell_in,A,가,W,var,2021-02-14,17110141.0
sell_in,A,가,M,var,2021-01-31,71268351.0
sell_in,A,가,M,var,2021-02-28,72602697.0
sell_in,A,가,M,var,2021-03-31,73369261.0
sell_in,A,가,M,var,2021-04-30,73773138.0
sell_in,A,가,M,var,2021-05-31,73985692.0
sell_in,A,가,M,var,2021-06-30,74097554.0
sell_in,A,다,D,var,2021-01-01,3175761.0
sell_in,A,다,D,var,2021-01-02,3773936.0
sell_in,A,다,D,var,2021-01-03,3167733.0
sell_in,A,다,D,var,2021-01-04,3857821.0
sell_in,A,다,D,var,2021-01-05,5752342.0
sell_in,A,다,D,var,2021-01-06,5042708.0
sell_in,A,다,W,var,2021-01-10,24813683.0
sell_in,A,다,W,var,2021-01-17,28105328.0
sell_in,A,다,W,var,2021-01-24,30482464.0
sell_in,A,다,W,var,2021-01-31,32207476.0
sell_in,A,다,W,var,2021-02-07,33461348.0
sell_in,A,다,W,var,2021-02-14,34373281.0
sell_in,A,다,M,var,2021-01-31,101262332.0
sell_in,A,다,M,var,2021-02-28,114864537.0
sell_in,A,다,M,var,2021-03-31,125470700.0
sell_in,A,다,M,var,2021-04-30,133686674.0
sell_in,A,다,M,var,2021-05-31,140048991.0
sell_in,A,다,M,var,2021-06-30,144975782.0
sell_in,A,all,D,var,2021-01-01,8717790.0
sell_in,A,all,D,var,2021-01-02,6657131.0
sell_in,A,all,D,var,2021-01-03,7336742.0
sell_in,A,all,D,var,2021-01-04,10468211.0
sell_in,A,all,D,var,2021-01-05,8710410.0
sell_in,A,all,D,var,2021-01-06,7783917.0
sell_in,A,all,W,var,2021-01-10,54656472.0
sell_in,A,all,W,var,2021-01-17,53991605.0
sell_in,A,all,W,var,2021-01-24,53919691.0
sell_in,A,all,W,var,2021-01-31,53925670.0
sell_in,A,all,W,var,2021-02-07,53934430.0
sell_in,A,all,W,var,2021-02-14,53939162.0
sell_in,A,all,M,var,2021-01-31,186558188.0
sell_in,A,all,M,var,2021-02-28,202087835.0
sell_in,A,all,M,var,2021-03-31,212948663.0
sell_in,A,all,M,var,2021-04-30,220359099.0
sell_in,A,all,M,var,2021-05-31,225406447.0
sell_in,A,all,M,var,2021-06-30,228843831.0
sell_in,B,나,D,var,2020-12-31,875230.0
sell_in,B,나,D,var,2021-01-01,923673.0
sell_in,B,나,D,var,2021-01-02,647422.0
sell_in,B,나,D,var,2021-01-03,635297.0
sell_in,B,나,D,var,2021-01-04,1203181.0
sell_in,B,나,D,var,2021-01-05,1066848.0
sell_in,B,나,W,var,2021-01-10,6247167.0
sell_in,B,나,W,var,2021-01-17,6899769.0
sell_in,B,나,W,var,2021-01-24,7166325.0
sell_in,B,나,W,var,2021-01-31,7292086.0
sell_in,B,나,W,var,2021-02-07,7357430.0
sell_in,B,나,W,var,2021-02-14,7393236.0
sell_in,B,나,M,var,2021-01-31,24681689.0
sell_in,B,나,M,var,2021-02-28,26660207.0
sell_in,B,나,M,var,2021-03-31,27743024.0
sell_in,B,나,M,var,2021-04-30,28371336.0
sell_in,B,나,M,var,2021-05-31,28734824.0
sell_in,B,나,M,var,2021-06-30,28945140.0
sell_in,B,라,D,var,2021-01-01,527383.0
sell_in,B,라,D,var,2021-01-02,196347.0
sell_in,B,라,D,var,2021-01-03,310886.0
sell_in,B,라,D,var,2021-01-04,932214.0
sell_in,B,라,D,var,2021-01-05,538745.0
sell_in,B,라,D,var,2021-01-06,345759.0
sell_in,B,라,W,var,2021-01-10,4073869.0
sell_in,B,라,W,var,2021-01-17,4650661.0
sell_in,B,라,W,var,2021-01-24,4992112.0
sell_in,B,라,W,var,2021-01-31,5195642.0
sell_in,B,라,W,var,2021-02-07,5317636.0
sell_in,B,라,W,var,2021-02-14,5391080.0
sell_in,B,라,M,var,2021-01-31,21613215.0
sell_in,B,라,M,var,2021-02-28,23998609.0
sell_in,B,라,M,var,2021-03-31,24392716.0
sell_in,B,라,M,var,2021-04-30,24266928.0
sell_in,B,라,M,var,2021-05-31,24154536.0
sell_in,B,라,M,var,2021-06-30,24117209.0
sell_in,B,all,D,var,2021-01-01,1182375.0
sell_in,B,all,D,var,2021-01-02,748101.0
sell_in,B,all,D,var,2021-01-03,581491.0
sell_in,B,all,D,var,2021-01-04,2478562.0
sell_in,B,all,D,var,2021-01-05,1978517.0
sell_in,B,all,D,var,2021-01-06,1262387.0
sell_in,B,all,W,var,2021-01-10,10707686.0
sell_in,B,all,W,var,2021-01-17,12054911.0
sell_in,B,all,W,var,2021-01-24,12601310.0
sell_in,B,all,W,var,2021-01-31,12816626.0
sell_in,B,all,W,var,2021-02-07,12898062.0
sell_in,B,all,W,var,2021-02-14,12926958.0
sell_in,B,all,M,var,2021-01-31,48446776.0
sell_in,B,all,M,var,2021-02-28,51417817.0
sell_in,B,all,M,var,2021-03-31,52710813.0
sell_in,B,all,M,var,2021-04-30,53329695.0
sell_in,B,all,M,var,2021-05-31,53648698.0
sell_in,B,all,M,var,2021-06-30,53821529.0
sell_in,C,나,D,var,2020-12-30,421915.0
sell_in,C,나,D,var,2020-12-31,388443.0
sell_in,C,나,D,var,2021-01-01,440625.0
sell_in,C,나,D,var,2021-01-02,482170.0
sell_in,C,나,D,var,2021-01-03,485921.0
sell_in,C,나,D,var,2021-01-04,522092.0
sell_in,C,나,W,var,2021-01-10,3115865.0
sell_in,C,나,W,var,2021-01-17,3438296.0
sell_in,C,나,W,var,2021-01-24,3466370.0
sell_in,C,나,W,var,2021-01-31,3464679.0
sell_in,C,나,W,var,2021-02-07,3462530.0
sell_in,C,나,W,var,2021-02-14,3461570.0
sell_in,C,나,M,var,2021-01-31,11578382.0
sell_in,C,나,M,var,2021-02-28,12109315.0
sell_in,C,나,M,var,2021-03-31,12914716.0
sell_in,C,나,M,var,2021-04-30,13319688.0
sell_in,C,나,M,var,2021-05-31,13482843.0
sell_in,C,나,M,var,2021-06-30,13542523.0
sell_in,C,마,D,var,2021-01-01,1131658.0
sell_in,C,마,D,var,2021-01-02,2083659.0
sell_in,C,마,D,var,2021-01-03,2057568.0
sell_in,C,마,D,var,2021-01-04,2045162.0
sell_in,C,마,D,var,2021-01-05,2057672.0
sell_in,C,마,D,var,2021-01-06,1959227.0
sell_in,C,마,W,var,2021-01-10,14289461.0
sell_in,C,마,W,var,2021-01-17,16802038.0
sell_in,C,마,W,var,2021-01-24,18033441.0
sell_in,C,마,W,var,2021-01-31,18691571.0
sell_in,C,마,W,var,2021-02-07,19047673.0
sell_in,C,마,W,var,2021-02-14,19240673.0
sell_in,C,마,M,var,2021-01-31,64501482.0
sell_in,C,마,M,var,2021-02-28,75748370.0
sell_in,C,마,M,var,2021-03-31,80391713.0
sell_in,C,마,M,var,2021-04-30,82795557.0
sell_in,C,마,M,var,2021-05-31,84174901.0
sell_in,C,마,M,var,2021-06-30,84996184.0
sell_in,C,all,D,var,2021-01-01,1371420.0
sell_in,C,all,D,var,2021-01-02,2326384.0
sell_in,C,all,D,var,2021-01-03,2350075.0
sell_in,C,all,D,var,2021-01-04,2755942.0
sell_in,C,all,D,var,2021-01-05,2892251.0
sell_in,C,all,D,var,2021-01-06,2714093.0
sell_in,C,all,W,var,2021-01-10,18074688.0
sell_in,C,all,W,var,2021-01-17,21735537.0
sell_in,C,all,W,var,2021-01-24,22686530.0
sell_in,C,all,W,var,2021-01-31,22925068.0
sell_in,C,all,W,var,2021-02-07,22984509.0
sell_in,C,all,W,var,2021-02-14,22999303.0
sell_in,C,all,M,var,2021-01-31,87140428.0
sell_in,C,all,M,var,2021-02-28,95543742.0
sell_in,C,all,M,var,2021-03-31,98159780.0
sell_in,C,all,M,var,2021-04-30,99100756.0
sell_in,C,all,M,var,2021-05-31,99450388.0
sell_in,C,all,M,var,2021-06-30,99581152.0
sell_in,all,가,D,var,2021-01-01,495571.0
sell_in,all,가,D,var,2021-01-02,175889.0
sell_in,all,가,D,var,2021-01-03,2859025.0
sell_in,all,가,D,var,2021-01-04,-166190.0
sell_in,all,가,D,var,2021-01-05,2200318.0
sell_in,all,가,D,var,2021-01-06,2120130.0
sell_in,all,가,W,var,2021-01-10,10064319.0
sell_in,all,가,W,var,2021-01-17,18406936.0
sell_in,all,가,W,var,2021-01-24,16904466.0
sell_in,all,가,W,var,2021-01-31,17139891.0
sell_in,all,가,W,var,2021-02-07,17105177.0
sell_in,all,가,W,var,2021-02-14,17110141.0
sell_in,all,가,M,var,2021-01-31,71268351.0
sell_in,all,가,M,var,2021-02-28,72602697.0
sell_in,all,가,M,var,2021-03-31,73369261.0
sell_in,all,가,M,var,2021-04-30,73773138.0
sell_in,all,가,M,var,2021-05-31,73985692.0
sell_in,all,가,M,var,2021-06-30,74097554.0
sell_in,all,다,D,var,2021-01-01,3175761.0
sell_in,all,다,D,var,2021-01-02,3773936.0
sell_in,all,다,D,var,2021-01-03,3167733.0
sell_in,all,다,D,var,2021-01-04,3857821.0
sell_in,all,다,D,var,2021-01-05,5752342.0
sell_in,all,다,D,var,2021-01-06,5042708.0
sell_in,all,다,W,var,2021-01-10,24813683.0
sell_in,all,다,W,var,2021-01-17,28105328.0
sell_in,all,다,W,var,2021-01-24,30482464.0
sell_in,all,다,W,var,2021-01-31,32207476.0
sell_in,all,다,W,var,2021-02-07,33461348.0
sell_in,all,다,W,var,2021-02-14,34373281.0
sell_in,all,다,M,var,2021-01-31,101262332.0
sell_in,all,다,M,var,2021-02-28,114864537.0
sell_in,all,다,M,var,2021-03-31,125470700.0
sell_in,all,다,M,var,2021-04-30,133686674.0
sell_in,all,다,M,var,2021-05-31,140048991.0
sell_in,all,다,M,var,2021-06-30,144975782.0
sell_in,all,나,D,var,2020-12-31,1029891.0
sell_in,all,나,D,var,2021-01-01,1132244.0
sell_in,all,나,D,var,2021-01-02,850310.0
sell_in,all,나,D,var,2021-01-03,800593.0
sell_in,all,나,D,var,2021-01-04,1673300.0
sell_in,all,나,D,var,2021-01-05,1434545.0
sell_in,all,나,W,var,2021-01-10,9004657.0
sell_in,all,나,W,var,2021-01-17,10135237.0
sell_in,all,나,W,var,2021-01-24,10520202.0
sell_in,all,나,W,var,2021-01-31,10689459.0
sell_in,all,나,W,var,2021-02-07,10777771.0
sell_in,all,나,W,var,2021-02-14,10827766.0
sell_in,all,나,M,var,2021-01-31,37173231.0
sell_in,all,나,M,var,2021-02-28,39882194.0
sell_in,all,나,M,var,2021-03-31,41278006.0
sell_in,all,나,M,var,2021-04-30,41981710.0
sell_in,all,나,M,var,2021-05-31,42336406.0
sell_in,all,나,M,var,2021-06-30,42515188.0
sell_in,all,라,D,var,2021-01-01,527383.0
sell_in,all,라,D,var,2021-01-02,196347.0
sell_in,all,라,D,var,2021-01-03,310886.0
sell_in,all,라,D,var,2021-01-04,932214.0
sell_in,all,라,D,var,2021-01-05,538745.0
sell_in,all,라,D,var,2021-01-06,345759.0
sell_in,all,라,W,var,2021-01-10,4073869.0
sell_in,all,라,W,var,2021-01-17,4650661.0
sell_in,all,라,W,var,2021-01-24,4992112.0
sell_in,all,라,W,var,2021-01-31,5195642.0
sell_in,all,라,W,var,2021-02-07,5317636.0
sell_in,all,라,W,var,2021-02-14,5391080.0
sell_in,all,라,M,var,2021-01-31,21613215.0
sell_in,all,라,M,var,2021-02-28,23998609.0
sell_in,all,라,M,var,2021-03-31,24392716.0
sell_in,all,라,M,var,2021-04-30,24266928.0
sell_in,all,라,M,var,2021-05-31,24154536.0
sell_in,all,라,M,var,2021-06-30,24117209.0
sell_in,all,마,D,var,2021-01-01,1131658.0
sell_in,all,마,D,var,2021-01-02,2083659.0
sell_in,all,마,D,var,2021-01-03,2057568.0
sell_in,all,마,D,var,2021-01-04,2045162.0
sell_in,all,마,D,var,2021-01-05,2057672.0
sell_in,all,마,D,var,2021-01-06,1959227.0
sell_in,all,마,W,var,2021-01-10,14289461.0
sell_in,all,마,W,var,2021-01-17,16802038.0
sell_in,all,마,W,var,2021-01-24,18033441.0
sell_in,all,마,W,var,2021-01-31,18691571.0
sell_in,all,마,W,var,2021-02-07,19047673.0
sell_in,all,마,W,var,2021-02-14,19240673.0
sell_in,all,마,M,var,2021-01-31,64501482.0
sell_in,all,마,M,var,2021-02-28,75748370.0
sell_in,all,마,M,var,2021-03-31,80391713.0
sell_in,all,마,M,var,2021-04-30,82795557.0
sell_in,all,마,M,var,2021-05-31,84174901.0
sell_in,all,마,M,var,2021-06-30,84996184.0
sell_in,all,all,D,var,2021-01-01,10814533.0
sell_in,all,all,D,var,2021-01-02,9921424.0
sell_in,all,all,D,var,2021-01-03,10403213.0
sell_in,all,all,D,var,2021-01-04,19379387.0
sell_in,all,all,D,var,2021-01-05,14762087.0
sell_in,all,all,D,var,2021-01-06,12188709.0
sell_in,all,all,W,var,2021-01-10,84236375.0
sell_in,all,all,W,var,2021-01-17,87750639.0
sell_in,all,all,W,var,2021-01-24,89153640.0
sell_in,all,all,W,var,2021-01-31,89714572.0
sell_in,all,all,W,var,2021-02-07,89938840.0
sell_in,all,all,W,var,2021-02-14,90028505.0
sell_in,all,all,M,var,2021-01-31,302038686.0
sell_in,all,all,M,var,2021-02-28,323597067.0
sell_in,all,all,M,var,2021-03-31,342142537.0
sell_in,all,all,M,var,2021-04-30,355083148.0
sell_in,all,all,M,var,2021-05-31,364776880.0
sell_in,all,all,M,var,2021-06-30,371857959.0
sell_out,A,바,D,var,2021-01-01,3004455.0
sell_out,A,바,D,var,2021-01-02,2970823.0
sell_out,A,바,D,var,2021-01-03,3001865.0
sell_out,A,바,D,var,2021-01-04,3093463.0
sell_out,A,바,D,var,2021-01-05,3097189.0
sell_out,A,바,D,var,2021-01-06,3159273.0
sell_out,A,바,W,var,2021-01-10,15852733.0
sell_out,A,바,W,var,2021-01-17,19285491.0
sell_out,A,바,W,var,2021-01-24,21534169.0
sell_out,A,바,W,var,2021-01-31,23003915.0
sell_out,A,바,W,var,2021-02-07,23961740.0
sell_out,A,바,W,var,2021-02-14,24583547.0
sell_out,A,바,M,var,2021-01-31,95622994.0
sell_out,A,바,M,var,2021-02-28,103423602.0
sell_out,A,바,M,var,2021-03-31,108321892.0
sell_out,A,바,M,var,2021-04-30,111109016.0
sell_out,A,바,M,var,2021-05-31,112473840.0
sell_out,A,바,M,var,2021-06-30,112955393.0
sell_out,A,가,D,var,2021-01-01,5258466.0
sell_out,A,가,D,var,2021-01-02,4914241.0
sell_out,A,가,D,var,2021-01-03,4677079.0
sell_out,A,가,D,var,2021-01-04,4287393.0
sell_out,A,가,D,var,2021-01-05,4204822.0
sell_out,A,가,D,var,2021-01-06,4656499.0
sell_out,A,가,W,var,2021-01-10,26452122.0
sell_out,A,가,W,var,2021-01-17,29406528.0
sell_out,A,가,W,var,2021-01-24,30534098.0
sell_out,A,가,W,var,2021-01-31,30967335.0
sell_out,A,가,W,var,2021-02-07,31135694.0
sell_out,A,가,W,var,2021-02-14,31202359.0
sell_out,A,가,M,var,2021-01-31,135659584.0
sell_out,A,가,M,var,2021-02-28,136013050.0
sell_out,A,가,M,var,2021-03-31,136040649.0
sell_out,A,가,M,var,2021-04-30,136039982.0
sell_out,A,가,M,var,2021-05-31,136039911.0
sell_out,A,가,M,var,2021-06-30,136039912.0
sell_out,A,다,D,var,2021-01-01,4807568.0
sell_out,A,다,D,var,2021-01-02,5086445.0
sell_out,A,다,D,var,2021-01-03,4931649.0
sell_out,A,다,D,var,2021-01-04,4598230.0
sell_out,A,다,D,var,2021-01-05,4249223.0
sell_out,A,다,D,var,2021-01-06,4087057.0
sell_out,A,다,W,var,2021-01-10,18481499.0
sell_out,A,다,W,var,2021-01-17,21928295.0
sell_out,A,다,W,var,2021-01-24,24982449.0
sell_out,A,다,W,var,2021-01-31,27697175.0
sell_out,A,다,W,var,2021-02-07,30117948.0
sell_out,A,다,W,var,2021-02-14,32283654.0
sell_out,A,다,M,var,2021-01-31,144410029.0
sell_out,A,다,M,var,2021-02-28,160939056.0
sell_out,A,다,M,var,2021-03-31,175059860.0
sell_out,A,다,M,var,2021-04-30,187096460.0
sell_out,A,다,M,var,2021-05-31,197333072.0
sell_out,A,다,M,var,2021-06-30,206018415.0
sell_out,A,all,D,var,2021-01-01,13316776.0
sell_out,A,all,D,var,2021-01-02,13344971.0
sell_out,A,all,D,var,2021-01-03,13101103.0
sell_out,A,all,D,var,2021-01-04,12509532.0
sell_out,A,all,D,var,2021-01-05,12052319.0
sell_out,A,all,D,var,2021-01-06,12212363.0
sell_out,A,all,W,var,2021-01-10,71320810.0
sell_out,A,all,W,var,2021-01-17,84681786.0
sell_out,A,all,W,var,2021-01-24,91440969.0
sell_out,A,all,W,var,2021-01-31,95091103.0
sell_out,A,all,W,var,2021-02-07,97264632.0
sell_out,A,all,W,var,2021-02-14,98725152.0
sell_out,A,all,M,var,2021-01-31,395959341.0
sell_out,A,all,M,var,2021-02-28,422019340.0
sell_out,A,all,M,var,2021-03-31,439549800.0
sell_out,A,all,M,var,2021-04-30,451920708.0
sell_out,A,all,M,var,2021-05-31,461050272.0
sell_out,A,all,M,var,2021-06-30,468051081.0
sell_out,B,바,D,var,2021-01-01,465453.0
sell_out,B,바,D,var,2021-01-02,465154.0
sell_out,B,바,D,var,2021-01-03,472650.0
sell_out,B,바,D,var,2021-01-04,490675.0
sell_out,B,바,D,var,2021-01-05,510772.0
sell_out,B,바,D,var,2021-01-06,517664.0
sell_out,B,바,W,var,2021-01-10,2597244.0
