sell_type,cust_type,prod_type,time_type,model,dt,prediction
sell_in,A,가,D,hw,2021-01-01,3679130.0
sell_in,A,가,D,hw,2021-01-02,3070820.0
sell_in,A,가,D,hw,2021-01-03,89121.0
sell_in,A,가,D,hw,2021-01-04,2952307.0
sell_in,A,가,D,hw,2021-01-05,2373798.0
sell_in,A,가,D,hw,2021-01-06,3052453.0
sell_in,A,가,W,arima,2021-01-10,15813002.0
sell_in,A,가,W,arima,2021-01-17,15968660.0
sell_in,A,가,W,arima,2021-01-24,16104361.0
sell_in,A,가,W,arima,2021-01-31,16222664.0
sell_in,A,가,W,arima,2021-02-07,16325799.0
sell_in,A,가,W,arima,2021-02-14,16415712.0
sell_in,A,가,M,arma,2021-01-31,74482532.0
sell_in,A,가,M,arma,2021-02-28,74493591.0
sell_in,A,가,M,arma,2021-03-31,74493580.0
sell_in,A,가,M,arma,2021-04-30,74493580.0
sell_in,A,가,M,arma,2021-05-31,74493580.0
sell_in,A,가,M,arma,2021-06-30,74493580.0
sell_in,A,다,D,ar,2021-01-01,3031139.0
sell_in,A,다,D,ar,2021-01-02,3472341.0
sell_in,A,다,D,ar,2021-01-03,1908932.0
sell_in,A,다,D,ar,2021-01-04,5140022.0
sell_in,A,다,D,ar,2021-01-05,6909726.0
sell_in,A,다,D,ar,2021-01-06,4004960.0
sell_in,A,다,W,ses,2021-01-10,19830051.0
sell_in,A,다,W,ses,2021-01-17,19830051.0
sell_in,A,다,W,ses,2021-01-24,19830051.0
sell_in,A,다,W,ses,2021-01-31,19830051.0
sell_in,A,다,W,ses,2021-02-07,19830051.0
sell_in,A,다,W,ses,2021-02-14,19830051.0
sell_in,A,다,M,arima,2021-01-31,103252767.0
sell_in,A,다,M,arima,2021-02-28,122705979.0
sell_in,A,다,M,arima,2021-03-31,135381168.0
sell_in,A,다,M,arima,2021-04-30,143639979.0
sell_in,A,다,M,arima,2021-05-31,149021198.0
sell_in,A,다,M,arima,2021-06-30,152527455.0
sell_in,A,all,D,arima,2021-01-01,8699625.0
sell_in,A,all,D,arima,2021-01-02,7152817.0
sell_in,A,all,D,arima,2021-01-03,7699811.0
sell_in,A,all,D,arima,2021-01-04,10572597.0
sell_in,A,all,D,arima,2021-01-05,8052794.0
sell_in,A,all,D,arima,2021-01-06,7709662.0
sell_in,A,all,W,arma,2021-01-10,54871571.0
sell_in,A,all,W,arma,2021-01-17,53776996.0
sell_in,A,all,W,arma,2021-01-24,53490666.0
sell_in,A,all,W,arma,2021-01-31,53415765.0
sell_in,A,all,W,arma,2021-02-07,53396172.0
sell_in,A,all,W,arma,2021-02-14,53391046.0
sell_in,A,all,M,arima,2021-01-31,192192240.0
sell_in,A,all,M,arima,2021-02-28,208551851.0
sell_in,A,all,M,arima,2021-03-31,218444561.0
sell_in,A,all,M,arima,2021-04-30,224426714.0
sell_in,A,all,M,arima,2021-05-31,228044142.0
sell_in,A,all,M,arima,2021-06-30,230231612.0
sell_in,B,나,D,ses,2020-12-31,933718.0
sell_in,B,나,D,ses,2021-01-01,933718.0
sell_in,B,나,D,ses,2021-01-02,933718.0
sell_in,B,나,D,ses,2021-01-03,933718.0
sell_in,B,나,D,ses,2021-01-04,933718.0
sell_in,B,나,D,ses,2021-01-05,933718.0
sell_in,B,나,W,ar,2021-01-10,3199380.0
sell_in,B,나,W,ar,2021-01-17,4350477.0
sell_in,B,나,W,ar,2021-01-24,3096449.0
sell_in,B,나,W,ar,2021-01-31,4222168.0
sell_in,B,나,W,ar,2021-02-07,2960846.0
sell_in,B,나,W,ar,2021-02-14,4084468.0
sell_in,B,나,M,ses,2021-01-31,23001070.0
sell_in,B,나,M,ses,2021-02-28,23001070.0
sell_in,B,나,M,ses,2021-03-31,23001070.0
sell_in,B,나,M,ses,2021-04-30,23001070.0
sell_in,B,나,M,ses,2021-05-31,23001070.0
sell_in,B,나,M,ses,2021-06-30,23001070.0
sell_in,B,라,D,arima,2021-01-01,543376.0
sell_in,B,라,D,arima,2021-01-02,275741.0
sell_in,B,라,D,arima,2021-01-03,372750.0
sell_in,B,라,D,arima,2021-01-04,1030145.0
sell_in,B,라,D,arima,2021-01-05,526814.0
sell_in,B,라,D,arima,2021-01-06,382334.0
sell_in,B,라,W,ses,2021-01-10,3486331.0
sell_in,B,라,W,ses,2021-01-17,3486331.0
sell_in,B,라,W,ses,2021-01-24,3486331.0
sell_in,B,라,W,ses,2021-01-31,3486331.0
sell_in,B,라,W,ses,2021-02-07,3486331.0
sell_in,B,라,W,ses,2021-02-14,3486331.0
sell_in,B,라,M,arma,2021-01-31,20420357.0
sell_in,B,라,M,arma,2021-02-28,22349858.0
sell_in,B,라,M,arma,2021-03-31,23178529.0
sell_in,B,라,M,arma,2021-04-30,23534422.0
sell_in,B,라,M,arma,2021-05-31,23687269.0
sell_in,B,라,M,arma,2021-06-30,23752912.0
sell_in,B,all,D,arima,2021-01-01,1263815.0
sell_in,B,all,D,arima,2021-01-02,1037960.0
sell_in,B,all,D,arima,2021-01-03,993365.0
sell_in,B,all,D,arima,2021-01-04,2334665.0
sell_in,B,all,D,arima,2021-01-05,1629577.0
sell_in,B,all,D,arima,2021-01-06,1433483.0
sell_in,B,all,W,ses,2021-01-10,8009669.0
sell_in,B,all,W,ses,2021-01-17,8009669.0
sell_in,B,all,W,ses,2021-01-24,8009669.0
sell_in,B,all,W,ses,2021-01-31,8009669.0
sell_in,B,all,W,ses,2021-02-07,8009669.0
sell_in,B,all,W,ses,2021-02-14,8009669.0
sell_in,B,all,M,ses,2021-01-31,45353521.0
sell_in,B,all,M,ses,2021-02-28,45353521.0
sell_in,B,all,M,ses,2021-03-31,45353521.0
sell_in,B,all,M,ses,2021-04-30,45353521.0
sell_in,B,all,M,ses,2021-05-31,45353521.0
sell_in,B,all,M,ses,2021-06-30,45353521.0
sell_in,C,나,D,ar,2020-12-30,100992.0
sell_in,C,나,D,ar,2020-12-31,231916.0
sell_in,C,나,D,ar,2021-01-01,241742.0
