sell_type,cust_type,prod_type,time_type,model,rmse
sell_in,A,가,D,lstm_vn,3498071
sell_in,A,가,W,lstm_vn,14876326
sell_in,A,가,M,lstm_vn,60781418
sell_in,A,다,D,lstm_vn,3213354
sell_in,A,다,W,lstm_vn,21764565
sell_in,A,다,M,lstm_vn,121821819
sell_in,A,all,D,lstm_vn,5766228
sell_in,A,all,W,lstm_vn,36935085
sell_in,A,all,M,lstm_vn,187500693
sell_in,B,나,D,lstm_vn,1086588
sell_in,B,나,W,lstm_vn,6129626
sell_in,B,나,M,lstm_vn,18101811
sell_in,B,라,D,lstm_vn,536166
sell_in,B,라,W,lstm_vn,3935331
sell_in,B,라,M,lstm_vn,18788511
sell_in,B,all,D,lstm_vn,1390695
sell_in,B,all,W,lstm_vn,9437325
sell_in,B,all,M,lstm_vn,33027246
sell_in,C,나,D,lstm_vn,624607
sell_in,C,나,W,lstm_vn,3100952
sell_in,C,나,M,lstm_vn,6978420
sell_in,C,마,D,lstm_vn,3121398
sell_in,C,마,W,lstm_vn,23874562
sell_in,C,마,M,lstm_vn,70820605
sell_in,C,all,D,lstm_vn,3432389
sell_in,C,all,W,lstm_vn,24715194
sell_in,C,all,M,lstm_vn,76380611
sell_in,all,가,D,lstm_vn,3502255
sell_in,all,가,W,lstm_vn,14598069
sell_in,all,가,M,lstm_vn,57239247
sell_in,all,다,D,lstm_vn,3123634
sell_in,all,다,W,lstm_vn,21446480
sell_in,all,다,M,lstm_vn,110291575
sell_in,all,나,D,lstm_vn,1454195
sell_in,all,나,W,lstm_vn,8532945
sell_in,all,나,M,lstm_vn,26162168
sell_in,all,라,D,lstm_vn,531877
sell_in,all,라,W,lstm_vn,3225661
sell_in,all,라,M,lstm_vn,19836905
sell_in,all,마,D,lstm_vn,3126920
sell_in,all,마,W,lstm_vn,23841394
sell_in,all,마,M,lstm_vn,74587580
sell_in,all,all,D,lstm_vn,8323573
sell_in,all,all,W,lstm_vn,58401726
sell_in,all,all,M,lstm_vn,232492232
sell_out,A,바,D,lstm_vn,1163764
sell_out,A,바,W,lstm_vn,18942876
sell_out,A,바,M,lstm_vn,67946211
sell_out,A,가,D,lstm_vn,849637
sell_out,A,가,W,lstm_vn,11133401
sell_out,A,가,M,lstm_vn,80441371
sell_out,A,다,D,lstm_vn,2188172
sell_out,A,다,W,lstm_vn,45600131
sell_out,A,다,M,lstm_vn,195197488
sell_out,A,all,D,lstm_vn,3754932
sell_out,A,all,W,lstm_vn,85064107
sell_out,A,all,M,lstm_vn,277358619
sell_out,B,바,D,lstm_vn,358770
sell_out,B,바,W,lstm_vn,2529315
sell_out,B,바,M,lstm_vn,10809761
sell_out,B,나,D,lstm_vn,931802
sell_out,B,나,W,lstm_vn,7636073
sell_out,B,나,M,lstm_vn,36084381
sell_out,B,라,D,lstm_vn,476792
sell_out,B,라,W,lstm_vn,4832503
sell_out,B,라,M,lstm_vn,22683973
sell_out,B,all,D,lstm_vn,1510682
sell_out,B,all,W,lstm_vn,12117896
sell_out,B,all,M,lstm_vn,52768995
sell_out,C,바,D,lstm_vn,361919
sell_out,C,바,W,lstm_vn,2629970
sell_out,C,바,M,lstm_vn,10664659
sell_out,C,나,D,lstm_vn,817943
sell_out,C,나,W,lstm_vn,5081716
sell_out,C,나,M,lstm_vn,15990129
sell_out,C,마,D,lstm_vn,4272443
sell_out,C,마,W,lstm_vn,28503664
sell_out,C,마,M,lstm_vn,126854444
sell_out,C,all,D,lstm_vn,4904935
sell_out,C,all,W,lstm_vn,36590659
sell_out,C,all,M,lstm_vn,151122978
sell_out,all,바,D,lstm_vn,3671422
sell_out,all,바,W,lstm_vn,18496631
sell_out,all,바,M,lstm_vn,107472933
sell_out,all,가,D,lstm_vn,1099463
sell_out,all,가,W,lstm_vn,8552577
sell_out,all,가,M,lstm_vn,85415535
sell_out,all,다,D,lstm_vn,1926699
sell_out,all,다,W,lstm_vn,35462751
sell_out,all,다,M,lstm_vn,168861563
sell_out,all,나,D,lstm_vn,1471661
sell_out,all,나,W,lstm_vn,10685032
sell_out,all,나,M,lstm_vn,47760497
sell_out,all,라,D,lstm_vn,521969
sell_out,all,라,W,lstm_vn,5813582
sell_out,all,라,M,lstm_vn,27851876
sell_out,all,마,D,lstm_vn,4283638
sell_out,all,마,W,lstm_vn,32558964
sell_out,all,마,M,lstm_vn,127806182
sell_out,all,all,D,lstm_vn,7998878
sell_out,all,all,W,lstm_vn,83341873
sell_out,all,all,M,lstm_vn,586724808
