sell_type,cust_type,prod_type,time_type,model,rmse
sell_in,A,가,D,var,8875755
sell_in,A,가,W,var,16878146
sell_in,A,가,M,var,15438343
sell_in,A,다,D,var,2493799
sell_in,A,다,W,var,9928411
sell_in,A,다,M,var,110121950
sell_in,A,all,D,var,7866070
sell_in,A,all,W,var,16513672
sell_in,A,all,M,var,99484924
sell_in,B,나,D,var,828249
sell_in,B,나,W,var,5431392
sell_in,B,나,M,var,12517314
sell_in,B,라,D,var,239242
sell_in,B,라,W,var,1589452
sell_in,B,라,M,var,8513301
sell_in,B,all,D,var,861084
sell_in,B,all,W,var,6446730
sell_in,B,all,M,var,21481285
sell_in,C,나,D,var,309171
sell_in,C,나,W,var,3161801
sell_in,C,나,M,var,6115596
sell_in,C,마,D,var,1430050
sell_in,C,마,W,var,12819257
sell_in,C,마,M,var,48960661
sell_in,C,all,D,var,1909142
sell_in,C,all,W,var,14743454
sell_in,C,all,M,var,53555085
sell_in,all,가,D,var,8875755
sell_in,all,가,W,var,16878146
sell_in,all,가,M,var,15438343
sell_in,all,다,D,var,2493799
sell_in,all,다,W,var,9928411
sell_in,all,다,M,var,110121950
sell_in,all,나,D,var,1165443
sell_in,all,나,W,var,8182007
sell_in,all,나,M,var,12252433
sell_in,all,라,D,var,239242
sell_in,all,라,W,var,1589452
sell_in,all,라,M,var,8513301
sell_in,all,마,D,var,1430050
sell_in,all,마,W,var,12819257
sell_in,all,마,M,var,48960661
sell_in,all,all,D,var,9201763
sell_in,all,all,W,var,24196067
sell_in,all,all,M,var,133313938
sell_out,A,바,D,var,283860
sell_out,A,바,W,var,8950014
sell_out,A,바,M,var,21992871
sell_out,A,가,D,var,730592
sell_out,A,가,W,var,8042642
sell_out,A,가,M,var,10259608
sell_out,A,다,D,var,735215
sell_out,A,다,W,var,12992933
sell_out,A,다,M,var,89703590
sell_out,A,all,D,var,1313060
sell_out,A,all,W,var,34271624
sell_out,A,all,M,var,100377065
sell_out,B,바,D,var,148536
sell_out,B,바,W,var,1681882
sell_out,B,바,M,var,6282916
sell_out,B,나,D,var,908346
sell_out,B,나,W,var,3816696
sell_out,B,나,M,var,14708870
sell_out,B,라,D,var,264143
sell_out,B,라,W,var,1968330
sell_out,B,라,M,var,14757300
sell_out,B,all,D,var,1320250
sell_out,B,all,W,var,6414754
sell_out,B,all,M,var,20591746
sell_out,C,바,D,var,109958
sell_out,C,바,W,var,1466045
sell_out,C,바,M,var,2640779
sell_out,C,나,D,var,472276
sell_out,C,나,W,var,4407034
sell_out,C,나,M,var,8746444
sell_out,C,마,D,var,478064
sell_out,C,마,W,var,7724270
sell_out,C,마,M,var,76878917
sell_out,C,all,D,var,1801499
sell_out,C,all,W,var,22800648
sell_out,C,all,M,var,68801745
sell_out,all,바,D,var,507925
sell_out,all,바,W,var,12167828
sell_out,all,바,M,var,22959911
sell_out,all,가,D,var,730592
sell_out,all,가,W,var,8042642
sell_out,all,가,M,var,10259608
sell_out,all,다,D,var,735215
sell_out,all,다,W,var,12992933
sell_out,all,다,M,var,89703590
sell_out,all,나,D,var,1287870
sell_out,all,나,W,var,7704004
sell_out,all,나,M,var,19520375
sell_out,all,라,D,var,264143
sell_out,all,라,W,var,1968330
sell_out,all,라,M,var,14757300
sell_out,all,마,D,var,478064
sell_out,all,마,W,var,7724270
sell_out,all,마,M,var,76878917
sell_out,all,all,D,var,3421383
sell_out,all,all,W,var,68681643
sell_out,all,all,M,var,203778115
