sell_type,cust_type,prod_type,time_type,model,rmse
sell_in,A,가,D,hw,8741874
sell_in,A,가,D,ses,8952247
sell_in,A,가,D,arima,9095794
sell_in,A,가,D,arma,9100061
sell_in,A,가,D,ar,9480085
sell_in,A,가,W,arima,16673412
sell_in,A,가,W,ar,16895060
sell_in,A,가,W,arma,16962674
sell_in,A,가,W,ses,17068582
sell_in,A,가,W,hw,18042011
sell_in,A,가,M,arma,14196318
sell_in,A,가,M,arima,14930322
sell_in,A,가,M,ses,17506950
sell_in,A,가,M,ar,22045860
sell_in,A,가,M,hw,25272886
sell_in,A,다,D,ar,2280783
sell_in,A,다,D,arma,2520495
sell_in,A,다,D,arima,2548375
sell_in,A,다,D,hw,2589409
sell_in,A,다,D,ses,3264750
sell_in,A,다,W,ses,5274738
sell_in,A,다,W,arima,5478837
sell_in,A,다,W,hw,7925082
sell_in,A,다,W,ar,9287486
sell_in,A,다,W,arma,10124953
sell_in,A,다,M,arima,59084461
sell_in,A,다,M,arma,67352869
sell_in,A,다,M,ar,80992954
sell_in,A,다,M,ses,85000686
sell_in,A,다,M,hw,165039044
sell_in,A,all,D,arima,7683436
sell_in,A,all,D,arma,7717812
sell_in,A,all,D,hw,7758957
sell_in,A,all,D,ar,8306219
sell_in,A,all,D,ses,8350944
sell_in,A,all,W,arma,16379959
sell_in,A,all,W,ar,16552735
sell_in,A,all,W,arima,16871875
sell_in,A,all,W,ses,17729564
sell_in,A,all,W,hw,27086091
sell_in,A,all,M,arima,56408801
sell_in,A,all,M,arma,59362306
sell_in,A,all,M,ar,63967961
sell_in,A,all,M,ses,75896099
sell_in,A,all,M,hw,98004257
sell_in,B,나,D,ses,833402
sell_in,B,나,D,arima,838402
sell_in,B,나,D,arma,842038
sell_in,B,나,D,ar,921190
sell_in,B,나,D,hw,966454
sell_in,B,나,W,ar,4952911
sell_in,B,나,W,ses,5086052
sell_in,B,나,W,arma,5672283
sell_in,B,나,W,arima,5721863
sell_in,B,나,W,hw,8626653
sell_in,B,나,M,ses,11852402
sell_in,B,나,M,arima,15438220
sell_in,B,나,M,arma,15546974
sell_in,B,나,M,ar,16891083
sell_in,B,나,M,hw,22761465
sell_in,B,라,D,arima,229273
sell_in,B,라,D,arma,243378
sell_in,B,라,D,ar,247432
