sell_type,cust_type,prod_type,time_type,model,dt,prediction
sell_in,A,가,W,lstm,2021-01-10,-808199.0
sell_in,A,가,W,lstm,2021-01-17,-1740325.0
sell_in,A,가,W,lstm,2021-01-24,2246477.0
sell_in,A,가,W,lstm,2021-01-31,29786.0
sell_in,A,가,W,lstm,2021-02-07,840922.0
sell_in,A,가,W,lstm,2021-02-14,3450367.0
sell_in,A,가,W,lstm,2021-02-21,-229647.0
sell_in,A,가,W,lstm,2021-02-28,29659.0
sell_in,A,가,W,lstm,2021-03-07,3319620.0
sell_in,A,가,W,lstm,2021-03-14,3529424.0
sell_in,A,가,W,lstm,2021-03-21,4134964.0
sell_in,A,가,W,lstm,2021-03-28,-2704617.0
sell_in,A,다,W,lstm,2021-01-10,4053090.0
sell_in,A,다,W,lstm,2021-01-17,10372313.0
sell_in,A,다,W,lstm,2021-01-24,5572103.0
sell_in,A,다,W,lstm,2021-01-31,6097411.0
sell_in,A,다,W,lstm,2021-02-07,6876360.0
sell_in,A,다,W,lstm,2021-02-14,6725382.0
sell_in,A,다,W,lstm,2021-02-21,8847266.0
sell_in,A,다,W,lstm,2021-02-28,7903582.0
sell_in,A,다,W,lstm,2021-03-07,6164934.0
sell_in,A,다,W,lstm,2021-03-14,3952374.0
sell_in,A,다,W,lstm,2021-03-21,1237996.0
sell_in,A,다,W,lstm,2021-03-28,-17688654.0
sell_in,A,all,W,lstm,2021-01-10,783232.0
sell_in,A,all,W,lstm,2021-01-17,-1367736.0
sell_in,A,all,W,lstm,2021-01-24,214651.0
sell_in,A,all,W,lstm,2021-01-31,-2575866.0
sell_in,A,all,W,lstm,2021-02-07,2219307.0
sell_in,A,all,W,lstm,2021-02-14,8205950.0
sell_in,A,all,W,lstm,2021-02-21,15946833.0
sell_in,A,all,W,lstm,2021-02-28,14760115.0
sell_in,A,all,W,lstm,2021-03-07,28855078.0
sell_in,A,all,W,lstm,2021-03-14,-15891523.0
sell_in,A,all,W,lstm,2021-03-21,36065884.0
sell_in,A,all,W,lstm,2021-03-28,-18112112.0
sell_in,B,나,W,lstm,2021-01-10,-58734.0
sell_in,B,나,W,lstm,2021-01-17,-122247.0
sell_in,B,나,W,lstm,2021-01-24,153982.0
sell_in,B,나,W,lstm,2021-01-31,-380780.0
sell_in,B,나,W,lstm,2021-02-07,-214633.0
sell_in,B,나,W,lstm,2021-02-14,-380659.0
sell_in,B,나,W,lstm,2021-02-21,-233989.0
sell_in,B,나,W,lstm,2021-02-28,-334133.0
sell_in,B,나,W,lstm,2021-03-07,143319.0
sell_in,B,나,W,lstm,2021-03-14,-865647.0
sell_in,B,나,W,lstm,2021-03-21,-214301.0
sell_in,B,나,W,lstm,2021-03-28,-512447.0
sell_in,B,라,W,lstm,2021-01-10,-4226.0
sell_in,B,라,W,lstm,2021-01-17,-332688.0
sell_in,B,라,W,lstm,2021-01-24,-1267239.0
sell_in,B,라,W,lstm,2021-01-31,-1868781.0
sell_in,B,라,W,lstm,2021-02-07,-1230469.0
sell_in,B,라,W,lstm,2021-02-14,-2847947.0
sell_in,B,라,W,lstm,2021-02-21,-913811.0
sell_in,B,라,W,lstm,2021-02-28,-1654367.0
sell_in,B,라,W,lstm,2021-03-07,20681.0
sell_in,B,라,W,lstm,2021-03-14,1849428.0
sell_in,B,라,W,lstm,2021-03-21,1968587.0
sell_in,B,라,W,lstm,2021-03-28,824287.0
sell_in,B,all,W,lstm,2021-01-10,129297.0
sell_in,B,all,W,lstm,2021-01-17,-230463.0
sell_in,B,all,W,lstm,2021-01-24,-539921.0
sell_in,B,all,W,lstm,2021-01-31,1449669.0
sell_in,B,all,W,lstm,2021-02-07,891954.0
sell_in,B,all,W,lstm,2021-02-14,730972.0
sell_in,B,all,W,lstm,2021-02-21,990783.0
sell_in,B,all,W,lstm,2021-02-28,-1659933.0
sell_in,B,all,W,lstm,2021-03-07,-1044650.0
sell_in,B,all,W,lstm,2021-03-14,-417682.0
sell_in,B,all,W,lstm,2021-03-21,-198904.0
sell_in,B,all,W,lstm,2021-03-28,-588021.0
sell_in,C,나,W,lstm,2021-01-10,-233.0
sell_in,C,나,W,lstm,2021-01-17,-2263.0
sell_in,C,나,W,lstm,2021-01-24,-2983.0
sell_in,C,나,W,lstm,2021-01-31,-3722.0
sell_in,C,나,W,lstm,2021-02-07,-4756.0
sell_in,C,나,W,lstm,2021-02-14,-6675.0
sell_in,C,나,W,lstm,2021-02-21,-8621.0
sell_in,C,나,W,lstm,2021-02-28,-104980.0
sell_in,C,나,W,lstm,2021-03-07,57903.0
sell_in,C,나,W,lstm,2021-03-14,-160869.0
sell_in,C,나,W,lstm,2021-03-21,-6355.0
sell_in,C,나,W,lstm,2021-03-28,-18930.0
sell_in,C,마,W,lstm,2021-01-10,-175282.0
sell_in,C,마,W,lstm,2021-01-17,-198178.0
sell_in,C,마,W,lstm,2021-01-24,-1144056.0
sell_in,C,마,W,lstm,2021-01-31,274794.0
sell_in,C,마,W,lstm,2021-02-07,672012.0
sell_in,C,마,W,lstm,2021-02-14,814488.0
sell_in,C,마,W,lstm,2021-02-21,618919.0
sell_in,C,마,W,lstm,2021-02-28,330471.0
sell_in,C,마,W,lstm,2021-03-07,-1950234.0
sell_in,C,마,W,lstm,2021-03-14,-2008894.0
sell_in,C,마,W,lstm,2021-03-21,-1626017.0
