sell_type,cust_type,prod_type,time_type,model,dt,prediction
sell_in,A,가,W,ar,2021-01-10,18185.0
sell_in,A,가,W,ar,2021-01-17,25718.0
sell_in,A,가,W,ar,2021-01-24,20894.0
sell_in,A,가,W,ar,2021-01-31,25485.0
sell_in,A,가,W,ar,2021-02-07,20926.0
sell_in,A,가,W,ar,2021-02-14,25493.0
sell_in,A,가,W,ar,2021-02-21,20937.0
sell_in,A,가,W,ar,2021-02-28,25503.0
sell_in,A,가,W,ar,2021-03-07,20947.0
sell_in,A,가,W,ar,2021-03-14,25514.0
sell_in,A,가,W,ar,2021-03-21,20957.0
sell_in,A,가,W,ar,2021-03-28,25524.0
sell_in,A,가,W,arma,2021-01-10,19477.0
sell_in,A,가,W,arma,2021-01-17,23085.0
sell_in,A,가,W,arma,2021-01-24,22726.0
sell_in,A,가,W,arma,2021-01-31,22762.0
sell_in,A,가,W,arma,2021-02-07,22758.0
sell_in,A,가,W,arma,2021-02-14,22758.0
sell_in,A,가,W,arma,2021-02-21,22758.0
sell_in,A,가,W,arma,2021-02-28,22758.0
sell_in,A,가,W,arma,2021-03-07,22758.0
sell_in,A,가,W,arma,2021-03-14,22758.0
sell_in,A,가,W,arma,2021-03-21,22758.0
sell_in,A,가,W,arma,2021-03-28,22758.0
sell_in,A,가,W,arima,2021-01-10,20697.0
sell_in,A,가,W,arima,2021-01-17,20958.0
sell_in,A,가,W,arima,2021-01-24,21186.0
sell_in,A,가,W,arima,2021-01-31,21384.0
sell_in,A,가,W,arima,2021-02-07,21557.0
sell_in,A,가,W,arima,2021-02-14,21708.0
sell_in,A,가,W,arima,2021-02-21,21840.0
sell_in,A,가,W,arima,2021-02-28,21954.0
sell_in,A,가,W,arima,2021-03-07,22054.0
sell_in,A,가,W,arima,2021-03-14,22141.0
sell_in,A,가,W,arima,2021-03-21,22217.0
sell_in,A,가,W,arima,2021-03-28,22283.0
sell_in,A,가,W,ses,2021-01-10,30293.0
sell_in,A,가,W,ses,2021-01-17,30293.0
sell_in,A,가,W,ses,2021-01-24,30293.0
sell_in,A,가,W,ses,2021-01-31,30293.0
sell_in,A,가,W,ses,2021-02-07,30293.0
sell_in,A,가,W,ses,2021-02-14,30293.0
sell_in,A,가,W,ses,2021-02-21,30293.0
sell_in,A,가,W,ses,2021-02-28,30293.0
sell_in,A,가,W,ses,2021-03-07,30293.0
sell_in,A,가,W,ses,2021-03-14,30293.0
sell_in,A,가,W,ses,2021-03-21,30293.0
sell_in,A,가,W,ses,2021-03-28,30293.0
sell_in,A,가,W,hw,2021-01-10,29792.0
sell_in,A,가,W,hw,2021-01-17,28898.0
sell_in,A,가,W,hw,2021-01-24,31438.0
sell_in,A,가,W,hw,2021-01-31,30528.0
sell_in,A,가,W,hw,2021-02-07,33052.0
sell_in,A,가,W,hw,2021-02-14,32125.0
sell_in,A,가,W,hw,2021-02-21,34633.0
sell_in,A,가,W,hw,2021-02-28,33691.0
sell_in,A,가,W,hw,2021-03-07,36183.0
sell_in,A,가,W,hw,2021-03-14,35225.0
sell_in,A,가,W,hw,2021-03-21,37702.0
sell_in,A,가,W,hw,2021-03-28,36729.0
sell_in,A,다,W,ar,2021-01-10,34781.0
sell_in,A,다,W,ar,2021-01-17,40067.0
sell_in,A,다,W,ar,2021-01-24,40353.0
sell_in,A,다,W,ar,2021-01-31,44006.0
sell_in,A,다,W,ar,2021-02-07,43100.0
