sell_type,cust_type,prod_type,time_type,model,dt,prediction
sell_in,A,가,W,lstm_vn,2021-01-10,-381613.0
sell_in,A,가,W,lstm_vn,2021-01-17,-1056461.0
sell_in,A,가,W,lstm_vn,2021-01-24,-1341603.0
sell_in,A,가,W,lstm_vn,2021-01-31,737303.0
sell_in,A,가,W,lstm_vn,2021-02-07,-209665.0
sell_in,A,가,W,lstm_vn,2021-02-14,210029.0
sell_in,A,가,W,lstm_vn,2021-02-21,386579.0
sell_in,A,가,W,lstm_vn,2021-02-28,642496.0
sell_in,A,가,W,lstm_vn,2021-03-07,621892.0
sell_in,A,가,W,lstm_vn,2021-03-14,225095.0
sell_in,A,가,W,lstm_vn,2021-03-21,-589836.0
sell_in,A,가,W,lstm_vn,2021-03-28,-954817.0
sell_in,A,다,W,lstm_vn,2021-01-10,524777.0
sell_in,A,다,W,lstm_vn,2021-01-17,1107827.0
sell_in,A,다,W,lstm_vn,2021-01-24,304065.0
sell_in,A,다,W,lstm_vn,2021-01-31,505591.0
sell_in,A,다,W,lstm_vn,2021-02-07,735052.0
sell_in,A,다,W,lstm_vn,2021-02-14,516539.0
sell_in,A,다,W,lstm_vn,2021-02-21,782582.0
sell_in,A,다,W,lstm_vn,2021-02-28,362630.0
sell_in,A,다,W,lstm_vn,2021-03-07,403097.0
sell_in,A,다,W,lstm_vn,2021-03-14,463566.0
sell_in,A,다,W,lstm_vn,2021-03-21,460485.0
sell_in,A,다,W,lstm_vn,2021-03-28,264096.0
sell_in,A,all,W,lstm_vn,2021-01-10,-465574.0
sell_in,A,all,W,lstm_vn,2021-01-17,-1538660.0
sell_in,A,all,W,lstm_vn,2021-01-24,-80473.0
sell_in,A,all,W,lstm_vn,2021-01-31,-624430.0
sell_in,A,all,W,lstm_vn,2021-02-07,-2547008.0
sell_in,A,all,W,lstm_vn,2021-02-14,-5464873.0
sell_in,A,all,W,lstm_vn,2021-02-21,-14546722.0
sell_in,A,all,W,lstm_vn,2021-02-28,-7555545.0
sell_in,A,all,W,lstm_vn,2021-03-07,13778239.0
sell_in,A,all,W,lstm_vn,2021-03-14,3278741.0
sell_in,A,all,W,lstm_vn,2021-03-21,-3555914.0
sell_in,A,all,W,lstm_vn,2021-03-28,-7242432.0
sell_in,B,나,W,lstm_vn,2021-01-10,300959.0
sell_in,B,나,W,lstm_vn,2021-01-17,1101368.0
sell_in,B,나,W,lstm_vn,2021-01-24,1271169.0
sell_in,B,나,W,lstm_vn,2021-01-31,928925.0
sell_in,B,나,W,lstm_vn,2021-02-07,513370.0
sell_in,B,나,W,lstm_vn,2021-02-14,-130413.0
sell_in,B,나,W,lstm_vn,2021-02-21,236017.0
sell_in,B,나,W,lstm_vn,2021-02-28,884986.0
