sell_type,cust_type,prod_type,time_type,modle,dt,prediction
sell_in,A,가,D,ar,2021-01-01,3953528.6538889343
sell_in,A,가,D,ar,2021-01-02,2897303.964273968
sell_in,A,가,D,ar,2021-01-03,-858626.0306829537
sell_in,A,가,D,ar,2021-01-04,634293.0326619823
sell_in,A,가,D,ar,2021-01-05,3052910.6119043175
sell_in,A,가,D,ar,2021-01-06,3645575.634188931
sell_in,A,가,W,ar,2021-01-10,1715218.7665783132
sell_in,A,가,W,ar,2021-01-17,6135253.807693053
sell_in,A,가,W,ar,2021-01-24,15454352.216389723
sell_in,A,가,W,ar,2021-01-31,34458262.58560209
sell_in,A,가,W,ar,2021-02-07,17832562.744289715
sell_in,A,가,W,ar,2021-02-14,4375438.154519213
sell_in,A,다,D,ar,2021-01-01,3031139.0617063656
sell_in,A,다,D,ar,2021-01-02,3472340.8778519225
sell_in,A,다,D,ar,2021-01-03,1908932.3795066632
sell_in,A,다,D,ar,2021-01-04,5140022.38902014
sell_in,A,다,D,ar,2021-01-05,6909725.881968543
sell_in,A,다,D,ar,2021-01-06,4004959.9974916195
sell_in,A,다,W,ar,2021-01-10,17704828.032694694
sell_in,A,다,W,ar,2021-01-17,16364244.433665052
sell_in,A,다,W,ar,2021-01-24,17746562.07153472
sell_in,A,다,W,ar,2021-01-31,20743858.006044537
sell_in,A,다,W,ar,2021-02-07,15490622.763636168
sell_in,A,다,W,ar,2021-02-14,22656777.617078986
sell_in,A,all,D,ar,2021-01-01,8935847.916153338
sell_in,A,all,D,ar,2021-01-02,8671392.620724559
sell_in,A,all,D,ar,2021-01-03,3972532.5791295003
sell_in,A,all,D,ar,2021-01-04,8189629.357733872
sell_in,A,all,D,ar,2021-01-05,10245691.845067937
sell_in,A,all,D,ar,2021-01-06,8353000.325769142
sell_in,A,all,W,ar,2021-01-10,24718564.268703327
sell_in,A,all,W,ar,2021-01-17,18790392.45098858
sell_in,A,all,W,ar,2021-01-24,38223509.2563948
sell_in,A,all,W,ar,2021-01-31,54136294.38991249
sell_in,A,all,W,ar,2021-02-07,39223264.16500615
sell_in,A,all,W,ar,2021-02-14,27720698.061340418
sell_in,B,나,D,ar,2020-12-31,744626.4901870303
sell_in,B,나,D,ar,2021-01-01,639148.3704323377
sell_in,B,나,D,ar,2021-01-02,651909.2965532651
sell_in,B,나,D,ar,2021-01-03,-516715.25306095893
sell_in,B,나,D,ar,2021-01-04,688784.7158774744
sell_in,B,나,D,ar,2021-01-05,1267669.020955571
sell_in,B,나,W,ar,2021-01-10,3477974.6504068323
sell_in,B,나,W,ar,2021-01-17,4968357.23036816
sell_in,B,나,W,ar,2021-01-24,3782563.246321406
sell_in,B,나,W,ar,2021-01-31,1062296.3130981438
sell_in,B,나,W,ar,2021-02-07,5505259.941118683
sell_in,B,나,W,ar,2021-02-14,3787614.0627702074
sell_in,B,라,D,ar,2021-01-01,794730.4951555365
sell_in,B,라,D,ar,2021-01-02,132791.0920993658
sell_in,B,라,D,ar,2021-01-03,-97586.91202984838
sell_in,B,라,D,ar,2021-01-04,1207314.913321465
sell_in,B,라,D,ar,2021-01-05,668286.910389428
sell_in,B,라,D,ar,2021-01-06,494587.803615111
sell_in,B,라,W,ar,2021-01-10,2589683.3320950507
sell_in,B,라,W,ar,2021-01-17,3206608.192612525
sell_in,B,라,W,ar,2021-01-24,3961870.4483134598
sell_in,B,라,W,ar,2021-01-31,4259011.839171689
sell_in,B,라,W,ar,2021-02-07,5064305.055989792
sell_in,B,라,W,ar,2021-02-14,4395111.42653735
sell_in,B,all,D,ar,2021-01-01,1325679.201973018
sell_in,B,all,D,ar,2021-01-02,771416.6209063997
sell_in,B,all,D,ar,2021-01-03,-708883.7490590431
sell_in,B,all,D,ar,2021-01-04,1984162.1367535484
sell_in,B,all,D,ar,2021-01-05,1984952.9327724015
sell_in,B,all,D,ar,2021-01-06,1416274.3154265436
sell_in,B,all,W,ar,2021-01-10,6227171.572783965
