sell_type,cust_type,prod_group_type,prod_type,time_type,model,dt,prediction,scenario,smoothing
sell_in,A,g1,가,W,var,2021-01-10,12956.0,s1,False
sell_in,A,g1,가,W,var,2021-01-17,24664.0,s1,False
sell_in,A,g1,가,W,var,2021-01-24,22581.0,s1,False
sell_in,A,g1,가,W,var,2021-01-31,22906.0,s1,False
sell_in,A,g1,가,W,var,2021-02-07,22858.0,s1,False
sell_in,A,g1,가,W,var,2021-02-14,22865.0,s1,False
sell_in,A,g1,가,W,var,2021-02-21,22864.0,s1,False
sell_in,A,g1,가,W,var,2021-02-28,22864.0,s1,False
sell_in,A,g1,가,W,var,2021-03-07,22864.0,s1,False
sell_in,A,g1,가,W,var,2021-03-14,22864.0,s1,False
sell_in,A,g1,가,W,var,2021-03-21,22864.0,s1,False
sell_in,A,g1,가,W,var,2021-03-28,22864.0,s1,False
sell_in,A,g2,다,W,var,2021-01-10,39742.0,s1,False
sell_in,A,g2,다,W,var,2021-01-17,45334.0,s1,False
sell_in,A,g2,다,W,var,2021-01-24,49439.0,s1,False
sell_in,A,g2,다,W,var,2021-01-31,52434.0,s1,False
sell_in,A,g2,다,W,var,2021-02-07,54615.0,s1,False
sell_in,A,g2,다,W,var,2021-02-14,56203.0,s1,False
sell_in,A,g2,다,W,var,2021-02-21,57358.0,s1,False
sell_in,A,g2,다,W,var,2021-02-28,58198.0,s1,False
sell_in,A,g2,다,W,var,2021-03-07,58810.0,s1,False
sell_in,A,g2,다,W,var,2021-03-14,59254.0,s1,False
sell_in,A,g2,다,W,var,2021-03-21,59578.0,s1,False
sell_in,A,g2,다,W,var,2021-03-28,59813.0,s1,False
sell_in,A,all,가,W,var,2021-01-10,12956.0,s1,False
sell_in,A,all,가,W,var,2021-01-17,24664.0,s1,False
sell_in,A,all,가,W,var,2021-01-24,22581.0,s1,False
sell_in,A,all,가,W,var,2021-01-31,22906.0,s1,False
sell_in,A,all,가,W,var,2021-02-07,22858.0,s1,False
sell_in,A,all,가,W,var,2021-02-14,22865.0,s1,False
sell_in,A,all,가,W,var,2021-02-21,22864.0,s1,False
sell_in,A,all,가,W,var,2021-02-28,22864.0,s1,False
sell_in,A,all,가,W,var,2021-03-07,22864.0,s1,False
sell_in,A,all,가,W,var,2021-03-14,22864.0,s1,False
sell_in,A,all,가,W,var,2021-03-21,22864.0,s1,False
sell_in,A,all,가,W,var,2021-03-28,22864.0,s1,False
sell_in,A,all,다,W,var,2021-01-10,39742.0,s1,False
sell_in,A,all,다,W,var,2021-01-17,45334.0,s1,False
sell_in,A,all,다,W,var,2021-01-24,49439.0,s1,False
sell_in,A,all,다,W,var,2021-01-31,52434.0,s1,False
sell_in,A,all,다,W,var,2021-02-07,54615.0,s1,False
sell_in,A,all,다,W,var,2021-02-14,56203.0,s1,False
sell_in,A,all,다,W,var,2021-02-21,57358.0,s1,False
sell_in,A,all,다,W,var,2021-02-28,58198.0,s1,False
sell_in,A,all,다,W,var,2021-03-07,58810.0,s1,False
sell_in,A,all,다,W,var,2021-03-14,59254.0,s1,False
sell_in,A,all,다,W,var,2021-03-21,59578.0,s1,False
sell_in,A,all,다,W,var,2021-03-28,59813.0,s1,False
sell_in,A,all,all,W,var,2021-01-10,83751.0,s1,False
sell_in,A,all,all,W,var,2021-01-17,83243.0,s1,False
sell_in,A,all,all,W,var,2021-01-24,83251.0,s1,False
sell_in,A,all,all,W,var,2021-01-31,83293.0,s1,False
sell_in,A,all,all,W,var,2021-02-07,83317.0,s1,False
sell_in,A,all,all,W,var,2021-02-14,83328.0,s1,False
sell_in,A,all,all,W,var,2021-02-21,83332.0,s1,False
sell_in,A,all,all,W,var,2021-02-28,83334.0,s1,False
sell_in,A,all,all,W,var,2021-03-07,83335.0,s1,False
sell_in,A,all,all,W,var,2021-03-14,83336.0,s1,False
sell_in,A,all,all,W,var,2021-03-21,83336.0,s1,False
sell_in,A,all,all,W,var,2021-03-28,83336.0,s1,False
sell_in,B,g1,나,W,var,2021-01-10,5492.0,s1,False
sell_in,B,g1,나,W,var,2021-01-17,6296.0,s1,False
sell_in,B,g1,나,W,var,2021-01-24,6660.0,s1,False
sell_in,B,g1,나,W,var,2021-01-31,6844.0,s1,False
