sell_type,cust_type,prod_group_type,prod_type,time_type,model,dt,prediction,scenario,smoothing
sell_in,A,g1,가,W,arma,2021-01-10,21411.0,s1,False
sell_in,A,g1,가,W,arma,2021-01-17,23767.0,s1,False
sell_in,A,g1,가,W,arma,2021-01-24,23583.0,s1,False
sell_in,A,g1,가,W,arma,2021-01-31,23597.0,s1,False
sell_in,A,g1,가,W,arma,2021-02-07,23596.0,s1,False
sell_in,A,g1,가,W,arma,2021-02-14,23596.0,s1,False
sell_in,A,g1,가,W,arma,2021-02-21,23596.0,s1,False
sell_in,A,g1,가,W,arma,2021-02-28,23596.0,s1,False
sell_in,A,g1,가,W,arma,2021-03-07,23596.0,s1,False
sell_in,A,g1,가,W,arma,2021-03-14,23596.0,s1,False
sell_in,A,g1,가,W,arma,2021-03-21,23596.0,s1,False
sell_in,A,g1,가,W,arma,2021-03-28,23596.0,s1,False
sell_in,A,g2,다,W,ar,2021-01-10,34301.0,s1,False
sell_in,A,g2,다,W,ar,2021-01-17,38796.0,s1,False
sell_in,A,g2,다,W,ar,2021-01-24,39288.0,s1,False
sell_in,A,g2,다,W,ar,2021-01-31,42577.0,s1,False
sell_in,A,g2,다,W,ar,2021-02-07,42131.0,s1,False
sell_in,A,g2,다,W,ar,2021-02-14,44691.0,s1,False
sell_in,A,g2,다,W,ar,2021-02-21,43678.0,s1,False
sell_in,A,g2,다,W,ar,2021-02-28,45798.0,s1,False
sell_in,A,g2,다,W,ar,2021-03-07,44442.0,s1,False
sell_in,A,g2,다,W,ar,2021-03-14,46296.0,s1,False
sell_in,A,g2,다,W,ar,2021-03-21,44734.0,s1,False
sell_in,A,g2,다,W,ar,2021-03-28,46427.0,s1,False
sell_in,A,all,가,W,arma,2021-01-10,21411.0,s1,False
sell_in,A,all,가,W,arma,2021-01-17,23767.0,s1,False
sell_in,A,all,가,W,arma,2021-01-24,23583.0,s1,False
sell_in,A,all,가,W,arma,2021-01-31,23597.0,s1,False
sell_in,A,all,가,W,arma,2021-02-07,23596.0,s1,False
sell_in,A,all,가,W,arma,2021-02-14,23596.0,s1,False
sell_in,A,all,가,W,arma,2021-02-21,23596.0,s1,False
sell_in,A,all,가,W,arma,2021-02-28,23596.0,s1,False
sell_in,A,all,가,W,arma,2021-03-07,23596.0,s1,False
sell_in,A,all,가,W,arma,2021-03-14,23596.0,s1,False
sell_in,A,all,가,W,arma,2021-03-21,23596.0,s1,False
sell_in,A,all,가,W,arma,2021-03-28,23596.0,s1,False
sell_in,A,all,다,W,ar,2021-01-10,34301.0,s1,False
sell_in,A,all,다,W,ar,2021-01-17,38796.0,s1,False
sell_in,A,all,다,W,ar,2021-01-24,39288.0,s1,False
sell_in,A,all,다,W,ar,2021-01-31,42577.0,s1,False
sell_in,A,all,다,W,ar,2021-02-07,42131.0,s1,False
sell_in,A,all,다,W,ar,2021-02-14,44691.0,s1,False
sell_in,A,all,다,W,ar,2021-02-21,43678.0,s1,False
sell_in,A,all,다,W,ar,2021-02-28,45798.0,s1,False
sell_in,A,all,다,W,ar,2021-03-07,44442.0,s1,False
sell_in,A,all,다,W,ar,2021-03-14,46296.0,s1,False
sell_in,A,all,다,W,ar,2021-03-21,44734.0,s1,False
sell_in,A,all,다,W,ar,2021-03-28,46427.0,s1,False
sell_in,A,all,all,W,arima,2021-01-10,67559.0,s1,False
sell_in,A,all,all,W,arima,2021-01-17,69020.0,s1,False
sell_in,A,all,all,W,arima,2021-01-24,70397.0,s1,False
sell_in,A,all,all,W,arima,2021-01-31,71696.0,s1,False
sell_in,A,all,all,W,arima,2021-02-07,72922.0,s1,False
sell_in,A,all,all,W,arima,2021-02-14,74079.0,s1,False
sell_in,A,all,all,W,arima,2021-02-21,75170.0,s1,False
sell_in,A,all,all,W,arima,2021-02-28,76200.0,s1,False
sell_in,A,all,all,W,arima,2021-03-07,77171.0,s1,False
sell_in,A,all,all,W,arima,2021-03-14,78088.0,s1,False
sell_in,A,all,all,W,arima,2021-03-21,78952.0,s1,False
sell_in,A,all,all,W,arima,2021-03-28,79768.0,s1,False
sell_in,B,g1,나,W,ses,2021-01-10,3385.0,s1,False
sell_in,B,g1,나,W,ses,2021-01-17,3385.0,s1,False
sell_in,B,g1,나,W,ses,2021-01-24,3385.0,s1,False
sell_in,B,g1,나,W,ses,2021-01-31,3385.0,s1,False
sell_in,B,g1,나,W,ses,2021-02-07,3385.0,s1,False
sell_in,B,g1,나,W,ses,2021-02-14,3385.0,s1,False
sell_in,B,g1,나,W,ses,2021-02-21,3385.0,s1,False
sell_in,B,g1,나,W,ses,2021-02-28,3385.0,s1,False
sell_in,B,g1,나,W,ses,2021-03-07,3385.0,s1,False
sell_in,B,g1,나,W,ses,2021-03-14,3385.0,s1,False
sell_in,B,g1,나,W,ses,2021-03-21,3385.0,s1,False
sell_in,B,g1,나,W,ses,2021-03-28,3385.0,s1,False
sell_in,B,g2,라,W,arma,2021-01-10,3974.0,s1,False
