sell_type,cust_type,prod_group_type,prod_type,time_type,model,dt,prediction,scenario,smoothing
sell_in,A,g1,가,W,var,2021-01-10,27330.0,s1,True
sell_in,A,g1,가,W,var,2021-01-17,23353.0,s1,True
sell_in,A,g1,가,W,var,2021-01-24,22788.0,s1,True
sell_in,A,g1,가,W,var,2021-01-31,22706.0,s1,True
sell_in,A,g1,가,W,var,2021-02-07,22694.0,s1,True
sell_in,A,g1,가,W,var,2021-02-14,22693.0,s1,True
sell_in,A,g1,가,W,var,2021-02-21,22692.0,s1,True
sell_in,A,g1,가,W,var,2021-02-28,22692.0,s1,True
sell_in,A,g1,가,W,var,2021-03-07,22692.0,s1,True
sell_in,A,g1,가,W,var,2021-03-14,22692.0,s1,True
sell_in,A,g1,가,W,var,2021-03-21,22692.0,s1,True
sell_in,A,g1,가,W,var,2021-03-28,22692.0,s1,True
sell_in,A,g2,다,W,var,2021-01-10,39393.0,s1,True
sell_in,A,g2,다,W,var,2021-01-17,45170.0,s1,True
sell_in,A,g2,다,W,var,2021-01-24,49844.0,s1,True
sell_in,A,g2,다,W,var,2021-01-31,53624.0,s1,True
sell_in,A,g2,다,W,var,2021-02-07,56680.0,s1,True
sell_in,A,g2,다,W,var,2021-02-14,59150.0,s1,True
sell_in,A,g2,다,W,var,2021-02-21,61146.0,s1,True
sell_in,A,g2,다,W,var,2021-02-28,62759.0,s1,True
sell_in,A,g2,다,W,var,2021-03-07,64062.0,s1,True
sell_in,A,g2,다,W,var,2021-03-14,65114.0,s1,True
sell_in,A,g2,다,W,var,2021-03-21,65963.0,s1,True
sell_in,A,g2,다,W,var,2021-03-28,66650.0,s1,True
sell_in,A,all,가,W,var,2021-01-10,27330.0,s1,True
sell_in,A,all,가,W,var,2021-01-17,23353.0,s1,True
sell_in,A,all,가,W,var,2021-01-24,22788.0,s1,True
sell_in,A,all,가,W,var,2021-01-31,22706.0,s1,True
sell_in,A,all,가,W,var,2021-02-07,22694.0,s1,True
sell_in,A,all,가,W,var,2021-02-14,22693.0,s1,True
sell_in,A,all,가,W,var,2021-02-21,22692.0,s1,True
sell_in,A,all,가,W,var,2021-02-28,22692.0,s1,True
sell_in,A,all,가,W,var,2021-03-07,22692.0,s1,True
sell_in,A,all,가,W,var,2021-03-14,22692.0,s1,True
sell_in,A,all,가,W,var,2021-03-21,22692.0,s1,True
sell_in,A,all,가,W,var,2021-03-28,22692.0,s1,True
sell_in,A,all,다,W,var,2021-01-10,39393.0,s1,True
sell_in,A,all,다,W,var,2021-01-17,45170.0,s1,True
sell_in,A,all,다,W,var,2021-01-24,49844.0,s1,True
sell_in,A,all,다,W,var,2021-01-31,53624.0,s1,True
sell_in,A,all,다,W,var,2021-02-07,56680.0,s1,True
sell_in,A,all,다,W,var,2021-02-14,59150.0,s1,True
sell_in,A,all,다,W,var,2021-02-21,61146.0,s1,True
sell_in,A,all,다,W,var,2021-02-28,62759.0,s1,True
sell_in,A,all,다,W,var,2021-03-07,64062.0,s1,True
sell_in,A,all,다,W,var,2021-03-14,65114.0,s1,True
sell_in,A,all,다,W,var,2021-03-21,65963.0,s1,True
sell_in,A,all,다,W,var,2021-03-28,66650.0,s1,True
sell_in,A,all,all,W,var,2021-01-10,80509.0,s1,True
sell_in,A,all,all,W,var,2021-01-17,81792.0,s1,True
sell_in,A,all,all,W,var,2021-01-24,83916.0,s1,True
sell_in,A,all,all,W,var,2021-01-31,85891.0,s1,True
