sell_type,cust_type,prod_group_type,prod_type,time_type,model,dt,prediction,scenario,smoothing
sell_in,A,g1,가,W,ar,2021-01-10,19799.0,s1,True
sell_in,A,g1,가,W,ar,2021-01-17,21684.0,s1,True
sell_in,A,g1,가,W,ar,2021-01-24,19891.0,s1,True
sell_in,A,g1,가,W,ar,2021-01-31,21648.0,s1,True
sell_in,A,g1,가,W,ar,2021-02-07,19855.0,s1,True
sell_in,A,g1,가,W,ar,2021-02-14,21613.0,s1,True
sell_in,A,g1,가,W,ar,2021-02-21,19820.0,s1,True
sell_in,A,g1,가,W,ar,2021-02-28,21578.0,s1,True
sell_in,A,g1,가,W,ar,2021-03-07,19785.0,s1,True
sell_in,A,g1,가,W,ar,2021-03-14,21542.0,s1,True
sell_in,A,g1,가,W,ar,2021-03-21,19750.0,s1,True
sell_in,A,g1,가,W,ar,2021-03-28,21507.0,s1,True
sell_in,A,g1,가,W,arma,2021-01-10,22495.0,s1,True
sell_in,A,g1,가,W,arma,2021-01-17,22564.0,s1,True
sell_in,A,g1,가,W,arma,2021-01-24,22563.0,s1,True
sell_in,A,g1,가,W,arma,2021-01-31,22563.0,s1,True
sell_in,A,g1,가,W,arma,2021-02-07,22563.0,s1,True
sell_in,A,g1,가,W,arma,2021-02-14,22563.0,s1,True
sell_in,A,g1,가,W,arma,2021-02-21,22563.0,s1,True
sell_in,A,g1,가,W,arma,2021-02-28,22563.0,s1,True
sell_in,A,g1,가,W,arma,2021-03-07,22563.0,s1,True
sell_in,A,g1,가,W,arma,2021-03-14,22563.0,s1,True
sell_in,A,g1,가,W,arma,2021-03-21,22563.0,s1,True
sell_in,A,g1,가,W,arma,2021-03-28,22563.0,s1,True
sell_in,A,g1,가,W,arima,2021-01-10,19056.0,s1,True
sell_in,A,g1,가,W,arima,2021-01-17,20991.0,s1,True
sell_in,A,g1,가,W,arima,2021-01-24,21858.0,s1,True
sell_in,A,g1,가,W,arima,2021-01-31,22247.0,s1,True
sell_in,A,g1,가,W,arima,2021-02-07,22422.0,s1,True
sell_in,A,g1,가,W,arima,2021-02-14,22500.0,s1,True
