sell_type,cust_type,prod_group_type,prod_type,time_type,model,dt,prediction,scenario,smoothing
sell_in,A,g1,가,W,lstm_vn,2021-01-10,1541.0,s1,True
sell_in,A,g1,가,W,lstm_vn,2021-01-17,498.0,s1,True
sell_in,A,g1,가,W,lstm_vn,2021-01-24,2139.0,s1,True
sell_in,A,g1,가,W,lstm_vn,2021-01-31,2038.0,s1,True
sell_in,A,g1,가,W,lstm_vn,2021-02-07,2392.0,s1,True
sell_in,A,g1,가,W,lstm_vn,2021-02-14,2660.0,s1,True
sell_in,A,g1,가,W,lstm_vn,2021-02-21,2514.0,s1,True
sell_in,A,g1,가,W,lstm_vn,2021-02-28,2582.0,s1,True
sell_in,A,g1,가,W,lstm_vn,2021-03-07,3393.0,s1,True
sell_in,A,g1,가,W,lstm_vn,2021-03-14,3156.0,s1,True
sell_in,A,g1,가,W,lstm_vn,2021-03-21,3007.0,s1,True
sell_in,A,g1,가,W,lstm_vn,2021-03-28,4507.0,s1,True
sell_in,A,g2,다,W,lstm_vn,2021-01-10,28112.0,s1,True
sell_in,A,g2,다,W,lstm_vn,2021-01-17,28048.0,s1,True
sell_in,A,g2,다,W,lstm_vn,2021-01-24,28681.0,s1,True
sell_in,A,g2,다,W,lstm_vn,2021-01-31,28877.0,s1,True
sell_in,A,g2,다,W,lstm_vn,2021-02-07,28917.0,s1,True
sell_in,A,g2,다,W,lstm_vn,2021-02-14,28999.0,s1,True
sell_in,A,g2,다,W,lstm_vn,2021-02-21,29072.0,s1,True
sell_in,A,g2,다,W,lstm_vn,2021-02-28,29650.0,s1,True
sell_in,A,g2,다,W,lstm_vn,2021-03-07,30158.0,s1,True
sell_in,A,g2,다,W,lstm_vn,2021-03-14,30292.0,s1,True
sell_in,A,g2,다,W,lstm_vn,2021-03-21,30320.0,s1,True
sell_in,A,g2,다,W,lstm_vn,2021-03-28,30932.0,s1,True
sell_in,A,all,가,W,lstm_vn,2021-01-10,4054.0,s1,True
sell_in,A,all,가,W,lstm_vn,2021-01-17,7342.0,s1,True
sell_in,A,all,가,W,lstm_vn,2021-01-24,7629.0,s1,True
sell_in,A,all,가,W,lstm_vn,2021-01-31,9672.0,s1,True
sell_in,A,all,가,W,lstm_vn,2021-02-07,10698.0,s1,True
sell_in,A,all,가,W,lstm_vn,2021-02-14,11714.0,s1,True
