sell_type,cust_type,prod_group_type,prod_type,time_type,model,dt,prediction,scenario,smoothing
sell_in,A,g1,가,W,arma,2021-01-10,20282.0,s1,True
sell_in,A,g1,가,W,arma,2021-01-17,21640.0,s1,True
sell_in,A,g1,가,W,arma,2021-01-24,21588.0,s1,True
sell_in,A,g1,가,W,arma,2021-01-31,21590.0,s1,True
sell_in,A,g1,가,W,arma,2021-02-07,21590.0,s1,True
sell_in,A,g1,가,W,arma,2021-02-14,21590.0,s1,True
sell_in,A,g1,가,W,arma,2021-02-21,21590.0,s1,True
sell_in,A,g1,가,W,arma,2021-02-28,21590.0,s1,True
sell_in,A,g1,가,W,arma,2021-03-07,21590.0,s1,True
sell_in,A,g1,가,W,arma,2021-03-14,21590.0,s1,True
sell_in,A,g1,가,W,arma,2021-03-21,21590.0,s1,True
sell_in,A,g1,가,W,arma,2021-03-28,21590.0,s1,True
sell_in,A,g2,다,W,arma,2021-01-10,37946.0,s1,True
sell_in,A,g2,다,W,arma,2021-01-17,42334.0,s1,True
sell_in,A,g2,다,W,arma,2021-01-24,45718.0,s1,True
sell_in,A,g2,다,W,arma,2021-01-31,48328.0,s1,True
sell_in,A,g2,다,W,arma,2021-02-07,50340.0,s1,True
sell_in,A,g2,다,W,arma,2021-02-14,51893.0,s1,True
sell_in,A,g2,다,W,arma,2021-02-21,53089.0,s1,True
sell_in,A,g2,다,W,arma,2021-02-28,54012.0,s1,True
sell_in,A,g2,다,W,arma,2021-03-07,54724.0,s1,True
sell_in,A,g2,다,W,arma,2021-03-14,55273.0,s1,True
sell_in,A,g2,다,W,arma,2021-03-21,55697.0,s1,True
sell_in,A,g2,다,W,arma,2021-03-28,56023.0,s1,True
sell_in,A,all,가,W,arma,2021-01-10,20282.0,s1,True
sell_in,A,all,가,W,arma,2021-01-17,21640.0,s1,True
sell_in,A,all,가,W,arma,2021-01-24,21588.0,s1,True
sell_in,A,all,가,W,arma,2021-01-31,21590.0,s1,True
sell_in,A,all,가,W,arma,2021-02-07,21590.0,s1,True
sell_in,A,all,가,W,arma,2021-02-14,21590.0,s1,True
sell_in,A,all,가,W,arma,2021-02-21,21590.0,s1,True
sell_in,A,all,가,W,arma,2021-02-28,21590.0,s1,True
sell_in,A,all,가,W,arma,2021-03-07,21590.0,s1,True
sell_in,A,all,가,W,arma,2021-03-14,21590.0,s1,True
sell_in,A,all,가,W,arma,2021-03-21,21590.0,s1,True
sell_in,A,all,가,W,arma,2021-03-28,21590.0,s1,True
sell_in,A,all,다,W,arma,2021-01-10,37946.0,s1,True
sell_in,A,all,다,W,arma,2021-01-17,42334.0,s1,True
sell_in,A,all,다,W,arma,2021-01-24,45718.0,s1,True
sell_in,A,all,다,W,arma,2021-01-31,48328.0,s1,True
sell_in,A,all,다,W,arma,2021-02-07,50340.0,s1,True
sell_in,A,all,다,W,arma,2021-02-14,51893.0,s1,True
sell_in,A,all,다,W,arma,2021-02-21,53089.0,s1,True
sell_in,A,all,다,W,arma,2021-02-28,54012.0,s1,True
sell_in,A,all,다,W,arma,2021-03-07,54724.0,s1,True
sell_in,A,all,다,W,arma,2021-03-14,55273.0,s1,True
sell_in,A,all,다,W,arma,2021-03-21,55697.0,s1,True
sell_in,A,all,다,W,arma,2021-03-28,56023.0,s1,True
sell_in,A,all,all,W,arma,2021-01-10,83847.0,s1,True
sell_in,A,all,all,W,arma,2021-01-17,82431.0,s1,True
sell_in,A,all,all,W,arma,2021-01-24,81945.0,s1,True
sell_in,A,all,all,W,arma,2021-01-31,81778.0,s1,True
sell_in,A,all,all,W,arma,2021-02-07,81721.0,s1,True
sell_in,A,all,all,W,arma,2021-02-14,81701.0,s1,True
sell_in,A,all,all,W,arma,2021-02-21,81694.0,s1,True
sell_in,A,all,all,W,arma,2021-02-28,81692.0,s1,True
sell_in,A,all,all,W,arma,2021-03-07,81691.0,s1,True
sell_in,A,all,all,W,arma,2021-03-14,81691.0,s1,True
sell_in,A,all,all,W,arma,2021-03-21,81691.0,s1,True
sell_in,A,all,all,W,arma,2021-03-28,81691.0,s1,True
sell_in,B,g1,나,W,ar,2021-01-10,1846.0,s1,True
sell_in,B,g1,나,W,ar,2021-01-17,2927.0,s1,True
sell_in,B,g1,나,W,ar,2021-01-24,1564.0,s1,True
sell_in,B,g1,나,W,ar,2021-01-31,2716.0,s1,True
sell_in,B,g1,나,W,ar,2021-02-07,1379.0,s1,True
sell_in,B,g1,나,W,ar,2021-02-14,2539.0,s1,True
sell_in,B,g1,나,W,ar,2021-02-21,1204.0,s1,True
sell_in,B,g1,나,W,ar,2021-02-28,2366.0,s1,True
sell_in,B,g1,나,W,ar,2021-03-07,1032.0,s1,True
sell_in,B,g1,나,W,ar,2021-03-14,2193.0,s1,True
sell_in,B,g1,나,W,ar,2021-03-21,859.0,s1,True
sell_in,B,g1,나,W,ar,2021-03-28,2021.0,s1,True
sell_in,B,g2,라,W,arma,2021-01-10,1615.0,s1,True
sell_in,B,g2,라,W,arma,2021-01-17,1852.0,s1,True
sell_in,B,g2,라,W,arma,2021-01-24,2006.0,s1,True
sell_in,B,g2,라,W,arma,2021-01-31,2106.0,s1,True
sell_in,B,g2,라,W,arma,2021-02-07,2171.0,s1,True
sell_in,B,g2,라,W,arma,2021-02-14,2214.0,s1,True
sell_in,B,g2,라,W,arma,2021-02-21,2241.0,s1,True
sell_in,B,g2,라,W,arma,2021-02-28,2259.0,s1,True
sell_in,B,g2,라,W,arma,2021-03-07,2271.0,s1,True
sell_in,B,g2,라,W,arma,2021-03-14,2278.0,s1,True
sell_in,B,g2,라,W,arma,2021-03-21,2283.0,s1,True
sell_in,B,g2,라,W,arma,2021-03-28,2286.0,s1,True
sell_in,B,all,나,W,ar,2021-01-10,1846.0,s1,True
sell_in,B,all,나,W,ar,2021-01-17,2927.0,s1,True
sell_in,B,all,나,W,ar,2021-01-24,1564.0,s1,True
sell_in,B,all,나,W,ar,2021-01-31,2716.0,s1,True
sell_in,B,all,나,W,ar,2021-02-07,1379.0,s1,True
sell_in,B,all,나,W,ar,2021-02-14,2539.0,s1,True
sell_in,B,all,나,W,ar,2021-02-21,1204.0,s1,True
sell_in,B,all,나,W,ar,2021-02-28,2366.0,s1,True
sell_in,B,all,나,W,ar,2021-03-07,1032.0,s1,True
sell_in,B,all,나,W,ar,2021-03-14,2193.0,s1,True
sell_in,B,all,나,W,ar,2021-03-21,859.0,s1,True
sell_in,B,all,나,W,ar,2021-03-28,2021.0,s1,True
sell_in,B,all,라,W,arma,2021-01-10,1615.0,s1,True
sell_in,B,all,라,W,arma,2021-01-17,1852.0,s1,True
sell_in,B,all,라,W,arma,2021-01-24,2006.0,s1,True
sell_in,B,all,라,W,arma,2021-01-31,2106.0,s1,True
sell_in,B,all,라,W,arma,2021-02-07,2171.0,s1,True
sell_in,B,all,라,W,arma,2021-02-14,2214.0,s1,True
sell_in,B,all,라,W,arma,2021-02-21,2241.0,s1,True
sell_in,B,all,라,W,arma,2021-02-28,2259.0,s1,True
sell_in,B,all,라,W,arma,2021-03-07,2271.0,s1,True
sell_in,B,all,라,W,arma,2021-03-14,2278.0,s1,True
sell_in,B,all,라,W,arma,2021-03-21,2283.0,s1,True
sell_in,B,all,라,W,arma,2021-03-28,2286.0,s1,True
sell_in,B,all,all,W,arma,2021-01-10,7111.0,s1,True
sell_in,B,all,all,W,arma,2021-01-17,8192.0,s1,True
sell_in,B,all,all,W,arma,2021-01-24,8671.0,s1,True
sell_in,B,all,all,W,arma,2021-01-31,8883.0,s1,True
sell_in,B,all,all,W,arma,2021-02-07,8977.0,s1,True
sell_in,B,all,all,W,arma,2021-02-14,9019.0,s1,True
sell_in,B,all,all,W,arma,2021-02-21,9037.0,s1,True
sell_in,B,all,all,W,arma,2021-02-28,9045.0,s1,True
sell_in,B,all,all,W,arma,2021-03-07,9049.0,s1,True
sell_in,B,all,all,W,arma,2021-03-14,9050.0,s1,True
sell_in,B,all,all,W,arma,2021-03-21,9051.0,s1,True
sell_in,B,all,all,W,arma,2021-03-28,9051.0,s1,True
sell_in,C,g1,나,W,ses,2021-01-10,3181.0,s1,True
sell_in,C,g1,나,W,ses,2021-01-17,3181.0,s1,True
sell_in,C,g1,나,W,ses,2021-01-24,3181.0,s1,True
sell_in,C,g1,나,W,ses,2021-01-31,3181.0,s1,True
sell_in,C,g1,나,W,ses,2021-02-07,3181.0,s1,True
sell_in,C,g1,나,W,ses,2021-02-14,3181.0,s1,True
sell_in,C,g1,나,W,ses,2021-02-21,3181.0,s1,True
sell_in,C,g1,나,W,ses,2021-02-28,3181.0,s1,True
sell_in,C,g1,나,W,ses,2021-03-07,3181.0,s1,True
sell_in,C,g1,나,W,ses,2021-03-14,3181.0,s1,True
sell_in,C,g1,나,W,ses,2021-03-21,3181.0,s1,True
sell_in,C,g1,나,W,ses,2021-03-28,3181.0,s1,True
sell_in,C,g3,마,W,arma,2021-01-10,38003.0,s1,True
sell_in,C,g3,마,W,arma,2021-01-17,43805.0,s1,True
sell_in,C,g3,마,W,arma,2021-01-24,45704.0,s1,True
sell_in,C,g3,마,W,arma,2021-01-31,46325.0,s1,True
sell_in,C,g3,마,W,arma,2021-02-07,46529.0,s1,True
sell_in,C,g3,마,W,arma,2021-02-14,46596.0,s1,True
sell_in,C,g3,마,W,arma,2021-02-21,46617.0,s1,True
sell_in,C,g3,마,W,arma,2021-02-28,46624.0,s1,True
sell_in,C,g3,마,W,arma,2021-03-07,46627.0,s1,True
sell_in,C,g3,마,W,arma,2021-03-14,46628.0,s1,True
sell_in,C,g3,마,W,arma,2021-03-21,46628.0,s1,True
sell_in,C,g3,마,W,arma,2021-03-28,46628.0,s1,True
sell_in,C,all,나,W,ses,2021-01-10,3181.0,s1,True
sell_in,C,all,나,W,ses,2021-01-17,3181.0,s1,True
sell_in,C,all,나,W,ses,2021-01-24,3181.0,s1,True
sell_in,C,all,나,W,ses,2021-01-31,3181.0,s1,True
sell_in,C,all,나,W,ses,2021-02-07,3181.0,s1,True
sell_in,C,all,나,W,ses,2021-02-14,3181.0,s1,True
sell_in,C,all,나,W,ses,2021-02-21,3181.0,s1,True
sell_in,C,all,나,W,ses,2021-02-28,3181.0,s1,True
sell_in,C,all,나,W,ses,2021-03-07,3181.0,s1,True
sell_in,C,all,나,W,ses,2021-03-14,3181.0,s1,True
sell_in,C,all,나,W,ses,2021-03-21,3181.0,s1,True
sell_in,C,all,나,W,ses,2021-03-28,3181.0,s1,True
sell_in,C,all,마,W,arma,2021-01-10,38003.0,s1,True
sell_in,C,all,마,W,arma,2021-01-17,43805.0,s1,True
sell_in,C,all,마,W,arma,2021-01-24,45704.0,s1,True
