sell_type,cust_type,prod_group_type,prod_type,time_type,model,dt,prediction,scenario,smoothing
sell_in,A,g1,가,W,lstm,2021-01-10,-2481.0,s2,False
sell_in,A,g1,가,W,lstm,2021-01-17,-2010.0,s2,False
sell_in,A,g1,가,W,lstm,2021-01-24,-2156.0,s2,False
sell_in,A,g1,가,W,lstm,2021-01-31,-1973.0,s2,False
sell_in,A,g1,가,W,lstm,2021-02-07,-1950.0,s2,False
sell_in,A,g1,가,W,lstm,2021-02-14,-1926.0,s2,False
sell_in,A,g1,가,W,lstm,2021-02-21,-1797.0,s2,False
sell_in,A,g1,가,W,lstm,2021-02-28,-1754.0,s2,False
sell_in,A,g1,가,W,lstm,2021-03-07,-1864.0,s2,False
sell_in,A,g1,가,W,lstm,2021-03-14,-1733.0,s2,False
sell_in,A,g1,가,W,lstm,2021-03-21,-1646.0,s2,False
sell_in,A,g1,가,W,lstm,2021-03-28,-1927.0,s2,False
sell_in,A,g2,다,W,lstm,2021-01-10,420.0,s2,False
sell_in,A,g2,다,W,lstm,2021-01-17,1162.0,s2,False
sell_in,A,g2,다,W,lstm,2021-01-24,660.0,s2,False
sell_in,A,g2,다,W,lstm,2021-01-31,590.0,s2,False
sell_in,A,g2,다,W,lstm,2021-02-07,702.0,s2,False
sell_in,A,g2,다,W,lstm,2021-02-14,470.0,s2,False
sell_in,A,g2,다,W,lstm,2021-02-21,567.0,s2,False
sell_in,A,g2,다,W,lstm,2021-02-28,137.0,s2,False
sell_in,A,g2,다,W,lstm,2021-03-07,-57.0,s2,False
sell_in,A,g2,다,W,lstm,2021-03-14,-118.0,s2,False
sell_in,A,g2,다,W,lstm,2021-03-21,-172.0,s2,False
sell_in,A,g2,다,W,lstm,2021-03-28,-339.0,s2,False
sell_in,A,all,가,W,lstm,2021-01-10,-2949.0,s2,False
sell_in,A,all,가,W,lstm,2021-01-17,-3192.0,s2,False
sell_in,A,all,가,W,lstm,2021-01-24,-3266.0,s2,False
sell_in,A,all,가,W,lstm,2021-01-31,-3450.0,s2,False
sell_in,A,all,가,W,lstm,2021-02-07,-3583.0,s2,False
sell_in,A,all,가,W,lstm,2021-02-14,-3707.0,s2,False
sell_in,A,all,가,W,lstm,2021-02-21,-3859.0,s2,False
sell_in,A,all,가,W,lstm,2021-02-28,-3992.0,s2,False
sell_in,A,all,가,W,lstm,2021-03-07,-4067.0,s2,False
sell_in,A,all,가,W,lstm,2021-03-14,-4194.0,s2,False
sell_in,A,all,가,W,lstm,2021-03-21,-4320.0,s2,False
sell_in,A,all,가,W,lstm,2021-03-28,-4346.0,s2,False
sell_in,A,all,다,W,lstm,2021-01-10,-383.0,s2,False
sell_in,A,all,다,W,lstm,2021-01-17,-1000.0,s2,False
sell_in,A,all,다,W,lstm,2021-01-24,-1369.0,s2,False
sell_in,A,all,다,W,lstm,2021-01-31,-1552.0,s2,False
sell_in,A,all,다,W,lstm,2021-02-07,-1827.0,s2,False
sell_in,A,all,다,W,lstm,2021-02-14,-2102.0,s2,False
sell_in,A,all,다,W,lstm,2021-02-21,-2289.0,s2,False
sell_in,A,all,다,W,lstm,2021-02-28,-2586.0,s2,False
sell_in,A,all,다,W,lstm,2021-03-07,-2636.0,s2,False
sell_in,A,all,다,W,lstm,2021-03-14,-2655.0,s2,False
sell_in,A,all,다,W,lstm,2021-03-21,-2691.0,s2,False
sell_in,A,all,다,W,lstm,2021-03-28,-2714.0,s2,False
sell_in,A,all,all,W,lstm,2021-01-10,-2679.0,s2,False
sell_in,A,all,all,W,lstm,2021-01-17,-8007.0,s2,False
sell_in,A,all,all,W,lstm,2021-01-24,-6947.0,s2,False
sell_in,A,all,all,W,lstm,2021-01-31,-7933.0,s2,False
sell_in,A,all,all,W,lstm,2021-02-07,-9315.0,s2,False
sell_in,A,all,all,W,lstm,2021-02-14,-9376.0,s2,False
sell_in,A,all,all,W,lstm,2021-02-21,-11064.0,s2,False
sell_in,A,all,all,W,lstm,2021-02-28,-10224.0,s2,False
sell_in,A,all,all,W,lstm,2021-03-07,-9434.0,s2,False
sell_in,A,all,all,W,lstm,2021-03-14,-9843.0,s2,False
sell_in,A,all,all,W,lstm,2021-03-21,-10109.0,s2,False
sell_in,A,all,all,W,lstm,2021-03-28,-8492.0,s2,False
sell_in,B,g1,나,W,lstm,2021-01-10,-1231.0,s2,False
sell_in,B,g1,나,W,lstm,2021-01-17,-1540.0,s2,False
sell_in,B,g1,나,W,lstm,2021-01-24,-1705.0,s2,False
sell_in,B,g1,나,W,lstm,2021-01-31,-1706.0,s2,False
sell_in,B,g1,나,W,lstm,2021-02-07,-1617.0,s2,False
