sell_type,cust_type,prod_group_type,prod_type,time_type,model,dt,prediction,scenario,smoothing
sell_in,A,g1,가,W,var,2021-01-10,13956.0,s2,False
sell_in,A,g1,가,W,var,2021-01-17,15538.0,s2,False
sell_in,A,g1,가,W,var,2021-01-24,15476.0,s2,False
sell_in,A,g1,가,W,var,2021-01-31,15482.0,s2,False
sell_in,A,g1,가,W,var,2021-02-07,15482.0,s2,False
sell_in,A,g1,가,W,var,2021-02-14,15482.0,s2,False
sell_in,A,g1,가,W,var,2021-02-21,15482.0,s2,False
sell_in,A,g1,가,W,var,2021-02-28,15482.0,s2,False
sell_in,A,g1,가,W,var,2021-03-07,15482.0,s2,False
sell_in,A,g1,가,W,var,2021-03-14,15482.0,s2,False
sell_in,A,g1,가,W,var,2021-03-21,15482.0,s2,False
sell_in,A,g1,가,W,var,2021-03-28,15482.0,s2,False
sell_in,A,g2,다,W,var,2021-01-10,23875.0,s2,False
sell_in,A,g2,다,W,var,2021-01-17,27207.0,s2,False
sell_in,A,g2,다,W,var,2021-01-24,29733.0,s2,False
sell_in,A,g2,다,W,var,2021-01-31,31658.0,s2,False
sell_in,A,g2,다,W,var,2021-02-07,33125.0,s2,False
sell_in,A,g2,다,W,var,2021-02-14,34242.0,s2,False
sell_in,A,g2,다,W,var,2021-02-21,35093.0,s2,False
sell_in,A,g2,다,W,var,2021-02-28,35742.0,s2,False
sell_in,A,g2,다,W,var,2021-03-07,36236.0,s2,False
sell_in,A,g2,다,W,var,2021-03-14,36613.0,s2,False
sell_in,A,g2,다,W,var,2021-03-21,36900.0,s2,False
sell_in,A,g2,다,W,var,2021-03-28,37118.0,s2,False
sell_in,A,all,가,W,var,2021-01-10,13956.0,s2,False
sell_in,A,all,가,W,var,2021-01-17,15538.0,s2,False
sell_in,A,all,가,W,var,2021-01-24,15476.0,s2,False
sell_in,A,all,가,W,var,2021-01-31,15482.0,s2,False
sell_in,A,all,가,W,var,2021-02-07,15482.0,s2,False
sell_in,A,all,가,W,var,2021-02-14,15482.0,s2,False
sell_in,A,all,가,W,var,2021-02-21,15482.0,s2,False
sell_in,A,all,가,W,var,2021-02-28,15482.0,s2,False
sell_in,A,all,가,W,var,2021-03-07,15482.0,s2,False
sell_in,A,all,가,W,var,2021-03-14,15482.0,s2,False
sell_in,A,all,가,W,var,2021-03-21,15482.0,s2,False
sell_in,A,all,가,W,var,2021-03-28,15482.0,s2,False
sell_in,A,all,다,W,var,2021-01-10,23875.0,s2,False
sell_in,A,all,다,W,var,2021-01-17,27207.0,s2,False
sell_in,A,all,다,W,var,2021-01-24,29733.0,s2,False
sell_in,A,all,다,W,var,2021-01-31,31658.0,s2,False
sell_in,A,all,다,W,var,2021-02-07,33125.0,s2,False
sell_in,A,all,다,W,var,2021-02-14,34242.0,s2,False
sell_in,A,all,다,W,var,2021-02-21,35093.0,s2,False
sell_in,A,all,다,W,var,2021-02-28,35742.0,s2,False
sell_in,A,all,다,W,var,2021-03-07,36236.0,s2,False
sell_in,A,all,다,W,var,2021-03-14,36613.0,s2,False
sell_in,A,all,다,W,var,2021-03-21,36900.0,s2,False
sell_in,A,all,다,W,var,2021-03-28,37118.0,s2,False
sell_in,A,all,all,W,var,2021-01-10,34706.0,s2,False
sell_in,A,all,all,W,var,2021-01-17,40115.0,s2,False
sell_in,A,all,all,W,var,2021-01-24,42859.0,s2,False
sell_in,A,all,all,W,var,2021-01-31,45124.0,s2,False
sell_in,A,all,all,W,var,2021-02-07,46883.0,s2,False
sell_in,A,all,all,W,var,2021-02-14,48259.0,s2,False
sell_in,A,all,all,W,var,2021-02-21,49333.0,s2,False
sell_in,A,all,all,W,var,2021-02-28,50173.0,s2,False
sell_in,A,all,all,W,var,2021-03-07,50828.0,s2,False
sell_in,A,all,all,W,var,2021-03-14,51341.0,s2,False
sell_in,A,all,all,W,var,2021-03-21,51741.0,s2,False
sell_in,A,all,all,W,var,2021-03-28,52053.0,s2,False
sell_in,B,g1,나,W,var,2021-01-10,2536.0,s2,False
sell_in,B,g1,나,W,var,2021-01-17,2935.0,s2,False
sell_in,B,g1,나,W,var,2021-01-24,3123.0,s2,False
sell_in,B,g1,나,W,var,2021-01-31,3206.0,s2,False
sell_in,B,g1,나,W,var,2021-02-07,3242.0,s2,False
sell_in,B,g1,나,W,var,2021-02-14,3257.0,s2,False
sell_in,B,g1,나,W,var,2021-02-21,3263.0,s2,False
sell_in,B,g1,나,W,var,2021-02-28,3265.0,s2,False
sell_in,B,g1,나,W,var,2021-03-07,3267.0,s2,False
sell_in,B,g1,나,W,var,2021-03-14,3267.0,s2,False
sell_in,B,g1,나,W,var,2021-03-21,3267.0,s2,False
sell_in,B,g1,나,W,var,2021-03-28,3267.0,s2,False
sell_in,B,g2,라,W,var,2021-01-10,1229.0,s2,False
sell_in,B,g2,라,W,var,2021-01-17,1358.0,s2,False
sell_in,B,g2,라,W,var,2021-01-24,1412.0,s2,False
sell_in,B,g2,라,W,var,2021-01-31,1435.0,s2,False
sell_in,B,g2,라,W,var,2021-02-07,1445.0,s2,False
sell_in,B,g2,라,W,var,2021-02-14,1449.0,s2,False
sell_in,B,g2,라,W,var,2021-02-21,1451.0,s2,False
sell_in,B,g2,라,W,var,2021-02-28,1452.0,s2,False
sell_in,B,g2,라,W,var,2021-03-07,1452.0,s2,False
sell_in,B,g2,라,W,var,2021-03-14,1452.0,s2,False
sell_in,B,g2,라,W,var,2021-03-21,1452.0,s2,False
sell_in,B,g2,라,W,var,2021-03-28,1452.0,s2,False
sell_in,B,all,나,W,var,2021-01-10,2536.0,s2,False
sell_in,B,all,나,W,var,2021-01-17,2935.0,s2,False
sell_in,B,all,나,W,var,2021-01-24,3123.0,s2,False
sell_in,B,all,나,W,var,2021-01-31,3206.0,s2,False
sell_in,B,all,나,W,var,2021-02-07,3242.0,s2,False
sell_in,B,all,나,W,var,2021-02-14,3257.0,s2,False
sell_in,B,all,나,W,var,2021-02-21,3263.0,s2,False
sell_in,B,all,나,W,var,2021-02-28,3265.0,s2,False
sell_in,B,all,나,W,var,2021-03-07,3267.0,s2,False
sell_in,B,all,나,W,var,2021-03-14,3267.0,s2,False
