sell_type,cust_type,prod_group_type,prod_type,time_type,model,dt,prediction,scenario,smoothing
sell_in,A,g1,가,W,var,2021-01-10,18664.0,s3,False
sell_in,A,g1,가,W,var,2021-01-17,23818.0,s3,False
sell_in,A,g1,가,W,var,2021-01-24,23649.0,s3,False
sell_in,A,g1,가,W,var,2021-01-31,23680.0,s3,False
sell_in,A,g1,가,W,var,2021-02-07,23679.0,s3,False
sell_in,A,g1,가,W,var,2021-02-14,23679.0,s3,False
sell_in,A,g1,가,W,var,2021-02-21,23679.0,s3,False
sell_in,A,g1,가,W,var,2021-02-28,23679.0,s3,False
sell_in,A,g1,가,W,var,2021-03-07,23679.0,s3,False
sell_in,A,g1,가,W,var,2021-03-14,23679.0,s3,False
sell_in,A,g1,가,W,var,2021-03-21,23679.0,s3,False
sell_in,A,g1,가,W,var,2021-03-28,23679.0,s3,False
sell_in,A,g2,다,W,var,2021-01-10,40420.0,s3,False
sell_in,A,g2,다,W,var,2021-01-17,46876.0,s3,False
sell_in,A,g2,다,W,var,2021-01-24,51969.0,s3,False
sell_in,A,g2,다,W,var,2021-01-31,55982.0,s3,False
sell_in,A,g2,다,W,var,2021-02-07,59139.0,s3,False
sell_in,A,g2,다,W,var,2021-02-14,61622.0,s3,False
sell_in,A,g2,다,W,var,2021-02-21,63575.0,s3,False
sell_in,A,g2,다,W,var,2021-02-28,65109.0,s3,False
sell_in,A,g2,다,W,var,2021-03-07,66315.0,s3,False
sell_in,A,g2,다,W,var,2021-03-14,67262.0,s3,False
sell_in,A,g2,다,W,var,2021-03-21,68007.0,s3,False
sell_in,A,g2,다,W,var,2021-03-28,68592.0,s3,False
sell_in,A,all,가,W,var,2021-01-10,18664.0,s3,False
sell_in,A,all,가,W,var,2021-01-17,23818.0,s3,False
sell_in,A,all,가,W,var,2021-01-24,23649.0,s3,False
sell_in,A,all,가,W,var,2021-01-31,23680.0,s3,False
sell_in,A,all,가,W,var,2021-02-07,23679.0,s3,False
sell_in,A,all,가,W,var,2021-02-14,23679.0,s3,False
sell_in,A,all,가,W,var,2021-02-21,23679.0,s3,False
sell_in,A,all,가,W,var,2021-02-28,23679.0,s3,False
sell_in,A,all,가,W,var,2021-03-07,23679.0,s3,False
sell_in,A,all,가,W,var,2021-03-14,23679.0,s3,False
sell_in,A,all,가,W,var,2021-03-21,23679.0,s3,False
sell_in,A,all,가,W,var,2021-03-28,23679.0,s3,False
sell_in,A,all,다,W,var,2021-01-10,40420.0,s3,False
sell_in,A,all,다,W,var,2021-01-17,46876.0,s3,False
