sell_type,cust_type,prod_group_type,prod_type,time_type,model,dt,prediction,scenario,smoothing
sell_in,A,g1,가,W,lstm_vn,2021-01-10,18425.0,s3,False
sell_in,A,g1,가,W,lstm_vn,2021-01-17,27899.0,s3,False
sell_in,A,g1,가,W,lstm_vn,2021-01-24,27642.0,s3,False
sell_in,A,g1,가,W,lstm_vn,2021-01-31,23912.0,s3,False
sell_in,A,g1,가,W,lstm_vn,2021-02-07,22770.0,s3,False
sell_in,A,g1,가,W,lstm_vn,2021-02-14,21188.0,s3,False
sell_in,A,g1,가,W,lstm_vn,2021-02-21,21944.0,s3,False
sell_in,A,g1,가,W,lstm_vn,2021-02-28,24151.0,s3,False
sell_in,A,g1,가,W,lstm_vn,2021-03-07,23905.0,s3,False
sell_in,A,g1,가,W,lstm_vn,2021-03-14,22717.0,s3,False
sell_in,A,g1,가,W,lstm_vn,2021-03-21,26533.0,s3,False
sell_in,A,g1,가,W,lstm_vn,2021-03-28,28446.0,s3,False
sell_in,A,g2,다,W,lstm_vn,2021-01-10,46832.0,s3,False
sell_in,A,g2,다,W,lstm_vn,2021-01-17,69893.0,s3,False
sell_in,A,g2,다,W,lstm_vn,2021-01-24,63246.0,s3,False
sell_in,A,g2,다,W,lstm_vn,2021-01-31,62947.0,s3,False
sell_in,A,g2,다,W,lstm_vn,2021-02-07,65017.0,s3,False
sell_in,A,g2,다,W,lstm_vn,2021-02-14,58205.0,s3,False
sell_in,A,g2,다,W,lstm_vn,2021-02-21,53999.0,s3,False
sell_in,A,g2,다,W,lstm_vn,2021-02-28,46323.0,s3,False
sell_in,A,g2,다,W,lstm_vn,2021-03-07,42811.0,s3,False
sell_in,A,g2,다,W,lstm_vn,2021-03-14,41912.0,s3,False
sell_in,A,g2,다,W,lstm_vn,2021-03-21,42213.0,s3,False
sell_in,A,g2,다,W,lstm_vn,2021-03-28,39955.0,s3,False
sell_in,A,all,가,W,lstm_vn,2021-01-10,19069.0,s3,False
sell_in,A,all,가,W,lstm_vn,2021-01-17,27546.0,s3,False
sell_in,A,all,가,W,lstm_vn,2021-01-24,28269.0,s3,False
sell_in,A,all,가,W,lstm_vn,2021-01-31,23317.0,s3,False
sell_in,A,all,가,W,lstm_vn,2021-02-07,23494.0,s3,False
sell_in,A,all,가,W,lstm_vn,2021-02-14,22827.0,s3,False
sell_in,A,all,가,W,lstm_vn,2021-02-21,23972.0,s3,False
sell_in,A,all,가,W,lstm_vn,2021-02-28,25978.0,s3,False
sell_in,A,all,가,W,lstm_vn,2021-03-07,25153.0,s3,False
sell_in,A,all,가,W,lstm_vn,2021-03-14,24482.0,s3,False
sell_in,A,all,가,W,lstm_vn,2021-03-21,27414.0,s3,False
sell_in,A,all,가,W,lstm_vn,2021-03-28,26755.0,s3,False
sell_in,A,all,다,W,lstm_vn,2021-01-10,44985.0,s3,False
sell_in,A,all,다,W,lstm_vn,2021-01-17,60995.0,s3,False
sell_in,A,all,다,W,lstm_vn,2021-01-24,58215.0,s3,False
sell_in,A,all,다,W,lstm_vn,2021-01-31,60521.0,s3,False
sell_in,A,all,다,W,lstm_vn,2021-02-07,63658.0,s3,False
sell_in,A,all,다,W,lstm_vn,2021-02-14,57549.0,s3,False
sell_in,A,all,다,W,lstm_vn,2021-02-21,51990.0,s3,False
sell_in,A,all,다,W,lstm_vn,2021-02-28,44486.0,s3,False
sell_in,A,all,다,W,lstm_vn,2021-03-07,40681.0,s3,False
sell_in,A,all,다,W,lstm_vn,2021-03-14,38685.0,s3,False
sell_in,A,all,다,W,lstm_vn,2021-03-21,37457.0,s3,False
sell_in,A,all,다,W,lstm_vn,2021-03-28,33959.0,s3,False
sell_in,A,all,all,W,lstm_vn,2021-01-10,66959.0,s3,False
sell_in,A,all,all,W,lstm_vn,2021-01-17,99933.0,s3,False
sell_in,A,all,all,W,lstm_vn,2021-01-24,95638.0,s3,False
sell_in,A,all,all,W,lstm_vn,2021-01-31,100928.0,s3,False
sell_in,A,all,all,W,lstm_vn,2021-02-07,105595.0,s3,False
sell_in,A,all,all,W,lstm_vn,2021-02-14,100494.0,s3,False
sell_in,A,all,all,W,lstm_vn,2021-02-21,99108.0,s3,False
sell_in,A,all,all,W,lstm_vn,2021-02-28,90484.0,s3,False
sell_in,A,all,all,W,lstm_vn,2021-03-07,83840.0,s3,False
sell_in,A,all,all,W,lstm_vn,2021-03-14,83862.0,s3,False
sell_in,A,all,all,W,lstm_vn,2021-03-21,83125.0,s3,False
sell_in,A,all,all,W,lstm_vn,2021-03-28,73747.0,s3,False
sell_in,B,g1,나,W,lstm_vn,2021-01-10,3682.0,s3,False
sell_in,B,g1,나,W,lstm_vn,2021-01-17,6100.0,s3,False
sell_in,B,g1,나,W,lstm_vn,2021-01-24,7181.0,s3,False
sell_in,B,g1,나,W,lstm_vn,2021-01-31,7264.0,s3,False
sell_in,B,g1,나,W,lstm_vn,2021-02-07,6933.0,s3,False
sell_in,B,g1,나,W,lstm_vn,2021-02-14,6762.0,s3,False
