sell_type,cust_type,prod_group_type,prod_type,time_type,model,dt,prediction,scenario,smoothing
sell_in,A,g1,가,W,lstm,2021-01-10,1175.0,s4,True
sell_in,A,g1,가,W,lstm,2021-01-17,1954.0,s4,True
sell_in,A,g1,가,W,lstm,2021-01-24,2077.0,s4,True
sell_in,A,g1,가,W,lstm,2021-01-31,2478.0,s4,True
sell_in,A,g1,가,W,lstm,2021-02-07,2669.0,s4,True
sell_in,A,g1,가,W,lstm,2021-02-14,2819.0,s4,True
sell_in,A,g1,가,W,lstm,2021-02-21,3191.0,s4,True
sell_in,A,g1,가,W,lstm,2021-02-28,3429.0,s4,True
sell_in,A,g1,가,W,lstm,2021-03-07,3324.0,s4,True
sell_in,A,g1,가,W,lstm,2021-03-14,3660.0,s4,True
sell_in,A,g1,가,W,lstm,2021-03-21,3984.0,s4,True
sell_in,A,g1,가,W,lstm,2021-03-28,3735.0,s4,True
sell_in,A,g2,다,W,lstm,2021-01-10,28133.0,s4,True
sell_in,A,g2,다,W,lstm,2021-01-17,29528.0,s4,True
sell_in,A,g2,다,W,lstm,2021-01-24,28935.0,s4,True
sell_in,A,g2,다,W,lstm,2021-01-31,29407.0,s4,True
sell_in,A,g2,다,W,lstm,2021-02-07,30565.0,s4,True
sell_in,A,g2,다,W,lstm,2021-02-14,30329.0,s4,True
sell_in,A,g2,다,W,lstm,2021-02-21,30866.0,s4,True
sell_in,A,g2,다,W,lstm,2021-02-28,30220.0,s4,True
sell_in,A,g2,다,W,lstm,2021-03-07,30189.0,s4,True
sell_in,A,g2,다,W,lstm,2021-03-14,30321.0,s4,True
sell_in,A,g2,다,W,lstm,2021-03-21,30399.0,s4,True
sell_in,A,g2,다,W,lstm,2021-03-28,29771.0,s4,True
sell_in,A,all,가,W,lstm,2021-01-10,959.0,s4,True
sell_in,A,all,가,W,lstm,2021-01-17,1209.0,s4,True
sell_in,A,all,가,W,lstm,2021-01-24,861.0,s4,True
sell_in,A,all,가,W,lstm,2021-01-31,772.0,s4,True
sell_in,A,all,가,W,lstm,2021-02-07,493.0,s4,True
sell_in,A,all,가,W,lstm,2021-02-14,304.0,s4,True
sell_in,A,all,가,W,lstm,2021-02-21,236.0,s4,True
sell_in,A,all,가,W,lstm,2021-02-28,27.0,s4,True
sell_in,A,all,가,W,lstm,2021-03-07,-111.0,s4,True
sell_in,A,all,가,W,lstm,2021-03-14,-98.0,s4,True
sell_in,A,all,가,W,lstm,2021-03-21,-249.0,s4,True
sell_in,A,all,가,W,lstm,2021-03-28,-361.0,s4,True
sell_in,A,all,다,W,lstm,2021-01-10,27930.0,s4,True
sell_in,A,all,다,W,lstm,2021-01-17,28346.0,s4,True
sell_in,A,all,다,W,lstm,2021-01-24,27867.0,s4,True
sell_in,A,all,다,W,lstm,2021-01-31,27591.0,s4,True
sell_in,A,all,다,W,lstm,2021-02-07,27322.0,s4,True
sell_in,A,all,다,W,lstm,2021-02-14,26866.0,s4,True
sell_in,A,all,다,W,lstm,2021-02-21,27430.0,s4,True
sell_in,A,all,다,W,lstm,2021-02-28,26653.0,s4,True
sell_in,A,all,다,W,lstm,2021-03-07,26296.0,s4,True
sell_in,A,all,다,W,lstm,2021-03-14,26050.0,s4,True
sell_in,A,all,다,W,lstm,2021-03-21,25798.0,s4,True
sell_in,A,all,다,W,lstm,2021-03-28,25706.0,s4,True
sell_in,A,all,all,W,lstm,2021-01-10,40511.0,s4,True
sell_in,A,all,all,W,lstm,2021-01-17,47990.0,s4,True
sell_in,A,all,all,W,lstm,2021-01-24,45387.0,s4,True
sell_in,A,all,all,W,lstm,2021-01-31,47156.0,s4,True
sell_in,A,all,all,W,lstm,2021-02-07,50254.0,s4,True
sell_in,A,all,all,W,lstm,2021-02-14,50074.0,s4,True
sell_in,A,all,all,W,lstm,2021-02-21,51500.0,s4,True
sell_in,A,all,all,W,lstm,2021-02-28,50030.0,s4,True
sell_in,A,all,all,W,lstm,2021-03-07,48630.0,s4,True
sell_in,A,all,all,W,lstm,2021-03-14,49829.0,s4,True
sell_in,A,all,all,W,lstm,2021-03-21,50802.0,s4,True
sell_in,A,all,all,W,lstm,2021-03-28,47522.0,s4,True
sell_in,B,g1,나,W,lstm,2021-01-10,259.0,s4,True
sell_in,B,g1,나,W,lstm,2021-01-17,1191.0,s4,True
sell_in,B,g1,나,W,lstm,2021-01-24,1702.0,s4,True
sell_in,B,g1,나,W,lstm,2021-01-31,1639.0,s4,True
sell_in,B,g1,나,W,lstm,2021-02-07,1339.0,s4,True
sell_in,B,g1,나,W,lstm,2021-02-14,1272.0,s4,True
sell_in,B,g1,나,W,lstm,2021-02-21,1162.0,s4,True
sell_in,B,g1,나,W,lstm,2021-02-28,1098.0,s4,True
sell_in,B,g1,나,W,lstm,2021-03-07,1994.0,s4,True
sell_in,B,g1,나,W,lstm,2021-03-14,2067.0,s4,True
sell_in,B,g1,나,W,lstm,2021-03-21,2114.0,s4,True
sell_in,B,g1,나,W,lstm,2021-03-28,2519.0,s4,True
sell_in,B,g2,라,W,lstm,2021-01-10,-173.0,s4,True
sell_in,B,g2,라,W,lstm,2021-01-17,-1002.0,s4,True
sell_in,B,g2,라,W,lstm,2021-01-24,-1430.0,s4,True
sell_in,B,g2,라,W,lstm,2021-01-31,-1482.0,s4,True
sell_in,B,g2,라,W,lstm,2021-02-07,-1247.0,s4,True
sell_in,B,g2,라,W,lstm,2021-02-14,-1197.0,s4,True
sell_in,B,g2,라,W,lstm,2021-02-21,-1037.0,s4,True
sell_in,B,g2,라,W,lstm,2021-02-28,-1002.0,s4,True
