sell_type,cust_type,prod_type,time_type,model,rmse
sell_in,A,가,W,lstm_vn,13899658
sell_in,A,다,W,lstm_vn,30248464
sell_in,A,all,W,lstm_vn,27312832
sell_in,B,나,W,lstm_vn,7529880
sell_in,B,라,W,lstm_vn,3452928
sell_in,B,all,W,lstm_vn,9277075
sell_in,C,나,W,lstm_vn,2928413
sell_in,C,마,W,lstm_vn,28594607
sell_in,C,all,W,lstm_vn,29798237
sell_in,all,가,W,lstm_vn,10671292
sell_in,all,다,W,lstm_vn,21476268
sell_in,all,나,W,lstm_vn,11409943
sell_in,all,라,W,lstm_vn,3633378
sell_in,all,마,W,lstm_vn,27478959
sell_in,all,all,W,lstm_vn,66797807
sell_out,A,바,W,lstm_vn,20133830
sell_out,A,가,W,lstm_vn,11270256
sell_out,A,다,W,lstm_vn,50426419
sell_out,A,all,W,lstm_vn,77496212
sell_out,B,바,W,lstm_vn,3223438
sell_out,B,나,W,lstm_vn,9144356
sell_out,B,라,W,lstm_vn,6037571
sell_out,B,all,W,lstm_vn,11307768
sell_out,C,바,W,lstm_vn,2829650
sell_out,C,나,W,lstm_vn,6576716
sell_out,C,마,W,lstm_vn,40421084
sell_out,C,all,W,lstm_vn,42649585
sell_out,all,바,W,lstm_vn,25623178
sell_out,all,가,W,lstm_vn,12562679
sell_out,all,다,W,lstm_vn,38986607
sell_out,all,나,W,lstm_vn,17161219
sell_out,all,라,W,lstm_vn,5478551
sell_out,all,마,W,lstm_vn,39651292
sell_out,all,all,W,lstm_vn,137739096
