sell_type,cust_type,prod_type,time_type,model,rmse
sell_in,A,가,W,var,15052
sell_in,A,다,W,var,30822
sell_in,A,all,W,var,46000
sell_in,B,나,W,var,5045
sell_in,B,라,W,var,1680
sell_in,B,all,W,var,5138
sell_in,C,나,W,var,3153
sell_in,C,마,W,var,58931
sell_in,C,all,W,var,59221
sell_in,all,가,W,var,15052
sell_in,all,다,W,var,30822
sell_in,all,나,W,var,7131
sell_in,all,라,W,var,1680
sell_in,all,마,W,var,58931
sell_in,all,all,W,var,73245
sell_out,A,바,W,var,4525
sell_out,A,가,W,var,2025
sell_out,A,다,W,var,16328
sell_out,A,all,W,var,16700
sell_out,B,바,W,var,1606
sell_out,B,나,W,var,3922
sell_out,B,라,W,var,1243
sell_out,B,all,W,var,4650
sell_out,C,바,W,var,1419
sell_out,C,나,W,var,3099
sell_out,C,마,W,var,55595
sell_out,C,all,W,var,62768
sell_out,all,바,W,var,7176
sell_out,all,가,W,var,2025
sell_out,all,다,W,var,16328
sell_out,all,나,W,var,6006
sell_out,all,라,W,var,1243
sell_out,all,마,W,var,55595
sell_out,all,all,W,var,82844
