sell_type,cust_type,prod_type,time_type,model,rmse
sell_in,A,가,D,var,8875755
sell_in,A,가,W,var,15487321
sell_in,A,다,D,var,2493799
sell_in,A,다,W,var,6278282
sell_in,A,all,D,var,7866070
sell_in,A,all,W,var,16674310
sell_in,B,나,D,var,828249
sell_in,B,나,W,var,5784494
sell_in,B,라,D,var,239242
sell_in,B,라,W,var,560131
sell_in,B,all,D,var,861084
sell_in,B,all,W,var,6212055
sell_in,C,나,D,var,309171
sell_in,C,나,W,var,3269922
sell_in,C,마,D,var,1430050
sell_in,C,마,W,var,10669987
sell_in,C,all,D,var,1909142
sell_in,C,all,W,var,8939551
sell_in,all,가,D,var,8875755
sell_in,all,가,W,var,15487321
sell_in,all,다,D,var,2493799
sell_in,all,다,W,var,6278282
sell_in,all,나,D,var,1165443
sell_in,all,나,W,var,7402976
sell_in,all,라,D,var,239242
sell_in,all,라,W,var,560131
sell_in,all,마,D,var,1430050
sell_in,all,마,W,var,10669987
sell_in,all,all,D,var,9201763
sell_in,all,all,W,var,17333854
sell_out,A,바,D,var,283860
sell_out,A,바,W,var,8251408
sell_out,A,가,D,var,730592
sell_out,A,가,W,var,8073489
sell_out,A,다,D,var,735215
sell_out,A,다,W,var,11790675
sell_out,A,all,D,var,1313060
sell_out,A,all,W,var,31255606
sell_out,B,바,D,var,148536
sell_out,B,바,W,var,1171256
sell_out,B,나,D,var,908346
sell_out,B,나,W,var,4329049
sell_out,B,라,D,var,264143
sell_out,B,라,W,var,1749102
sell_out,B,all,D,var,1320250
sell_out,B,all,W,var,6636082
sell_out,C,바,D,var,109958
sell_out,C,바,W,var,933096
sell_out,C,나,D,var,472276
sell_out,C,나,W,var,3156256
sell_out,C,마,D,var,478064
sell_out,C,마,W,var,4136045
sell_out,C,all,D,var,1801499
sell_out,C,all,W,var,8121077
sell_out,all,바,D,var,507925
sell_out,all,바,W,var,9971137
sell_out,all,가,D,var,730592
sell_out,all,가,W,var,8073489
sell_out,all,다,D,var,735215
sell_out,all,다,W,var,11790675
sell_out,all,나,D,var,1287870
sell_out,all,나,W,var,6427364
sell_out,all,라,D,var,264143
sell_out,all,라,W,var,1749102
sell_out,all,마,D,var,478064
sell_out,all,마,W,var,4136045
sell_out,all,all,D,var,3421383
sell_out,all,all,W,var,45341948
