sell_type,cust_type,prod_type,time_type,model,rmse
sell_in,A,가,D,ar,9480085
sell_in,A,가,W,ar,18346473
sell_in,A,다,D,ar,2280783
sell_in,A,다,W,ar,5321518
sell_in,A,all,D,ar,8306219
sell_in,A,all,W,ar,19575454
sell_in,B,나,D,ar,921190
sell_in,B,나,W,ar,5262453
sell_in,B,라,D,ar,247432
sell_in,B,라,W,ar,1238808
sell_in,B,all,D,ar,857076
sell_in,B,all,W,ar,4930976
sell_in,C,나,D,ar,250141
sell_in,C,나,W,ar,3926214
sell_in,C,마,D,ar,1982105
sell_in,C,마,W,ar,7413559
sell_in,C,all,D,ar,2123266
sell_in,C,all,W,ar,6598555
sell_in,all,가,D,ar,9480085
sell_in,all,가,W,ar,18346473
sell_in,all,다,D,ar,2280783
sell_in,all,다,W,ar,5321518
sell_in,all,나,D,ar,1012503
sell_in,all,나,W,ar,8613501
sell_in,all,라,D,ar,247432
sell_in,all,라,W,ar,1238808
sell_in,all,마,D,ar,1982105
sell_in,all,마,W,ar,7413559
sell_in,all,all,D,ar,9026423
sell_in,all,all,W,ar,25045354
sell_out,A,바,D,ar,247820
sell_out,A,바,W,ar,7354721
sell_out,A,가,D,ar,1035441
sell_out,A,가,W,ar,8025311
sell_out,A,다,D,ar,714356
sell_out,A,다,W,ar,11155746
sell_out,A,all,D,ar,1433937
sell_out,A,all,W,ar,28243029
sell_out,B,바,D,ar,173416
sell_out,B,바,W,ar,1068759
sell_out,B,나,D,ar,1143506
sell_out,B,나,W,ar,4745774
sell_out,B,라,D,ar,239202
sell_out,B,라,W,ar,1299571
sell_out,B,all,D,ar,1527275
sell_out,B,all,W,ar,6608300
sell_out,C,바,D,ar,86798
sell_out,C,바,W,ar,993021
sell_out,C,나,D,ar,383834
sell_out,C,나,W,ar,5184718
sell_out,C,마,D,ar,504341
sell_out,C,마,W,ar,4372716
sell_out,C,all,D,ar,684319
sell_out,C,all,W,ar,9699559
sell_out,all,바,D,ar,421110
sell_out,all,바,W,ar,7968228
sell_out,all,가,D,ar,1035441
sell_out,all,가,W,ar,8025311
sell_out,all,다,D,ar,714356
sell_out,all,다,W,ar,11155746
sell_out,all,나,D,ar,1314529
sell_out,all,나,W,ar,9187841
sell_out,all,라,D,ar,239202
sell_out,all,라,W,ar,1299571
sell_out,all,마,D,ar,504341
sell_out,all,마,W,ar,4372716
sell_out,all,all,D,ar,2754646
sell_out,all,all,W,ar,37315582
