location,date,temp_min,temp_max,temp_avg,rhm_min,rhm_avg,gsr_sum
108,210101,-9.8,1.6,-4.2,50,64.0,9.54
108,210102,-8.4,-1.4,-5.0,29,38.5,11.34
108,210103,-9.1,-2.0,-5.6,28,45.0,8.8
108,210104,-8.4,0.3,-3.5,38,51.4,7.44
108,210105,-9.9,-2.1,-5.5,30,52.8,10.46
108,210106,-12.0,-1.9,-7.4,24,54.6,11.78
108,210107,-16.5,-8.4,-14.5,35,49.9,
108,210108,-18.6,-10.7,-14.9,35,44.0,12.38
108,210109,-16.6,-7.5,-12.2,35,46.3,11.59
108,210110,-12.8,-2.7,-7.7,37,54.4,9.84
108,210111,-9.6,-4.0,-6.7,50,62.1,4.47
108,210112,-9.3,-0.5,-3.9,61,79.5,6.13
108,210113,-3.0,8.3,2.0,63,80.3,8.27
108,210114,-3.6,7.0,1.7,26,46.5,10.21
108,210115,-0.7,9.9,4.5,42,67.4,2.11
108,210116,-8.7,-0.7,-4.9,34,59.3,11.86
108,210117,-10.8,-1.3,-5.5,29,58.5,10.83
108,210118,-9.1,0.2,-3.8,30,64.3,4.54
108,210119,-11.6,-0.2,-6.3,19,37.9,12.48
108,210120,-6.6,7.1,-0.1,24,37.8,11.92
108,210121,2.5,7.0,4.5,36,64.4,2.77
108,210122,4.8,6.6,5.5,89,92.9,2.34
108,210123,4.8,12.2,7.6,49,66.0,9.72
108,210124,2.4,13.9,7.3,43,63.9,12.4
108,210125,3.0,13.9,7.9,37,62.0,10.74
108,210126,1.7,7.4,5.3,64,80.4,1.95
108,210127,-1.8,6.5,1.7,20,47.6,12.4
108,210128,-9.7,1.4,-2.6,35,52.3,6.14
108,210129,-11.6,-4.9,-8.8,29,40.0,14.42
108,210130,-8.1,5.2,-1.6,39,60.0,10.46
108,210131,-3.8,8.7,3.2,35,57.0,10.92
108,210201,-2.3,9.5,5.0,45,74.5,5.8
108,210202,-8.2,-2.4,-5.6,28,44.1,14.69
108,210203,-9.4,1.4,-3.2,43,64.6,11.7
108,210204,-7.4,0.7,-3.6,29,50.1,15.33
108,210205,-4.4,6.7,1.4,60,71.8,7.95
108,210206,4.3,9.5,6.8,72,80.4,4.77
108,210207,-2.6,7.7,3.6,29,67.0,11.38
108,210208,-5.4,0.2,-3.1,29,43.6,15.91
108,210209,-6.1,4.7,-0.9,28,51.9,15.46
108,210210,-1.5,7.2,3.4,63,75.1,6.15
108,210211,1.3,10.9,5.5,47,71.5,11.22
108,210212,0.6,14.0,6.5,29,60.6,14.72
108,210213,1.0,15.9,7.6,24,50.6,14.36
108,210214,6.4,13.8,9.5,31,47.6,7.21
108,210215,-5.2,8.2,1.2,36,65.1,9.69
108,210216,-7.0,-1.3,-5.1,32,57.9,7.31
108,210217,-10.4,-5.2,-8.3,32,44.1,17.28
108,210218,-10.6,-0.4,-5.8,34,44.9,17.05
108,210219,-7.1,8.9,1.6,49,66.9,14.8
108,210220,5.5,14.9,8.8,25,60.4,15.25
108,210221,4.7,17.4,10.8,47,66.6,15.34
108,210222,0.4,12.6,7.8,25,58.3,13.04
108,210223,-3.1,4.3,0.0,21,34.0,17.53
108,210224,-3.0,10.1,2.9,20,33.0,16.1
108,210225,0.7,8.2,4.2,25,35.1,5.22
108,210226,0.5,15.8,8.2,18,35.0,18.2
108,210227,4.3,16.2,9.5,32,48.6,17.96
108,210228,3.2,10.8,7.8,38,49.0,7.13
