sell_type,cust_type,prod_group_type,prod_type,time_type,model,rmse,scenario,smoothing
sell_in,A,g1,가,W,arma,15052,s1,False
sell_in,A,g1,가,W,arima,15558,s1,False
sell_in,A,g1,가,W,ar,16246,s1,False
sell_in,A,g1,가,W,ses,16552,s1,False
sell_in,A,g1,가,W,hw,21690,s1,False
sell_in,A,g2,다,W,arma,28773,s1,False
sell_in,A,g2,다,W,arima,30545,s1,False
sell_in,A,g2,다,W,ar,32019,s1,False
sell_in,A,g2,다,W,ses,36036,s1,False
sell_in,A,g2,다,W,hw,49040,s1,False
sell_in,A,all,가,W,arma,15052,s1,False
sell_in,A,all,가,W,arima,15558,s1,False
sell_in,A,all,가,W,ar,16246,s1,False
sell_in,A,all,가,W,ses,16552,s1,False
sell_in,A,all,가,W,hw,21690,s1,False
sell_in,A,all,다,W,arma,28773,s1,False
sell_in,A,all,다,W,arima,30545,s1,False
sell_in,A,all,다,W,ar,32019,s1,False
sell_in,A,all,다,W,ses,36036,s1,False
sell_in,A,all,다,W,hw,49040,s1,False
sell_in,A,all,all,W,arma,33973,s1,False
sell_in,A,all,all,W,arima,34063,s1,False
sell_in,A,all,all,W,ar,37018,s1,False
sell_in,A,all,all,W,ses,38196,s1,False
sell_in,A,all,all,W,hw,44461,s1,False
sell_in,B,g1,나,W,ar,4388,s1,False
sell_in,B,g1,나,W,ses,4656,s1,False
sell_in,B,g1,나,W,arima,4884,s1,False
sell_in,B,g1,나,W,arma,5009,s1,False
sell_in,B,g1,나,W,hw,7382,s1,False
sell_in,B,g2,라,W,arma,1634,s1,False
sell_in,B,g2,라,W,arima,1660,s1,False
sell_in,B,g2,라,W,ar,1840,s1,False
sell_in,B,g2,라,W,ses,1965,s1,False
sell_in,B,g2,라,W,hw,2214,s1,False
sell_in,B,all,나,W,ar,4388,s1,False
sell_in,B,all,나,W,ses,4656,s1,False
sell_in,B,all,나,W,arima,4884,s1,False
sell_in,B,all,나,W,arma,5009,s1,False
sell_in,B,all,나,W,hw,7382,s1,False
sell_in,B,all,라,W,arma,1634,s1,False
sell_in,B,all,라,W,arima,1660,s1,False
sell_in,B,all,라,W,ar,1840,s1,False
sell_in,B,all,라,W,ses,1965,s1,False
sell_in,B,all,라,W,hw,2214,s1,False
sell_in,B,all,all,W,ar,4942,s1,False
sell_in,B,all,all,W,arima,4978,s1,False
sell_in,B,all,all,W,arma,5024,s1,False
sell_in,B,all,all,W,ses,5523,s1,False
sell_in,B,all,all,W,hw,7286,s1,False
sell_in,C,g1,나,W,ses,2679,s1,False
sell_in,C,g1,나,W,arma,3125,s1,False
sell_in,C,g1,나,W,arima,3136,s1,False
sell_in,C,g1,나,W,ar,3307,s1,False
sell_in,C,g1,나,W,hw,3687,s1,False
sell_in,C,g3,마,W,arma,59022,s1,False
sell_in,C,g3,마,W,arima,59216,s1,False
sell_in,C,g3,마,W,ar,61548,s1,False
sell_in,C,g3,마,W,ses,64221,s1,False
sell_in,C,g3,마,W,hw,64718,s1,False
sell_in,C,all,나,W,ses,2679,s1,False
sell_in,C,all,나,W,arma,3125,s1,False
sell_in,C,all,나,W,arima,3136,s1,False
sell_in,C,all,나,W,ar,3307,s1,False
sell_in,C,all,나,W,hw,3687,s1,False
sell_in,C,all,마,W,arma,59022,s1,False
sell_in,C,all,마,W,arima,59216,s1,False
sell_in,C,all,마,W,ar,61548,s1,False
sell_in,C,all,마,W,ses,64221,s1,False
sell_in,C,all,마,W,hw,64718,s1,False
sell_in,C,all,all,W,arma,59080,s1,False
sell_in,C,all,all,W,arima,59299,s1,False
sell_in,C,all,all,W,ar,60127,s1,False
sell_in,C,all,all,W,hw,63133,s1,False
sell_in,C,all,all,W,ses,63384,s1,False
sell_in,all,g1,가,W,arma,15052,s1,False
sell_in,all,g1,가,W,arima,15558,s1,False
sell_in,all,g1,가,W,ar,16246,s1,False
sell_in,all,g1,가,W,ses,16552,s1,False
sell_in,all,g1,가,W,hw,21690,s1,False
sell_in,all,g1,나,W,ses,6169,s1,False
sell_in,all,g1,나,W,arima,6301,s1,False
sell_in,all,g1,나,W,ar,6826,s1,False
sell_in,all,g1,나,W,arma,7093,s1,False
sell_in,all,g1,나,W,hw,9691,s1,False
sell_in,all,g1,all,W,arma,16307,s1,False
sell_in,all,g1,all,W,arima,16463,s1,False
sell_in,all,g1,all,W,ses,18226,s1,False
sell_in,all,g1,all,W,ar,18590,s1,False
sell_in,all,g1,all,W,hw,26662,s1,False
sell_in,all,g2,다,W,arma,28773,s1,False
sell_in,all,g2,다,W,arima,30545,s1,False
sell_in,all,g2,다,W,ar,32019,s1,False
sell_in,all,g2,다,W,ses,36036,s1,False
sell_in,all,g2,다,W,hw,49040,s1,False
sell_in,all,g2,라,W,arma,1634,s1,False
sell_in,all,g2,라,W,arima,1660,s1,False
sell_in,all,g2,라,W,ar,1840,s1,False
sell_in,all,g2,라,W,ses,1965,s1,False
sell_in,all,g2,라,W,hw,2214,s1,False
sell_in,all,g2,all,W,arma,29720,s1,False
sell_in,all,g2,all,W,arima,31527,s1,False
sell_in,all,g2,all,W,ar,33215,s1,False
sell_in,all,g2,all,W,ses,37300,s1,False
sell_in,all,g2,all,W,hw,50088,s1,False
sell_in,all,g3,마,W,arma,59022,s1,False
sell_in,all,g3,마,W,arima,59216,s1,False
sell_in,all,g3,마,W,ar,61548,s1,False
sell_in,all,g3,마,W,ses,64221,s1,False
sell_in,all,g3,마,W,hw,64718,s1,False
sell_in,all,all,가,W,arma,15052,s1,False
sell_in,all,all,가,W,arima,15558,s1,False
sell_in,all,all,가,W,ar,16246,s1,False
sell_in,all,all,가,W,ses,16552,s1,False
sell_in,all,all,가,W,hw,21690,s1,False
sell_in,all,all,다,W,arma,28773,s1,False
sell_in,all,all,다,W,arima,30545,s1,False
sell_in,all,all,다,W,ar,32019,s1,False
sell_in,all,all,다,W,ses,36036,s1,False
sell_in,all,all,다,W,hw,49040,s1,False
sell_in,all,all,나,W,ses,6169,s1,False
sell_in,all,all,나,W,arima,6301,s1,False
sell_in,all,all,나,W,ar,6826,s1,False
sell_in,all,all,나,W,arma,7093,s1,False
sell_in,all,all,나,W,hw,9691,s1,False
sell_in,all,all,라,W,arma,1634,s1,False
sell_in,all,all,라,W,arima,1660,s1,False
