sell_type,cust_type,prod_group_type,prod_type,time_type,model,rmse,scenario,smoothing
sell_in,A,g1,가,W,lstm_vn,0.24912089109420776,s1,True
sell_in,A,g2,다,W,lstm_vn,0.3097769021987915,s1,True
sell_in,A,all,가,W,lstm_vn,0.2511504888534546,s1,True
sell_in,A,all,다,W,lstm_vn,0.298627644777298,s1,True
sell_in,A,all,all,W,lstm_vn,0.2869971692562103,s1,True
sell_in,B,g1,나,W,lstm_vn,0.21471314132213593,s1,True
sell_in,B,g2,라,W,lstm_vn,0.3750167191028595,s1,True
sell_in,B,all,나,W,lstm_vn,0.21557360887527466,s1,True
sell_in,B,all,라,W,lstm_vn,0.3720462918281555,s1,True
sell_in,B,all,all,W,lstm_vn,0.24202671647071838,s1,True
sell_in,C,g1,나,W,lstm_vn,0.20023919641971588,s1,True
sell_in,C,g3,마,W,lstm_vn,0.24309703707695007,s1,True
sell_in,C,all,나,W,lstm_vn,0.19947324693202972,s1,True
sell_in,C,all,마,W,lstm_vn,0.2462863177061081,s1,True
sell_in,C,all,all,W,lstm_vn,0.23780116438865662,s1,True
sell_in,all,g1,가,W,lstm_vn,0.24785718321800232,s1,True
sell_in,all,g1,나,W,lstm_vn,0.22560986876487732,s1,True
sell_in,all,g1,all,W,lstm_vn,0.2326430380344391,s1,True
sell_in,all,g2,다,W,lstm_vn,0.3058762848377228,s1,True
sell_in,all,g2,라,W,lstm_vn,0.3706832230091095,s1,True
sell_in,all,g2,all,W,lstm_vn,0.3110256791114807,s1,True
sell_in,all,g3,마,W,lstm_vn,0.24433322250843048,s1,True
sell_in,all,all,가,W,lstm_vn,0.249343603849411,s1,True
sell_in,all,all,다,W,lstm_vn,0.3041132688522339,s1,True
sell_in,all,all,나,W,lstm_vn,0.22677642107009888,s1,True
sell_in,all,all,라,W,lstm_vn,0.3726152777671814,s1,True
sell_in,all,all,마,W,lstm_vn,0.2436695694923401,s1,True
sell_in,all,all,all,W,lstm_vn,0.255057692527771,s1,True
sell_out,A,g3,바,W,lstm_vn,0.25341367721557617,s1,True
sell_out,A,g1,가,W,lstm_vn,0.2912376821041107,s1,True
sell_out,A,g2,다,W,lstm_vn,0.21899403631687164,s1,True
sell_out,A,all,바,W,lstm_vn,0.2505338490009308,s1,True
sell_out,A,all,가,W,lstm_vn,0.29960960149765015,s1,True
sell_out,A,all,다,W,lstm_vn,0.2198161780834198,s1,True
sell_out,A,all,all,W,lstm_vn,0.21914416551589966,s1,True
sell_out,B,g3,바,W,lstm_vn,0.15145769715309143,s1,True
sell_out,B,g1,나,W,lstm_vn,0.19653242826461792,s1,True
sell_out,B,g2,라,W,lstm_vn,0.27375373244285583,s1,True
sell_out,B,all,바,W,lstm_vn,0.15206369757652283,s1,True
sell_out,B,all,나,W,lstm_vn,0.19654083251953125,s1,True
sell_out,B,all,라,W,lstm_vn,0.27511411905288696,s1,True
sell_out,B,all,all,W,lstm_vn,0.20173481106758118,s1,True
sell_out,C,g3,바,W,lstm_vn,0.12978772819042206,s1,True
sell_out,C,g3,마,W,lstm_vn,0.17840218544006348,s1,True
sell_out,C,g3,all,W,lstm_vn,0.1774616837501526,s1,True
sell_out,C,g1,나,W,lstm_vn,0.13774795830249786,s1,True
sell_out,C,all,바,W,lstm_vn,0.12981757521629333,s1,True
sell_out,C,all,나,W,lstm_vn,0.14252735674381256,s1,True
sell_out,C,all,마,W,lstm_vn,0.1775524765253067,s1,True
sell_out,C,all,all,W,lstm_vn,0.1772514134645462,s1,True
sell_out,all,g3,바,W,lstm_vn,0.21971264481544495,s1,True
sell_out,all,g3,마,W,lstm_vn,0.17760467529296875,s1,True
sell_out,all,g3,all,W,lstm_vn,0.17583250999450684,s1,True
sell_out,all,g1,가,W,lstm_vn,0.29405614733695984,s1,True
sell_out,all,g1,나,W,lstm_vn,0.19534939527511597,s1,True
sell_out,all,g1,all,W,lstm_vn,0.2100846916437149,s1,True
sell_out,all,g2,다,W,lstm_vn,0.23222611844539642,s1,True
sell_out,all,g2,라,W,lstm_vn,0.2718876600265503,s1,True
sell_out,all,g2,all,W,lstm_vn,0.22167162597179413,s1,True
sell_out,all,all,바,W,lstm_vn,0.22426368296146393,s1,True
sell_out,all,all,가,W,lstm_vn,0.2910459041595459,s1,True
sell_out,all,all,다,W,lstm_vn,0.21264474093914032,s1,True
sell_out,all,all,나,W,lstm_vn,0.19208909571170807,s1,True
sell_out,all,all,라,W,lstm_vn,0.2688210904598236,s1,True
sell_out,all,all,마,W,lstm_vn,0.17786909639835358,s1,True
sell_out,all,all,all,W,lstm_vn,0.191491961479187,s1,True
