sell_type,cust_type,prod_group_type,prod_type,time_type,model,rmse,scenario,smoothing
sell_in,A,g1,가,W,arma,9584,s2,True
sell_in,A,g1,가,W,arima,9605,s2,True
sell_in,A,g1,가,W,ar,9621,s2,True
sell_in,A,g1,가,W,ses,9949,s2,True
sell_in,A,g1,가,W,hw,11288,s2,True
sell_in,A,g2,다,W,arima,13428,s2,True
sell_in,A,g2,다,W,arma,13900,s2,True
sell_in,A,g2,다,W,ar,14112,s2,True
sell_in,A,g2,다,W,ses,15681,s2,True
sell_in,A,g2,다,W,hw,17957,s2,True
sell_in,A,all,가,W,arma,9584,s2,True
sell_in,A,all,가,W,arima,9605,s2,True
sell_in,A,all,가,W,ar,9621,s2,True
sell_in,A,all,가,W,ses,9949,s2,True
sell_in,A,all,가,W,hw,11288,s2,True
sell_in,A,all,다,W,arima,13428,s2,True
sell_in,A,all,다,W,arma,13900,s2,True
sell_in,A,all,다,W,ar,14112,s2,True
sell_in,A,all,다,W,ses,15681,s2,True
sell_in,A,all,다,W,hw,17957,s2,True
sell_in,A,all,all,W,arima,19197,s2,True
sell_in,A,all,all,W,arma,19577,s2,True
sell_in,A,all,all,W,ar,20008,s2,True
sell_in,A,all,all,W,ses,20392,s2,True
sell_in,A,all,all,W,hw,23841,s2,True
sell_in,B,g1,나,W,arima,2724,s2,True
sell_in,B,g1,나,W,arma,2726,s2,True
sell_in,B,g1,나,W,ses,2832,s2,True
sell_in,B,g1,나,W,ar,2836,s2,True
sell_in,B,g1,나,W,hw,3054,s2,True
sell_in,B,g2,라,W,arma,1244,s2,True
sell_in,B,g2,라,W,arima,1267,s2,True
sell_in,B,g2,라,W,ar,1311,s2,True
sell_in,B,g2,라,W,ses,1344,s2,True
sell_in,B,g2,라,W,hw,1437,s2,True
sell_in,B,all,나,W,arima,2724,s2,True
sell_in,B,all,나,W,arma,2726,s2,True
sell_in,B,all,나,W,ses,2832,s2,True
sell_in,B,all,나,W,ar,2836,s2,True
sell_in,B,all,나,W,hw,3054,s2,True
sell_in,B,all,라,W,arma,1244,s2,True
sell_in,B,all,라,W,arima,1267,s2,True
sell_in,B,all,라,W,ar,1311,s2,True
sell_in,B,all,라,W,ses,1344,s2,True
sell_in,B,all,라,W,hw,1437,s2,True
sell_in,B,all,all,W,arima,3944,s2,True
sell_in,B,all,all,W,arma,3946,s2,True
sell_in,B,all,all,W,ar,4096,s2,True
sell_in,B,all,all,W,ses,4139,s2,True
sell_in,B,all,all,W,hw,4342,s2,True
sell_in,C,g1,나,W,ses,958,s2,True
sell_in,C,g1,나,W,hw,1124,s2,True
sell_in,C,g1,나,W,ar,1179,s2,True
sell_in,C,g1,나,W,arma,1599,s2,True
sell_in,C,g1,나,W,arima,1621,s2,True
sell_in,C,g3,마,W,ar,18336,s2,True
sell_in,C,g3,마,W,ses,18903,s2,True
sell_in,C,g3,마,W,arima,19059,s2,True
sell_in,C,g3,마,W,arma,19352,s2,True
sell_in,C,g3,마,W,hw,20176,s2,True
